#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1359,2828061,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus cremoris; Lactococcus lactis subsp. cremoris; Streptococcus cremoris; Streptococcus hollandicus; Streptococcus lactis B; Streptococcus lactis subsp. cremoris.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210307,-
1359,39461482,LLCC_RS13135,LLCC_RS13135,LLCC_2790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461486,LLCC_RS13085,LLCC_RS13085,LLCC_2781,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461489,LLCC_RS12975,LLCC_RS12975,LLCC_2759,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461490,LLCC_RS13095,LLCC_RS13095,LLCC_2783,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461491,LLCC_RS13100,LLCC_RS13100,LLCC_2784,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461492,LLCC_RS13025,LLCC_RS13025,LLCC_2769,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461493,LLCC_RS12940,LLCC_RS12940,LLCC_2753,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461496,LLCC_RS13035,LLCC_RS13035,LLCC_2771,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461498,LLCC_RS12965,LLCC_RS12965,LLCC_2757,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1359,39461499,LLCC_RS13140,LLCC_RS13140,LLCC_2791,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1359,39461501,LLCC_RS13065,LLCC_RS13065,LLCC_2777,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461576,LLCC_RS13570,LLCC_RS13570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461578,LLCC_RS13525,LLCC_RS13525,LLCC_2868,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461579,LLCC_RS13530,LLCC_RS13530,LLCC_2869,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461588,LLCC_RS13605,LLCC_RS13605,LLCC_2880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461602,LLUC109_RS12215,LLUC109_RS12215,LLUC109_pG06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461603,LLUC109_RS12300,LLUC109_RS12300,LLUC109_pG20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461606,LLUC109_RS12195,LLUC109_RS12195,LLUC109_pG02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461608,LLUC109_RS12255,LLUC109_RS12255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461614,LLUC109_RS12270,LLUC109_RS12270,LLUC109_pG13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1359,39461617,LLUC109_RS12280,LLUC109_RS12280,LLUC109_pG15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461621,LLUC109_RS12235,LLUC109_RS12235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
