#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636257,26613466,HARRISON_2,HARRISON_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1636257,26613539,HARRISON_75,HARRISON_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613540,HARRISON_76,HARRISON_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613541,HARRISON_77,HARRISON_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613542,HARRISON_78,HARRISON_78,-,-,-,-,ArpU family transcriptional regulator,protein-coding,-,-,-,ArpU family transcriptional regulator,20200629,-
1636257,26613543,HARRISON_79,HARRISON_79,-,-,-,-,YxeA family protein,protein-coding,-,-,-,YxeA family protein,20201221,-
1636257,26613544,HARRISON_80,HARRISON_80,-,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20201221,-
1636257,26613545,HARRISON_81,HARRISON_81,-,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20201221,-
1636257,26613546,HARRISON_82,HARRISON_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1636257,26613547,HARRISON_83,HARRISON_83,-,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20200629,-
1636257,26613548,HARRISON_84,HARRISON_84,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1636257,26613549,HARRISON_1,HARRISON_1,-,-,-,-,P27 familygterminase small subunit,protein-coding,-,-,-,P27 familygterminase small subunit,20201221,-
1636257,26680782,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Paenibacillus Larvae Bacteriophage Harrison).,other,-,-,-,-,20210609,-
