#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673837,8676470,gp02,EP-phiFL3A_gp02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673837,8676493,gp25,EP-phiFL3A_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676494,gp26,EP-phiFL3A_gp26,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20200629,-
673837,8676495,gp27,EP-phiFL3A_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676496,gp28,EP-phiFL3A_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676497,gp29,EP-phiFL3A_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676498,gp30,EP-phiFL3A_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676499,gp31,EP-phiFL3A_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676500,gp32,EP-phiFL3A_gp32,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201220,-
673837,8676501,gp33,EP-phiFL3A_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676502,gp34,EP-phiFL3A_gp34,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
673837,8676503,gp35,EP-phiFL3A_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676504,gp36,EP-phiFL3A_gp36,-,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20200629,-
673837,8676505,gp37,EP-phiFL3A_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676506,gp38,EP-phiFL3A_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676507,gp39,EP-phiFL3A_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676508,gp40,EP-phiFL3A_gp40,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
673837,8676509,gp41,EP-phiFL3A_gp41,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
673837,8676510,gp42,EP-phiFL3A_gp42,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
673837,8676511,gp43,EP-phiFL3A_gp43,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
673837,8676512,gp44,EP-phiFL3A_gp44,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
673837,8676513,gp45,EP-phiFL3A_gp45,-,-,-,-,ribosomal-processing cysteine protease Prp,protein-coding,-,-,-,ribosomal-processing cysteine protease Prp,20201220,-
673837,8676514,gp46,EP-phiFL3A_gp46,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
673837,8676515,gp47,EP-phiFL3A_gp47,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
673837,8676516,gp48,EP-phiFL3A_gp48,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200629,-
673837,8676517,gp49,EP-phiFL3A_gp49,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210417,-
673837,8676518,gp50,EP-phiFL3A_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676519,gp51,EP-phiFL3A_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676520,gp52,EP-phiFL3A_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676521,gp53,EP-phiFL3A_gp53,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
673837,8676522,gp54,EP-phiFL3A_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676523,gp55,EP-phiFL3A_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676524,gp56,EP-phiFL3A_gp56,-,-,-,-,SLT domain protein,protein-coding,-,-,-,SLT domain protein,20200629,-
673837,8676525,gp57,EP-phiFL3A_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676526,gp58,EP-phiFL3A_gp58,-,-,-,-,PblB-like tail protein,protein-coding,-,-,-,PblB-like tail protein,20200629,-
673837,8676527,gp59,EP-phiFL3A_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676528,gp60,EP-phiFL3A_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
673837,8676529,gp61,EP-phiFL3A_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676530,gp62,EP-phiFL3A_gp62,-,-,-,-,holin,protein-coding,-,-,-,holin,20210417,-
673837,8676531,gp63,EP-phiFL3A_gp63,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
673837,8676532,gp64,EP-phiFL3A_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676533,gp01,EP-phiFL3A_gp01,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201220,-
673837,8811819,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus faecalis phage phiFL3A).,other,-,-,-,-,20200513,-
