#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647471,28800914,BH787_gp02,BH787_gp02,GMA4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1647471,28800933,BH787_gp52,BH787_gp52,GMA4_21,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20200910,-
1647471,28800934,BH787_gp51,BH787_gp51,GMA4_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800935,BH787_gp50,BH787_gp50,GMA4_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800936,BH787_gp49,BH787_gp49,GMA4_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800937,BH787_gp48,BH787_gp48,GMA4_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800938,BH787_gp47,BH787_gp47,GMA4_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800939,BH787_gp46,BH787_gp46,GMA4_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800940,BH787_gp45,BH787_gp45,GMA4_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800941,BH787_gp44,BH787_gp44,GMA4_29,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20200910,-
1647471,28800942,BH787_gp43,BH787_gp43,GMA4_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800943,BH787_gp42,BH787_gp42,GMA4_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800944,BH787_gp41,BH787_gp41,GMA4_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800945,BH787_gp40,BH787_gp40,GMA4_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800946,BH787_gp39,BH787_gp39,GMA4_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800947,BH787_gp38,BH787_gp38,GMA4_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800948,BH787_gp37,BH787_gp37,GMA4_36,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200910,-
1647471,28800949,BH787_gp36,BH787_gp36,GMA4_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800950,BH787_gp35,BH787_gp35,GMA4_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800951,BH787_gp34,BH787_gp34,GMA4_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800952,BH787_gp33,BH787_gp33,GMA4_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800953,BH787_gp32,BH787_gp32,GMA4_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800954,BH787_gp31,BH787_gp31,GMA4_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800955,BH787_gp30,BH787_gp30,GMA4_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800956,BH787_gp29,BH787_gp29,GMA4_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800957,BH787_gp28,BH787_gp28,GMA4_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800958,BH787_gp27,BH787_gp27,GMA4_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800959,BH787_gp26,BH787_gp26,GMA4_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800960,BH787_gp25,BH787_gp25,GMA4_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800961,BH787_gp24,BH787_gp24,GMA4_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800962,BH787_gp23,BH787_gp23,GMA4_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800963,BH787_gp22,BH787_gp22,GMA4_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800964,BH787_gp21,BH787_gp21,GMA4_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800965,BH787_gp20,BH787_gp20,GMA4_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800966,BH787_gp19,BH787_gp19,GMA4_54,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200910,-
1647471,28800967,BH787_gp18,BH787_gp18,GMA4_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800968,BH787_gp17,BH787_gp17,GMA4_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800969,BH787_gp16,BH787_gp16,GMA4_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800970,BH787_gp15,BH787_gp15,GMA4_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800971,BH787_gp14,BH787_gp14,GMA4_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800972,BH787_gp13,BH787_gp13,GMA4_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800973,BH787_gp12,BH787_gp12,GMA4_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800974,BH787_gp11,BH787_gp11,GMA4_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800975,BH787_gp10,BH787_gp10,GMA4_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800976,BH787_gp09,BH787_gp09,GMA4_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800977,BH787_gp08,BH787_gp08,GMA4_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800978,BH787_gp07,BH787_gp07,GMA4_66,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1647471,28800979,BH787_gp06,BH787_gp06,GMA4_67,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20200910,-
1647471,28800980,BH787_gp05,BH787_gp05,GMA4_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800981,BH787_gp68,BH787_gp68,GMA4_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800982,BH787_gp01,BH787_gp01,GMA4_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
