#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
756278,54972864,HOQ82_gp001,HOQ82_gp001,RW220300_001,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210116,-
756278,54972902,HOQ82_gp207,HOQ82_gp207,RW220300_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972903,HOQ82_gp206,HOQ82_gp206,RW220300_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972904,HOQ82_gp205,HOQ82_gp205,RW220300_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972905,HOQ82_gp204,HOQ82_gp204,RW220300_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972906,HOQ82_gp203,HOQ82_gp203,RW220300_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972907,HOQ82_gp202,HOQ82_gp202,RW220300_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972908,HOQ82_gp201,HOQ82_gp201,RW220300_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972909,HOQ82_gp200,HOQ82_gp200,RW220300_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972910,HOQ82_gp199,HOQ82_gp199,RW220300_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972911,HOQ82_gp198,HOQ82_gp198,RW220300_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972912,HOQ82_gp197,HOQ82_gp197,RW220300_049,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210116,-
756278,54972913,HOQ82_gp196,HOQ82_gp196,RW220300_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972914,HOQ82_gp195,HOQ82_gp195,RW220300_051,-,-,-,helicase,protein-coding,-,-,-,helicase,20210116,-
756278,54972915,HOQ82_gp194,HOQ82_gp194,RW220300_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972916,HOQ82_gp193,HOQ82_gp193,RW220300_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972917,HOQ82_gp192,HOQ82_gp192,RW220300_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972918,HOQ82_gp191,HOQ82_gp191,RW220300_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972919,HOQ82_gp190,HOQ82_gp190,RW220300_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972920,HOQ82_gp189,HOQ82_gp189,RW220300_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972921,HOQ82_gp188,HOQ82_gp188,RW220300_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972922,HOQ82_gp187,HOQ82_gp187,RW220300_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972923,HOQ82_gp186,HOQ82_gp186,RW220300_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972924,HOQ82_gp185,HOQ82_gp185,RW220300_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972925,HOQ82_gp184,HOQ82_gp184,RW220300_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972926,HOQ82_gp183,HOQ82_gp183,RW220300_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972927,HOQ82_gp182,HOQ82_gp182,RW220300_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972928,HOQ82_gp181,HOQ82_gp181,RW220300_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972929,HOQ82_gp180,HOQ82_gp180,RW220300_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972930,HOQ82_gp179,HOQ82_gp179,RW220300_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972931,HOQ82_gp178,HOQ82_gp178,RW220300_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972932,HOQ82_gp177,HOQ82_gp177,RW220300_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972933,HOQ82_gp176,HOQ82_gp176,RW220300_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972934,HOQ82_gp175,HOQ82_gp175,RW220300_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972935,HOQ82_gp174,HOQ82_gp174,RW220300_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972936,HOQ82_gp173,HOQ82_gp173,RW220300_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972937,HOQ82_gp172,HOQ82_gp172,RW220300_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972938,HOQ82_gp171,HOQ82_gp171,RW220300_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972939,HOQ82_gp170,HOQ82_gp170,RW220300_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972940,HOQ82_gp169,HOQ82_gp169,RW220300_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972941,HOQ82_gp168,HOQ82_gp168,RW220300_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972942,HOQ82_gp167,HOQ82_gp167,RW220300_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972943,HOQ82_gp166,HOQ82_gp166,RW220300_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972944,HOQ82_gp165,HOQ82_gp165,RW220300_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972945,HOQ82_gp164,HOQ82_gp164,RW220300_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972946,HOQ82_gp163,HOQ82_gp163,RW220300_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972947,HOQ82_gp162,HOQ82_gp162,RW220300_084,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
756278,54972948,HOQ82_gp161,HOQ82_gp161,RW220300_085,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
756278,54972949,HOQ82_gp160,HOQ82_gp160,RW220300_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972950,HOQ82_gp159,HOQ82_gp159,RW220300_087,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210116,-
756278,54972951,HOQ82_gp158,HOQ82_gp158,RW220300_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972952,HOQ82_gp157,HOQ82_gp157,RW220300_089,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
756278,54972953,HOQ82_gp156,HOQ82_gp156,RW220300_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972954,HOQ82_gp155,HOQ82_gp155,RW220300_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972955,HOQ82_gp154,HOQ82_gp154,RW220300_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972956,HOQ82_gp153,HOQ82_gp153,RW220300_093,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210116,-
756278,54972957,HOQ82_gp152,HOQ82_gp152,RW220300_094,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210116,-
756278,54972958,HOQ82_gp151,HOQ82_gp151,RW220300_095,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210116,-
756278,54972959,HOQ82_gp150,HOQ82_gp150,RW220300_096,-,-,-,tail sheath stabilizer,protein-coding,-,-,-,tail sheath stabilizer,20210116,-
756278,54972960,HOQ82_gp149,HOQ82_gp149,RW220300_097,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210116,-
756278,54972961,HOQ82_gp148,HOQ82_gp148,RW220300_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972962,HOQ82_gp147,HOQ82_gp147,RW220300_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972963,HOQ82_gp146,HOQ82_gp146,RW220300_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972964,HOQ82_gp145,HOQ82_gp145,RW220300_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972965,HOQ82_gp144,HOQ82_gp144,RW220300_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972966,HOQ82_gp143,HOQ82_gp143,RW220300_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972967,HOQ82_gp142,HOQ82_gp142,RW220300_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972968,HOQ82_gp141,HOQ82_gp141,RW220300_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972969,HOQ82_gp140,HOQ82_gp140,RW220300_106,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20210116,-
756278,54972970,HOQ82_gp139,HOQ82_gp139,RW220300_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972971,HOQ82_gp138,HOQ82_gp138,RW220300_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972972,HOQ82_gp137,HOQ82_gp137,RW220300_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972973,HOQ82_gp136,HOQ82_gp136,RW220300_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972974,HOQ82_gp135,HOQ82_gp135,RW220300_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972975,HOQ82_gp134,HOQ82_gp134,RW220300_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972976,HOQ82_gp133,HOQ82_gp133,RW220300_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972977,HOQ82_gp132,HOQ82_gp132,RW220300_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972978,HOQ82_gp131,HOQ82_gp131,RW220300_115,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210116,-
756278,54972979,HOQ82_gp130,HOQ82_gp130,RW220300_116,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210116,-
756278,54972980,HOQ82_gp129,HOQ82_gp129,RW220300_117,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20210116,-
756278,54972981,HOQ82_gp128,HOQ82_gp128,RW220300_118,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210116,-
756278,54972982,HOQ82_gp127,HOQ82_gp127,RW220300_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972983,HOQ82_gp126,HOQ82_gp126,RW220300_120,-,-,-,prohead assembly scaffolding protein,protein-coding,-,-,-,prohead assembly scaffolding protein,20210116,-
756278,54972984,HOQ82_gp125,HOQ82_gp125,RW220300_121,-,-,-,prohead assembly scaffolding protein,protein-coding,-,-,-,prohead assembly scaffolding protein,20210116,-
756278,54972985,HOQ82_gp124,HOQ82_gp124,RW220300_122,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
756278,54972986,HOQ82_gp123,HOQ82_gp123,RW220300_123,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210116,-
756278,54972987,HOQ82_gp122,HOQ82_gp122,RW220300_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972988,HOQ82_gp121,HOQ82_gp121,RW220300_125,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210116,-
756278,54972989,HOQ82_gp120,HOQ82_gp120,RW220300_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972990,HOQ82_gp119,HOQ82_gp119,RW220300_127,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210116,-
756278,54972991,HOQ82_gp118,HOQ82_gp118,RW220300_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972992,HOQ82_gp117,HOQ82_gp117,RW220300_129,-,-,-,RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,RNA polymerase sigma factor for late transcription,20210116,-
756278,54972993,HOQ82_gp116,HOQ82_gp116,RW220300_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972994,HOQ82_gp115,HOQ82_gp115,RW220300_131,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210116,-
756278,54972995,HOQ82_gp114,HOQ82_gp114,RW220300_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54972996,HOQ82_gp113,HOQ82_gp113,RW220300_133,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20210116,-
756278,54972997,HOQ82_gp112,HOQ82_gp112,RW220300_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972998,HOQ82_gp111,HOQ82_gp111,RW220300_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54972999,HOQ82_gp110,HOQ82_gp110,RW220300_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973000,HOQ82_gp109,HOQ82_gp109,RW220300_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973001,HOQ82_gp108,HOQ82_gp108,RW220300_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973002,HOQ82_gp107,HOQ82_gp107,RW220300_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973003,HOQ82_gp106,HOQ82_gp106,RW220300_140,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210116,-
756278,54973004,HOQ82_gp105,HOQ82_gp105,RW220300_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973005,HOQ82_gp104,HOQ82_gp104,RW220300_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973006,HOQ82_gp103,HOQ82_gp103,RW220300_143,-,-,-,CobS,protein-coding,-,-,-,CobS,20210116,-
756278,54973007,HOQ82_gp102,HOQ82_gp102,RW220300_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973008,HOQ82_gp101,HOQ82_gp101,RW220300_145,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210116,-
756278,54973009,HOQ82_gp100,HOQ82_gp100,RW220300_146,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20210116,-
756278,54973010,HOQ82_gp099,HOQ82_gp099,RW220300_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973011,HOQ82_gp098,HOQ82_gp098,RW220300_148,-,-,-,sliding clamp loader,protein-coding,-,-,-,sliding clamp loader,20210116,-
756278,54973012,HOQ82_gp097,HOQ82_gp097,RW220300_149,-,-,-,type II N-methyl DNA methyltransferase,protein-coding,-,-,-,type II N-methyl DNA methyltransferase,20210116,-
756278,54973013,HOQ82_gp096,HOQ82_gp096,RW220300_150,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210116,-
756278,54973014,HOQ82_gp095,HOQ82_gp095,RW220300_151,-,-,-,endoribonuclease translational repressor of early genes,protein-coding,-,-,-,endoribonuclease translational repressor of early genes,20210116,-
756278,54973015,HOQ82_gp094,HOQ82_gp094,RW220300_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973016,HOQ82_gp093,HOQ82_gp093,RW220300_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973017,HOQ82_gp092,HOQ82_gp092,RW220300_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973018,HOQ82_gp091,HOQ82_gp091,RW220300_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973019,HOQ82_gp090,HOQ82_gp090,RW220300_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973020,HOQ82_gp089,HOQ82_gp089,RW220300_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973021,HOQ82_gp088,HOQ82_gp088,RW220300_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973022,HOQ82_gp087,HOQ82_gp087,RW220300_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973023,HOQ82_gp086,HOQ82_gp086,RW220300_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973024,HOQ82_gp085,HOQ82_gp085,RW220300_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973025,HOQ82_gp084,HOQ82_gp084,RW220300_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973026,HOQ82_gp083,HOQ82_gp083,RW220300_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973027,HOQ82_gp082,HOQ82_gp082,RW220300_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973028,HOQ82_gp081,HOQ82_gp081,RW220300_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973029,HOQ82_gp080,HOQ82_gp080,RW220300_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973030,HOQ82_gp079,HOQ82_gp079,RW220300_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973031,HOQ82_gp078,HOQ82_gp078,RW220300_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973032,HOQ82_gp077,HOQ82_gp077,RW220300_169,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20210116,-
756278,54973033,HOQ82_gp076,HOQ82_gp076,RW220300_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973034,HOQ82_gp075,HOQ82_gp075,RW220300_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973035,HOQ82_gp074,HOQ82_gp074,RW220300_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973036,HOQ82_gp073,HOQ82_gp073,RW220300_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973037,HOQ82_gp072,HOQ82_gp072,RW220300_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973038,HOQ82_gp071,HOQ82_gp071,RW220300_175,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210116,-
756278,54973039,HOQ82_gp070,HOQ82_gp070,RW220300_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973040,HOQ82_gp069,HOQ82_gp069,RW220300_177,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210116,-
756278,54973041,HOQ82_gp068,HOQ82_gp068,RW220300_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
756278,54973042,HOQ82_gp067,HOQ82_gp067,RW220300_179,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210116,-
756278,54973043,HOQ82_gp066,HOQ82_gp066,RW220300_180,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20210116,-
756278,54973044,HOQ82_gp065,HOQ82_gp065,RW220300_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973045,HOQ82_gp064,HOQ82_gp064,RW220300_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756278,54973046,HOQ82_gp063,HOQ82_gp063,RW220300_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
