#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599848,55623086,2,HWC69_gp002,PBI_RANCH_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599848,55623144,66,HWC69_gp066,PBI_RANCH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623145,67,HWC69_gp067,PBI_RANCH_67,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2599848,55623146,68,HWC69_gp068,PBI_RANCH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623147,69,HWC69_gp069,PBI_RANCH_69,-,-,-,FAD binding domain protein,protein-coding,-,-,-,FAD binding domain protein,20201217,-
2599848,55623148,70,HWC69_gp070,PBI_RANCH_70,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2599848,55623149,71,HWC69_gp071,PBI_RANCH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623150,72,HWC69_gp072,PBI_RANCH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623151,73,HWC69_gp073,PBI_RANCH_73,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2599848,55623152,74,HWC69_gp074,PBI_RANCH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623153,75,HWC69_gp075,PBI_RANCH_75,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20201217,-
2599848,55623154,76,HWC69_gp076,PBI_RANCH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623155,78,HWC69_gp078,PBI_RANCH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623156,79,HWC69_gp079,PBI_RANCH_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2599848,55623157,81,HWC69_gp081,PBI_RANCH_81,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210424,-
2599848,55623158,82,HWC69_gp082,PBI_RANCH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623159,83,HWC69_gp083,PBI_RANCH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623160,84,HWC69_gp084,PBI_RANCH_84,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
2599848,55623161,85,HWC69_gp085,PBI_RANCH_85,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2599848,55623162,87,HWC69_gp087,PBI_RANCH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623163,88,HWC69_gp088,PBI_RANCH_88,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623164,89,HWC69_gp089,PBI_RANCH_89,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200620,-
2599848,55623165,90,HWC69_gp090,PBI_RANCH_90,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
2599848,55623166,91,HWC69_gp091,PBI_RANCH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623167,92,HWC69_gp092,PBI_RANCH_92,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2599848,55623168,93,HWC69_gp093,PBI_RANCH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623169,96,HWC69_gp096,PBI_RANCH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623170,97,HWC69_gp097,PBI_RANCH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623171,98,HWC69_gp098,PBI_RANCH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623172,99,HWC69_gp099,PBI_RANCH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623173,100,HWC69_gp100,PBI_RANCH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623174,24,HWC69_gp024,PBI_RANCH_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201217,-
2599848,55623175,40,HWC69_gp040,PBI_RANCH_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623176,80,HWC69_gp080,PBI_RANCH_80,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20201217,-
2599848,55623177,86,HWC69_gp086,PBI_RANCH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623178,101,HWC69_gp101,PBI_RANCH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623179,77,HWC69_gp077,PBI_RANCH_77,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623180,46,HWC69_gp046,PBI_RANCH_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623181,60,HWC69_gp060,PBI_RANCH_60,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2599848,55623182,64,HWC69_gp064,PBI_RANCH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623183,94,HWC69_gp094,PBI_RANCH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623184,95,HWC69_gp095,PBI_RANCH_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623185,18,HWC69_gp018,PBI_RANCH_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623186,1,HWC69_gp001,PBI_RANCH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55636028,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
