#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815969,29125860,2,SEA_LOSER_2,-,-,-,-,VIP2-like toxin,protein-coding,-,-,-,VIP2-like toxin,20200910,-
1815969,29125882,24,SEA_LOSER_24,-,-,-,-,head to tail connector protein,protein-coding,-,-,-,head to tail connector protein,20200910,-
1815969,29125883,25,SEA_LOSER_25,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1815969,29125884,26,SEA_LOSER_26,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1815969,29125885,28,SEA_LOSER_28,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1815969,29125886,29,SEA_LOSER_29,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
1815969,29125887,27,SEA_LOSER_27,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1815969,29125888,30,SEA_LOSER_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1815969,29125889,31,SEA_LOSER_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1815969,29125890,32,SEA_LOSER_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1815969,29125891,33,SEA_LOSER_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125892,34,SEA_LOSER_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125893,35,SEA_LOSER_35,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1815969,29125894,36,SEA_LOSER_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125895,37,SEA_LOSER_37,-,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
1815969,29125896,38,SEA_LOSER_38,-,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200910,-
1815969,29125897,39,SEA_LOSER_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125898,40,SEA_LOSER_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125899,41,SEA_LOSER_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125900,42,SEA_LOSER_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125901,43,SEA_LOSER_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125902,44,SEA_LOSER_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125903,45,SEA_LOSER_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125904,46,SEA_LOSER_46,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1815969,29125905,47,SEA_LOSER_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125906,48,SEA_LOSER_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125907,49,SEA_LOSER_49,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200910,-
1815969,29125908,50,SEA_LOSER_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125909,51,SEA_LOSER_51,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1815969,29125910,52,SEA_LOSER_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125911,53,SEA_LOSER_53,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200910,-
1815969,29125912,54,SEA_LOSER_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125913,55,SEA_LOSER_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125914,56,SEA_LOSER_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125915,57,SEA_LOSER_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125916,58,SEA_LOSER_58,-,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20200910,-
1815969,29125917,59,SEA_LOSER_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125918,60,SEA_LOSER_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125919,61,SEA_LOSER_61,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1815969,29125920,62,SEA_LOSER_62,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1815969,29125921,63,SEA_LOSER_63,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200910,-
1815969,29125922,64,SEA_LOSER_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125923,65,SEA_LOSER_65,-,-,-,-,esterase,protein-coding,-,-,-,esterase,20200910,-
1815969,29125924,66,SEA_LOSER_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125925,67,SEA_LOSER_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125926,68,SEA_LOSER_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125927,69,SEA_LOSER_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125928,70,SEA_LOSER_70,-,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20200910,-
1815969,29125929,71,SEA_LOSER_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125930,72,SEA_LOSER_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125931,73,SEA_LOSER_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125932,74,SEA_LOSER_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125933,75,SEA_LOSER_75,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1815969,29125934,76,SEA_LOSER_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125935,77,SEA_LOSER_77,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1815969,29125936,78,SEA_LOSER_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125937,79,SEA_LOSER_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125938,80,SEA_LOSER_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125939,81,SEA_LOSER_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125940,82,SEA_LOSER_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125941,83,SEA_LOSER_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125942,84,SEA_LOSER_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125943,85,SEA_LOSER_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125944,86,SEA_LOSER_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125945,87,SEA_LOSER_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125946,88,SEA_LOSER_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125947,89,SEA_LOSER_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125948,90,SEA_LOSER_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125949,91,SEA_LOSER_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125950,92,SEA_LOSER_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125951,93,SEA_LOSER_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125952,94,SEA_LOSER_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125953,95,SEA_LOSER_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125954,96,SEA_LOSER_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125955,97,SEA_LOSER_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125956,98,SEA_LOSER_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29125957,1,SEA_LOSER_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1815969,29140820,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Loser).,other,-,-,-,-,20200513,-
