#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610834,26626910,AVT68_gp46,AVT68_gp46,SU503_45,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1610834,26626925,AVT68_gp25,AVT68_gp25,SU503_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626926,AVT68_gp15,AVT68_gp15,SU503_14,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1610834,26626927,AVT68_gp54,AVT68_gp54,SU503_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626928,AVT68_gp44,AVT68_gp44,SU503_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626929,AVT68_gp04,AVT68_gp04,SU503_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626930,AVT68_gp42,AVT68_gp42,SU503_41,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1610834,26626931,AVT68_gp21,AVT68_gp21,SU503_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626932,AVT68_gp35,AVT68_gp35,SU503_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626933,AVT68_gp14,AVT68_gp14,SU503_13,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1610834,26626934,AVT68_gp33,AVT68_gp33,SU503_32,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20201221,-
1610834,26626935,AVT68_gp36,AVT68_gp36,SU503_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626936,AVT68_gp17,AVT68_gp17,SU503_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626937,AVT68_gp32,AVT68_gp32,SU503_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626938,AVT68_gp52,AVT68_gp52,SU503_51,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1610834,26626939,AVT68_gp23,AVT68_gp23,SU503_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626940,AVT68_gp50,AVT68_gp50,SU503_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626941,AVT68_gp28,AVT68_gp28,SU503_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626942,AVT68_gp19,AVT68_gp19,SU503_18,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1610834,26626943,AVT68_gp11,AVT68_gp11,SU503_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626944,AVT68_gp48,AVT68_gp48,SU503_47,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
1610834,26626945,AVT68_gp27,AVT68_gp27,SU503_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626946,AVT68_gp37,AVT68_gp37,SU503_36,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1610834,26626947,AVT68_gp08,AVT68_gp08,SU503_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626948,AVT68_gp26,AVT68_gp26,SU503_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626949,AVT68_gp53,AVT68_gp53,SU503_52,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1610834,26626950,AVT68_gp06,AVT68_gp06,SU503_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626951,AVT68_gp05,AVT68_gp05,SU503_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626952,AVT68_gp07,AVT68_gp07,SU503_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626953,AVT68_gp22,AVT68_gp22,SU503_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626954,AVT68_gp03,AVT68_gp03,SU503_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626955,AVT68_gp10,AVT68_gp10,SU503_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626956,AVT68_gp31,AVT68_gp31,SU503_30,-,-,-,putative DNA endonuclease VII,protein-coding,-,-,-,putative DNA endonuclease VII,20210116,-
1610834,26626957,AVT68_gp02,AVT68_gp02,SU503_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626958,AVT68_gp41,AVT68_gp41,SU503_40,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1610834,26626959,AVT68_gp51,AVT68_gp51,SU503_50,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201221,-
1610834,26626960,AVT68_gp09,AVT68_gp09,SU503_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626961,AVT68_gp29,AVT68_gp29,SU503_28,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20201221,-
1610834,26626962,AVT68_gp18,AVT68_gp18,SU503_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626963,AVT68_gp01,AVT68_gp01,SU503_00,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26680746,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
