#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654780,29068542,ENOKI_2,ENOKI_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654780,29068565,ENOKI_25,ENOKI_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654780,29068566,ENOKI_26,ENOKI_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654780,29068567,ENOKI_27,ENOKI_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654780,29068568,ENOKI_28,ENOKI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068569,ENOKI_29,ENOKI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068570,ENOKI_30,ENOKI_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654780,29068571,ENOKI_31,ENOKI_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654780,29068572,ENOKI_32,ENOKI_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1654780,29068573,ENOKI_33,ENOKI_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1654780,29068574,ENOKI_34,ENOKI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068575,ENOKI_35,ENOKI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068576,ENOKI_36,ENOKI_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654780,29068577,ENOKI_37,ENOKI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068578,ENOKI_38,ENOKI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068579,ENOKI_39,ENOKI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068580,ENOKI_43,ENOKI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068581,ENOKI_44,ENOKI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068582,ENOKI_45,ENOKI_45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1654780,29068583,ENOKI_40,ENOKI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068584,ENOKI_41,ENOKI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068585,ENOKI_42,ENOKI_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654780,29068586,ENOKI_1,ENOKI_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1654780,29139848,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Enoki).,other,-,-,-,-,20200513,-
