#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163593,60331118,2,I5H62_gp02,SEA_MELISSAUREN88_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2163593,60331152,40,I5H62_gp40,SEA_MELISSAUREN88_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331153,41,I5H62_gp41,SEA_MELISSAUREN88_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331154,43,I5H62_gp43,SEA_MELISSAUREN88_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331155,45,I5H62_gp45,SEA_MELISSAUREN88_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331156,47,I5H62_gp47,SEA_MELISSAUREN88_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331157,48,I5H62_gp48,SEA_MELISSAUREN88_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331158,49,I5H62_gp49,SEA_MELISSAUREN88_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331159,50,I5H62_gp50,SEA_MELISSAUREN88_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331160,52,I5H62_gp52,SEA_MELISSAUREN88_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331161,53,I5H62_gp53,SEA_MELISSAUREN88_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331162,54,I5H62_gp54,SEA_MELISSAUREN88_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331163,55,I5H62_gp55,SEA_MELISSAUREN88_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331164,56,I5H62_gp56,SEA_MELISSAUREN88_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2163593,60331165,58,I5H62_gp58,SEA_MELISSAUREN88_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331166,59,I5H62_gp59,SEA_MELISSAUREN88_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331167,61,I5H62_gp61,SEA_MELISSAUREN88_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163593,60331168,62,I5H62_gp62,SEA_MELISSAUREN88_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2163593,60331169,63,I5H62_gp63,SEA_MELISSAUREN88_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2163593,60331170,65,I5H62_gp65,SEA_MELISSAUREN88_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331171,66,I5H62_gp66,SEA_MELISSAUREN88_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331172,68,I5H62_gp68,SEA_MELISSAUREN88_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331173,69,I5H62_gp69,SEA_MELISSAUREN88_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331174,70,I5H62_gp70,SEA_MELISSAUREN88_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331175,71,I5H62_gp71,SEA_MELISSAUREN88_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331176,72,I5H62_gp72,SEA_MELISSAUREN88_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331177,73,I5H62_gp73,SEA_MELISSAUREN88_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331178,74,I5H62_gp74,SEA_MELISSAUREN88_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331179,75,I5H62_gp75,SEA_MELISSAUREN88_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331180,76,I5H62_gp76,SEA_MELISSAUREN88_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331181,77,I5H62_gp77,SEA_MELISSAUREN88_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331182,78,I5H62_gp78,SEA_MELISSAUREN88_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331183,79,I5H62_gp79,SEA_MELISSAUREN88_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331184,80,I5H62_gp80,SEA_MELISSAUREN88_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331185,81,I5H62_gp81,SEA_MELISSAUREN88_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331186,82,I5H62_gp82,SEA_MELISSAUREN88_82,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210406,-
2163593,60331187,83,I5H62_gp83,SEA_MELISSAUREN88_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331188,84,I5H62_gp84,SEA_MELISSAUREN88_84,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201129,-
2163593,60331189,85,I5H62_gp85,SEA_MELISSAUREN88_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331190,86,I5H62_gp86,SEA_MELISSAUREN88_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331191,87,I5H62_gp87,SEA_MELISSAUREN88_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331192,88,I5H62_gp88,SEA_MELISSAUREN88_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331193,89,I5H62_gp89,SEA_MELISSAUREN88_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331194,90,I5H62_gp90,SEA_MELISSAUREN88_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331195,91,I5H62_gp91,SEA_MELISSAUREN88_91,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2163593,60331196,92,I5H62_gp92,SEA_MELISSAUREN88_92,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210417,-
2163593,60331197,93,I5H62_gp93,SEA_MELISSAUREN88_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331198,94,I5H62_gp94,SEA_MELISSAUREN88_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2163593,60331199,95,I5H62_gp95,SEA_MELISSAUREN88_95,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2163593,60331200,19,I5H62_gp19,SEA_MELISSAUREN88_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2163593,60331201,21,I5H62_gp21,SEA_MELISSAUREN88_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331202,25,I5H62_gp25,SEA_MELISSAUREN88_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331203,30,I5H62_gp30,SEA_MELISSAUREN88_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2163593,60331204,42,I5H62_gp42,SEA_MELISSAUREN88_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2163593,60331205,44,I5H62_gp44,SEA_MELISSAUREN88_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2163593,60331206,46,I5H62_gp46,SEA_MELISSAUREN88_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331207,51,I5H62_gp51,SEA_MELISSAUREN88_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331208,57,I5H62_gp57,SEA_MELISSAUREN88_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331209,67,I5H62_gp67,SEA_MELISSAUREN88_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163593,60331210,60,I5H62_gp60,SEA_MELISSAUREN88_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331211,64,I5H62_gp64,SEA_MELISSAUREN88_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163593,60331212,1,I5H62_gp01,SEA_MELISSAUREN88_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2163593,60338663,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
