#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673886,26519467,AU098_gp002,AU098_gp002,PBI_APIZIUM_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1673886,26519489,AU098_gp024,AU098_gp024,PBI_APIZIUM_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1673886,26519490,AU098_gp025,AU098_gp025,PBI_APIZIUM_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519491,AU098_gp026,AU098_gp026,PBI_APIZIUM_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519492,AU098_gp027,AU098_gp027,PBI_APIZIUM_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1673886,26519493,AU098_gp028,AU098_gp028,PBI_APIZIUM_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1673886,26519494,AU098_gp029,AU098_gp029,PBI_APIZIUM_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1673886,26519495,AU098_gp030,AU098_gp030,PBI_APIZIUM_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1673886,26519496,AU098_gp031,AU098_gp031,PBI_APIZIUM_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1673886,26519497,AU098_gp032,AU098_gp032,PBI_APIZIUM_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1673886,26519498,AU098_gp033,AU098_gp033,PBI_APIZIUM_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519499,AU098_gp034,AU098_gp034,PBI_APIZIUM_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519500,AU098_gp035,AU098_gp035,PBI_APIZIUM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519501,AU098_gp036,AU098_gp036,PBI_APIZIUM_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519502,AU098_gp037,AU098_gp037,PBI_APIZIUM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519503,AU098_gp038,AU098_gp038,PBI_APIZIUM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519504,AU098_gp039,AU098_gp039,PBI_APIZIUM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519505,AU098_gp040,AU098_gp040,PBI_APIZIUM_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519506,AU098_gp041,AU098_gp041,PBI_APIZIUM_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519507,AU098_gp042,AU098_gp042,PBI_APIZIUM_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519508,AU098_gp043,AU098_gp043,PBI_APIZIUM_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519509,AU098_gp044,AU098_gp044,PBI_APIZIUM_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1673886,26519510,AU098_gp045,AU098_gp045,PBI_APIZIUM_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519511,AU098_gp046,AU098_gp046,PBI_APIZIUM_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519512,AU098_gp047,AU098_gp047,PBI_APIZIUM_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519513,AU098_gp048,AU098_gp048,PBI_APIZIUM_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1673886,26519514,AU098_gp049,AU098_gp049,PBI_APIZIUM_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1673886,26519515,AU098_gp050,AU098_gp050,PBI_APIZIUM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519516,AU098_gp051,AU098_gp051,PBI_APIZIUM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519517,AU098_gp052,AU098_gp052,PBI_APIZIUM_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1673886,26519518,AU098_gp053,AU098_gp053,PBI_APIZIUM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519519,AU098_gp054,AU098_gp054,PBI_APIZIUM_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519520,AU098_gp055,AU098_gp055,PBI_APIZIUM_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519521,AU098_gp056,AU098_gp056,PBI_APIZIUM_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519522,AU098_gp057,AU098_gp057,PBI_APIZIUM_57,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1673886,26519523,AU098_gp058,AU098_gp058,PBI_APIZIUM_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519524,AU098_gp059,AU098_gp059,PBI_APIZIUM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519525,AU098_gp060,AU098_gp060,PBI_APIZIUM_60,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1673886,26519526,AU098_gp061,AU098_gp061,PBI_APIZIUM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519527,AU098_gp062,AU098_gp062,PBI_APIZIUM_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519528,AU098_gp063,AU098_gp063,PBI_APIZIUM_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519529,AU098_gp064,AU098_gp064,PBI_APIZIUM_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519530,AU098_gp065,AU098_gp065,PBI_APIZIUM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519531,AU098_gp066,AU098_gp066,PBI_APIZIUM_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519532,AU098_gp067,AU098_gp067,PBI_APIZIUM_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519533,AU098_gp068,AU098_gp068,PBI_APIZIUM_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519534,AU098_gp069,AU098_gp069,PBI_APIZIUM_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1673886,26519535,AU098_gp070,AU098_gp070,PBI_APIZIUM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519536,AU098_gp071,AU098_gp071,PBI_APIZIUM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519537,AU098_gp072,AU098_gp072,PBI_APIZIUM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1673886,26519538,AU098_gp073,AU098_gp073,PBI_APIZIUM_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519539,AU098_gp074,AU098_gp074,PBI_APIZIUM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519540,AU098_gp075,AU098_gp075,PBI_APIZIUM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519541,AU098_gp076,AU098_gp076,PBI_APIZIUM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519542,AU098_gp077,AU098_gp077,PBI_APIZIUM_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519543,AU098_gp078,AU098_gp078,PBI_APIZIUM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519544,AU098_gp079,AU098_gp079,PBI_APIZIUM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519545,AU098_gp080,AU098_gp080,PBI_APIZIUM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519546,AU098_gp081,AU098_gp081,PBI_APIZIUM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519547,AU098_gp082,AU098_gp082,PBI_APIZIUM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519548,AU098_gp083,AU098_gp083,PBI_APIZIUM_83,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1673886,26519549,AU098_gp084,AU098_gp084,PBI_APIZIUM_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519550,AU098_gp085,AU098_gp085,PBI_APIZIUM_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519551,AU098_gp086,AU098_gp086,PBI_APIZIUM_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519552,AU098_gp087,AU098_gp087,PBI_APIZIUM_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519553,AU098_gp088,AU098_gp088,PBI_APIZIUM_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519554,AU098_gp089,AU098_gp089,PBI_APIZIUM_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519555,AU098_gp090,AU098_gp090,PBI_APIZIUM_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519556,AU098_gp091,AU098_gp091,PBI_APIZIUM_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519557,AU098_gp092,AU098_gp092,PBI_APIZIUM_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519558,AU098_gp093,AU098_gp093,PBI_APIZIUM_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519559,AU098_gp094,AU098_gp094,PBI_APIZIUM_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519560,AU098_gp095,AU098_gp095,PBI_APIZIUM_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519561,AU098_gp096,AU098_gp096,PBI_APIZIUM_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519562,AU098_gp097,AU098_gp097,PBI_APIZIUM_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519563,AU098_gp098,AU098_gp098,PBI_APIZIUM_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519564,AU098_gp099,AU098_gp099,PBI_APIZIUM_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519565,AU098_gp100,AU098_gp100,PBI_APIZIUM_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519566,AU098_gp001,AU098_gp001,PBI_APIZIUM_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1673886,26591615,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Apizium).,other,-,-,-,-,20200513,-
