#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1728958,26647623,SLUR09_00002,SLUR09_00002,-,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210327,-
1728958,26647651,SLUR09_00031,SLUR09_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647652,SLUR09_00032,SLUR09_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647653,SLUR09_00033,SLUR09_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647654,SLUR09_00034,SLUR09_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647655,SLUR09_00035,SLUR09_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647656,SLUR09_00036,SLUR09_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647657,SLUR09_00037,SLUR09_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647658,SLUR09_00038,SLUR09_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647659,SLUR09_00039,SLUR09_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647660,SLUR09_00040,SLUR09_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647661,SLUR09_00041,SLUR09_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647662,SLUR09_00042,SLUR09_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647663,SLUR09_00043,SLUR09_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647664,SLUR09_00044,SLUR09_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647665,SLUR09_00045,SLUR09_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647666,SLUR09_00046,SLUR09_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647667,SLUR09_00047,SLUR09_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647668,SLUR09_00048,SLUR09_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647669,SLUR09_00049,SLUR09_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647670,SLUR09_00050,SLUR09_00050,-,-,-,-,Terminase-like family protein,protein-coding,-,-,-,Terminase-like family protein,20200912,-
1728958,26647671,SLUR09_00051,SLUR09_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647672,SLUR09_00052,SLUR09_00052,-,-,-,-,Phage portal protein,protein-coding,-,-,-,Phage portal protein,20210327,-
1728958,26647673,SLUR09_00053,SLUR09_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647674,SLUR09_00054,SLUR09_00054,-,-,-,-,Caudovirus prohead protease,protein-coding,-,-,-,Caudovirus prohead protease,20200910,-
1728958,26647675,SLUR09_00055,SLUR09_00055,-,-,-,-,Phage capsid family protein,protein-coding,-,-,-,Phage capsid family protein,20200910,-
1728958,26647676,SLUR09_00056,SLUR09_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647677,SLUR09_00057,SLUR09_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647678,SLUR09_00058,SLUR09_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647679,SLUR09_00059,SLUR09_00059,-,-,-,-,Bacterial Ig-like domain (group 2),protein-coding,-,-,-,Bacterial Ig-like domain (group 2),20200910,-
1728958,26647680,SLUR09_00060,SLUR09_00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647681,SLUR09_00061,SLUR09_00061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647682,SLUR09_00062,SLUR09_00062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647683,SLUR09_00063,SLUR09_00063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647684,SLUR09_00064,SLUR09_00064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647685,SLUR09_00065,SLUR09_00065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647686,SLUR09_00066,SLUR09_00066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647687,SLUR09_00067,SLUR09_00067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647688,SLUR09_00068,SLUR09_00068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647689,SLUR09_00069,SLUR09_00069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647690,dut,SLUR09_00070,-,-,-,-,Deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,Deoxyuridine 5'-triphosphate nucleotidohydrolase,20200910,-
1728958,26647691,SLUR09_00073,SLUR09_00073,-,-,-,-,putative DNA double-strand break repair Rad50 ATPase,protein-coding,-,-,-,putative DNA double-strand break repair Rad50 ATPase,20200910,-
1728958,26647692,SLUR09_00074,SLUR09_00074,-,-,-,-,Calcineurin-like phosphoesterase superfamily domain protein,protein-coding,-,-,-,Calcineurin-like phosphoesterase superfamily domain protein,20200910,-
1728958,26647693,SLUR09_00075,SLUR09_00075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647694,SLUR09_00076,SLUR09_00076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647695,SLUR09_00077,SLUR09_00077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647696,SLUR09_00078,SLUR09_00078,-,-,-,-,"Type III restriction enzyme, res subunit",protein-coding,-,-,-,"Type III restriction enzyme, res subunit",20200910,-
1728958,26647697,SLUR09_00079,SLUR09_00079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647698,polA_2,SLUR09_00080,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1728958,26647699,dnaG,SLUR09_00082,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1728958,26647700,SLUR09_00084,SLUR09_00084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1728958,26647701,SLUR09_00085,SLUR09_00085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647702,ligA_1,SLUR09_00086,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1728958,26647703,SLUR09_00089,SLUR09_00089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647704,SLUR09_00090,SLUR09_00090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647705,SLUR09_00091,SLUR09_00091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647706,SLUR09_00092,SLUR09_00092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647707,SLUR09_00093,SLUR09_00093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647708,SLUR09_00094,SLUR09_00094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647709,SLUR09_00095,SLUR09_00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647710,SLUR09_00096,SLUR09_00096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647711,SLUR09_00097,SLUR09_00097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647712,SLUR09_00098,SLUR09_00098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647713,SLUR09_00099,SLUR09_00099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647714,cobB,SLUR09_00100,-,-,-,-,NAD-dependent protein deacylase,protein-coding,-,-,-,NAD-dependent protein deacylase,20200910,-
1728958,26647715,SLUR09_00102,SLUR09_00102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647716,SLUR09_00103,SLUR09_00103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647717,nrdD,SLUR09_00104,-,-,-,-,Anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,Anaerobic ribonucleoside-triphosphate reductase,20210327,-
1728958,26647718,nrdA,SLUR09_00107,-,-,-,-,Ribonucleoside-diphosphate reductase 1 subunit alpha,protein-coding,-,-,-,Ribonucleoside-diphosphate reductase 1 subunit alpha,20200910,-
1728958,26647719,thyA2,SLUR09_00110,-,-,-,-,Thymidylate synthase 2,protein-coding,-,-,-,Thymidylate synthase 2,20210327,-
1728958,26647720,rnhA,SLUR09_00112,-,-,-,-,Ribonuclease H,protein-coding,-,-,-,Ribonuclease H,20200910,-
1728958,26647721,ybiA,SLUR09_00114,-,-,-,-,Swarming motility protein YbiA,protein-coding,-,-,-,Swarming motility protein YbiA,20200910,-
1728958,26647722,SLUR09_00116,SLUR09_00116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647723,SLUR09_00117,SLUR09_00117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647724,SLUR09_00118,SLUR09_00118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647725,SLUR09_00119,SLUR09_00119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647726,SLUR09_00120,SLUR09_00120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647727,SLUR09_00121,SLUR09_00121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647728,SLUR09_00122,SLUR09_00122,-,-,-,-,Cell Wall Hydrolase,protein-coding,-,-,-,Cell Wall Hydrolase,20210123,-
1728958,26647729,SLUR09_00123,SLUR09_00123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647730,SLUR09_00124,SLUR09_00124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647731,SLUR09_00125,SLUR09_00125,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647732,SLUR09_00126,SLUR09_00126,-,-,-,-,SPFH domain / Band 7 family protein,protein-coding,-,-,-,SPFH domain / Band 7 family protein,20210212,-
1728958,26647733,SLUR09_00127,SLUR09_00127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647734,SLUR09_00128,SLUR09_00128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647735,SLUR09_00129,SLUR09_00129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647736,SLUR09_00130,SLUR09_00130,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647737,SLUR09_00131,SLUR09_00131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647738,SLUR09_00132,SLUR09_00132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647739,SLUR09_00133,SLUR09_00133,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647740,SLUR09_00134,SLUR09_00134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647741,SLUR09_00135,SLUR09_00135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647742,SLUR09_00136,SLUR09_00136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647743,SLUR09_00137,SLUR09_00137,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647744,SLUR09_00138,SLUR09_00138,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647745,SLUR09_00139,SLUR09_00139,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647746,SLUR09_00140,SLUR09_00140,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647747,SLUR09_00141,SLUR09_00141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647748,SLUR09_00142,SLUR09_00142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647749,SLUR09_00143,SLUR09_00143,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647750,SLUR09_00144,SLUR09_00144,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647751,SLUR09_00145,SLUR09_00145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647752,SLUR09_00146,SLUR09_00146,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647753,SLUR09_00147,SLUR09_00147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647754,SLUR09_00148,SLUR09_00148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647755,SLUR09_00149,SLUR09_00149,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647756,SLUR09_00150,SLUR09_00150,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647757,SLUR09_00151,SLUR09_00151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647758,SLUR09_00152,SLUR09_00152,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647759,SLUR09_00153,SLUR09_00153,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647760,SLUR09_00154,SLUR09_00154,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647761,SLUR09_00155,SLUR09_00155,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647762,SLUR09_00156,SLUR09_00156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647763,SLUR09_00157,SLUR09_00157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647764,SLUR09_00158,SLUR09_00158,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647765,SLUR09_00159,SLUR09_00159,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647766,SLUR09_00160,SLUR09_00160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647767,SLUR09_00161,SLUR09_00161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647768,SLUR09_00162,SLUR09_00162,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647769,SLUR09_00163,SLUR09_00163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647770,SLUR09_00164,SLUR09_00164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647771,SLUR09_00165,SLUR09_00165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647772,SLUR09_00166,SLUR09_00166,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647773,SLUR09_00167,SLUR09_00167,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1728958,26647774,SLUR09_00168,SLUR09_00168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647775,grcA,SLUR09_00169,-,-,-,-,Autonomous glycyl radical cofactor,protein-coding,-,-,-,Autonomous glycyl radical cofactor,20200910,-
1728958,26647776,SLUR09_00171,SLUR09_00171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647777,SLUR09_00172,SLUR09_00172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647778,SLUR09_00173,SLUR09_00173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647779,SLUR09_00174,SLUR09_00174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647780,SLUR09_00175,SLUR09_00175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647781,SLUR09_00176,SLUR09_00176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647782,SLUR09_00177,SLUR09_00177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647783,SLUR09_00178,SLUR09_00178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647784,SLUR09_00179,SLUR09_00179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647785,SLUR09_00180,SLUR09_00180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647786,SLUR09_00181,SLUR09_00181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1728958,26647787,SLUR09_00101,SLUR09_00101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647788,SLUR09_00083,SLUR09_00083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647789,polA_1,SLUR09_00071,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1728958,26647790,SLUR09_00170,SLUR09_00170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647791,ligA_2,SLUR09_00087,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1728958,26647792,SLUR09_00088,SLUR09_00088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1728958,26647793,nrdB,SLUR09_00108,-,-,-,-,Ribonucleoside-diphosphate reductase 1 subunit beta,protein-coding,-,-,-,Ribonucleoside-diphosphate reductase 1 subunit beta,20200910,-
1728958,26647794,SLUR09_00109,SLUR09_00109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647795,ybeZ,SLUR09_00105,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1728958,26647796,SLUR09_00072,SLUR09_00072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647797,SLUR09_00081,SLUR09_00081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647798,SLUR09_00010,SLUR09_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647799,SLUR09_00113,SLUR09_00113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647800,SLUR09_00111,SLUR09_00111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647801,SLUR09_00106,SLUR09_00106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647802,SLUR09_00115,SLUR09_00115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26647803,SLUR09_00001,SLUR09_00001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1728958,26683545,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
