#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772293,40078297,2,FDH55_gp02,BENNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772293,40078310,15,FDH55_gp15,BENNIE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772293,40078311,16,FDH55_gp16,BENNIE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772293,40078312,17,FDH55_gp17,BENNIE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078313,18,FDH55_gp18,BENNIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772293,40078314,19,FDH55_gp19,BENNIE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078315,20,FDH55_gp20,BENNIE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078316,21,FDH55_gp21,BENNIE_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772293,40078317,22,FDH55_gp22,BENNIE_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772293,40078318,23,FDH55_gp23,BENNIE_23,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772293,40078319,24,FDH55_gp24,BENNIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078320,25,FDH55_gp25,BENNIE_25,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772293,40078321,26,FDH55_gp26,BENNIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078322,27,FDH55_gp27,BENNIE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078323,28,FDH55_gp28,BENNIE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078324,29,FDH55_gp29,BENNIE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078325,30,FDH55_gp30,BENNIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078326,31,FDH55_gp31,BENNIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078327,32,FDH55_gp32,BENNIE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078328,33,FDH55_gp33,BENNIE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078329,34,FDH55_gp34,BENNIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078330,35,FDH55_gp35,BENNIE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078331,36,FDH55_gp36,BENNIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078332,37,FDH55_gp37,BENNIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078333,38,FDH55_gp38,BENNIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078334,39,FDH55_gp39,BENNIE_39,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772293,40078335,40,FDH55_gp40,BENNIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078336,41,FDH55_gp41,BENNIE_41,-,-,-,ABC transporter ATP binding domain protein,protein-coding,-,-,-,ABC transporter ATP binding domain protein,20201221,-
1772293,40078337,42,FDH55_gp42,BENNIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078338,43,FDH55_gp43,BENNIE_43,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1772293,40078339,44,FDH55_gp44,BENNIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078340,45,FDH55_gp45,BENNIE_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772293,40078341,47,FDH55_gp46,BENNIE_47,-,-,-,adenylsuccinate synthetase,protein-coding,-,-,-,adenylsuccinate synthetase,20201221,-
1772293,40078342,48,FDH55_gp47,BENNIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078343,49,FDH55_gp48,BENNIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078344,50,FDH55_gp49,BENNIE_50,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20201221,-
1772293,40078345,51,FDH55_gp50,BENNIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078346,52,FDH55_gp51,BENNIE_52,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772293,40078347,53,FDH55_gp52,BENNIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078348,54,FDH55_gp53,BENNIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078349,55,FDH55_gp54,BENNIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078350,56,FDH55_gp55,BENNIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078351,57,FDH55_gp56,BENNIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078352,58,FDH55_gp57,BENNIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078353,59,FDH55_gp58,BENNIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078354,60,FDH55_gp59,BENNIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078355,61,FDH55_gp60,BENNIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078356,62,FDH55_gp61,BENNIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078357,63,FDH55_gp62,BENNIE_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1772293,40078358,1,FDH55_gp01,BENNIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40120244,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
