#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655017,25102579,OUROBOROS_2,OUROBOROS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655017,25102600,OUROBOROS_23,OUROBOROS_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655017,25102601,OUROBOROS_24,OUROBOROS_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102602,OUROBOROS_25,OUROBOROS_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655017,25102603,OUROBOROS_26,OUROBOROS_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655017,25102604,OUROBOROS_27,OUROBOROS_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655017,25102605,OUROBOROS_28,OUROBOROS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102606,OUROBOROS_29,OUROBOROS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102607,OUROBOROS_30,OUROBOROS_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655017,25102608,OUROBOROS_31,OUROBOROS_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655017,25102609,OUROBOROS_33,OUROBOROS_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655017,25102610,OUROBOROS_34,OUROBOROS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102611,OUROBOROS_35,OUROBOROS_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102612,OUROBOROS_36,OUROBOROS_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655017,25102613,OUROBOROS_37,OUROBOROS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102614,OUROBOROS_38,OUROBOROS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102615,OUROBOROS_40,OUROBOROS_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102616,OUROBOROS_41,OUROBOROS_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102617,OUROBOROS_42,OUROBOROS_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102618,OUROBOROS_43,OUROBOROS_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102619,OUROBOROS_44,OUROBOROS_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102620,OUROBOROS_45,OUROBOROS_45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655017,25102621,OUROBOROS_32,OUROBOROS_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655017,25102622,OUROBOROS_39,OUROBOROS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655017,25102623,OUROBOROS_1,OUROBOROS_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655017,25147814,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Ouroboros).,other,-,-,-,-,20200513,-
