#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675317,26795520,AXI73_gp02,AXI73_gp02,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20200629,-
1675317,26795539,AXI73_gp21,AXI73_gp21,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1675317,26795540,AXI73_gp22,AXI73_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795541,AXI73_gp23,AXI73_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795542,AXI73_gp24,AXI73_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795543,AXI73_gp25,AXI73_gp25,-,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20200629,-
1675317,26795544,AXI73_gp26,AXI73_gp26,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210406,-
1675317,26795545,AXI73_gp27,AXI73_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795546,AXI73_gp28,AXI73_gp28,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1675317,26795547,AXI73_gp29,AXI73_gp29,-,-,-,-,putative antireceptor,protein-coding,-,-,-,putative antireceptor,20200629,-
1675317,26795548,AXI73_gp30,AXI73_gp30,-,-,-,-,putative tail component domain-containing protein,protein-coding,-,-,-,putative tail component domain-containing protein,20200629,-
1675317,26795549,AXI73_gp31,AXI73_gp31,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1675317,26795550,AXI73_gp32,AXI73_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795551,AXI73_gp33,AXI73_gp33,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1675317,26795552,AXI73_gp34,AXI73_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795553,AXI73_gp35,AXI73_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795554,AXI73_gp36,AXI73_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795555,AXI73_gp37,AXI73_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795556,AXI73_gp38,AXI73_gp38,-,-,-,-,Rho termination factor,protein-coding,-,-,-,Rho termination factor,20200629,-
1675317,26795557,AXI73_gp39,AXI73_gp39,-,-,-,-,putative major capsid protein A,protein-coding,-,-,-,putative major capsid protein A,20200629,-
1675317,26795558,AXI73_gp40,AXI73_gp40,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20200629,-
1675317,26795559,AXI73_gp41,AXI73_gp41,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1675317,26795560,AXI73_gp42,AXI73_gp42,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1675317,26795561,AXI73_gp43,AXI73_gp43,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1675317,26795562,AXI73_gp01,AXI73_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26823900,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
