#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015804,40085941,FDI25_gp02,FDI25_gp02,ABP2_002,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
2015804,40085978,FDI25_gp39,FDI25_gp39,ABP2_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2015804,40085979,FDI25_gp40,FDI25_gp40,ABP2_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085980,FDI25_gp41,FDI25_gp41,ABP2_041,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201221,-
2015804,40085981,FDI25_gp42,FDI25_gp42,ABP2_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085982,FDI25_gp43,FDI25_gp43,ABP2_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2015804,40085983,FDI25_gp44,FDI25_gp44,ABP2_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085984,FDI25_gp45,FDI25_gp45,ABP2_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085985,FDI25_gp46,FDI25_gp46,ABP2_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085986,FDI25_gp47,FDI25_gp47,ABP2_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085987,FDI25_gp48,FDI25_gp48,ABP2_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085988,FDI25_gp49,FDI25_gp49,ABP2_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085989,FDI25_gp50,FDI25_gp50,ABP2_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085990,FDI25_gp51,FDI25_gp51,ABP2_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085991,FDI25_gp52,FDI25_gp52,ABP2_052,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
2015804,40085992,FDI25_gp53,FDI25_gp53,ABP2_053,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
2015804,40085993,FDI25_gp54,FDI25_gp54,ABP2_054,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
2015804,40085994,FDI25_gp55,FDI25_gp55,ABP2_055,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2015804,40085995,FDI25_gp56,FDI25_gp56,ABP2_056,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2015804,40085996,FDI25_gp57,FDI25_gp57,ABP2_057,-,-,-,RHS repeat-associated core domain protein,protein-coding,-,-,-,RHS repeat-associated core domain protein,20201221,-
2015804,40085997,FDI25_gp58,FDI25_gp58,ABP2_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085998,FDI25_gp59,FDI25_gp59,ABP2_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085999,FDI25_gp60,FDI25_gp60,ABP2_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086000,FDI25_gp61,FDI25_gp61,ABP2_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086001,FDI25_gp62,FDI25_gp62,ABP2_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086002,FDI25_gp63,FDI25_gp63,ABP2_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086003,FDI25_gp64,FDI25_gp64,ABP2_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086004,FDI25_gp65,FDI25_gp65,ABP2_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086005,FDI25_gp66,FDI25_gp66,ABP2_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086006,FDI25_gp67,FDI25_gp67,ABP2_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086007,FDI25_gp68,FDI25_gp68,ABP2_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086008,FDI25_gp69,FDI25_gp69,ABP2_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086009,FDI25_gp70,FDI25_gp70,ABP2_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086010,FDI25_gp71,FDI25_gp71,ABP2_071,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20201221,-
2015804,40086011,FDI25_gp72,FDI25_gp72,ABP2_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086012,FDI25_gp73,FDI25_gp73,ABP2_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086013,FDI25_gp74,FDI25_gp74,ABP2_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086014,FDI25_gp75,FDI25_gp75,ABP2_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086015,FDI25_gp76,FDI25_gp76,ABP2_076,-,-,-,putative immunity protein,protein-coding,-,-,-,putative immunity protein,20201221,-
2015804,40086016,FDI25_gp77,FDI25_gp77,ABP2_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086017,FDI25_gp78,FDI25_gp78,ABP2_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086018,FDI25_gp79,FDI25_gp79,ABP2_079,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201221,-
2015804,40086019,FDI25_gp80,FDI25_gp80,ABP2_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086020,FDI25_gp81,FDI25_gp81,ABP2_081,-,-,-,primosomal protein,protein-coding,-,-,-,primosomal protein,20201221,-
2015804,40086021,FDI25_gp82,FDI25_gp82,ABP2_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086022,FDI25_gp83,FDI25_gp83,ABP2_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086023,FDI25_gp84,FDI25_gp84,ABP2_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086024,FDI25_gp85,FDI25_gp85,ABP2_085,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20201221,-
2015804,40086025,FDI25_gp86,FDI25_gp86,ABP2_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086026,FDI25_gp87,FDI25_gp87,ABP2_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086027,FDI25_gp88,FDI25_gp88,ABP2_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40086028,FDI25_gp01,FDI25_gp01,ABP2_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40120422,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
