#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601610,63911438,KDJ11_gp02,KDJ11_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210420,-
2601610,63911456,KDJ11_gp20,KDJ11_gp20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2601610,63911457,KDJ11_gp21,KDJ11_gp21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2601610,63911458,KDJ11_gp22,KDJ11_gp22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2601610,63911459,KDJ11_gp23,KDJ11_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911460,KDJ11_gp24,KDJ11_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911461,KDJ11_gp25,KDJ11_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911462,KDJ11_gp26,KDJ11_gp26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210420,-
2601610,63911463,KDJ11_gp27,KDJ11_gp27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210420,-
2601610,63911464,KDJ11_gp28,KDJ11_gp28,-,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2601610,63911465,KDJ11_gp29,KDJ11_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911466,KDJ11_gp30,KDJ11_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911467,KDJ11_gp31,KDJ11_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911468,KDJ11_gp32,KDJ11_gp32,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20210420,-
2601610,63911469,KDJ11_gp33,KDJ11_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911470,KDJ11_gp34,KDJ11_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911471,KDJ11_gp35,KDJ11_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911472,KDJ11_gp36,KDJ11_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911473,KDJ11_gp37,KDJ11_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911474,KDJ11_gp38,KDJ11_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911475,KDJ11_gp39,KDJ11_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911476,KDJ11_gp40,KDJ11_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911477,KDJ11_gp41,KDJ11_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911478,KDJ11_gp42,KDJ11_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911479,KDJ11_gp43,KDJ11_gp43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210420,-
2601610,63911480,KDJ11_gp44,KDJ11_gp44,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210420,-
2601610,63911481,KDJ11_gp45,KDJ11_gp45,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210420,-
2601610,63911482,KDJ11_gp46,KDJ11_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911483,KDJ11_gp47,KDJ11_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911484,KDJ11_gp48,KDJ11_gp48,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210420,-
2601610,63911485,KDJ11_gp49,KDJ11_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911486,KDJ11_gp50,KDJ11_gp50,-,-,-,-,exonuclease-like protein,protein-coding,-,-,-,exonuclease-like protein,20210420,-
2601610,63911487,KDJ11_gp51,KDJ11_gp51,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210420,-
2601610,63911488,KDJ11_gp52,KDJ11_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911489,KDJ11_gp53,KDJ11_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911490,KDJ11_gp54,KDJ11_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911491,KDJ11_gp55,KDJ11_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911492,KDJ11_gp56,KDJ11_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911493,KDJ11_gp57,KDJ11_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911494,KDJ11_gp58,KDJ11_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911495,KDJ11_gp59,KDJ11_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911496,KDJ11_gp60,KDJ11_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911497,KDJ11_gp61,KDJ11_gp61,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2601610,63911498,KDJ11_gp62,KDJ11_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911499,KDJ11_gp63,KDJ11_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911500,KDJ11_gp64,KDJ11_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911501,KDJ11_gp65,KDJ11_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911502,KDJ11_gp66,KDJ11_gp66,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210420,-
2601610,63911503,KDJ11_gp67,KDJ11_gp67,-,-,-,-,WhiB-like transcriptional regulator,protein-coding,-,-,-,WhiB-like transcriptional regulator,20210420,-
2601610,63911504,KDJ11_gp68,KDJ11_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911505,KDJ11_gp69,KDJ11_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911506,KDJ11_gp70,KDJ11_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911507,KDJ11_gp71,KDJ11_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911508,KDJ11_gp72,KDJ11_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911509,KDJ11_gp73,KDJ11_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911510,KDJ11_gp74,KDJ11_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911511,KDJ11_gp75,KDJ11_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911512,KDJ11_gp76,KDJ11_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911513,KDJ11_gp77,KDJ11_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911514,KDJ11_gp78,KDJ11_gp78,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2601610,63911515,KDJ11_gp79,KDJ11_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911516,KDJ11_gp80,KDJ11_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911517,KDJ11_gp81,KDJ11_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911518,KDJ11_gp82,KDJ11_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911519,KDJ11_gp83,KDJ11_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911520,KDJ11_gp84,KDJ11_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911521,KDJ11_gp85,KDJ11_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911522,KDJ11_gp86,KDJ11_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911523,KDJ11_gp87,KDJ11_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911524,KDJ11_gp88,KDJ11_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911525,KDJ11_gp89,KDJ11_gp89,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2601610,63911526,KDJ11_gp01,KDJ11_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210420,-
2601610,64409765,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
