#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1927024,64946619,2,KIY73_gp02,SEA_CAMPERDOWNII_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210516,-
1927024,64946659,42,KIY73_gp42,SEA_CAMPERDOWNII_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946660,43,KIY73_gp43,SEA_CAMPERDOWNII_43,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210516,-
1927024,64946661,44,KIY73_gp44,SEA_CAMPERDOWNII_44,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210516,-
1927024,64946662,45,KIY73_gp45,SEA_CAMPERDOWNII_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946663,46,KIY73_gp46,SEA_CAMPERDOWNII_46,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210522,-
1927024,64946664,47,KIY73_gp47,SEA_CAMPERDOWNII_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946665,48,KIY73_gp48,SEA_CAMPERDOWNII_48,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210516,-
1927024,64946666,49,KIY73_gp49,SEA_CAMPERDOWNII_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946667,50,KIY73_gp50,SEA_CAMPERDOWNII_50,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210516,-
1927024,64946668,51,KIY73_gp51,SEA_CAMPERDOWNII_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946669,52,KIY73_gp52,SEA_CAMPERDOWNII_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946670,53,KIY73_gp53,SEA_CAMPERDOWNII_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
1927024,64946671,54,KIY73_gp54,SEA_CAMPERDOWNII_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210516,-
1927024,64946672,55,KIY73_gp55,SEA_CAMPERDOWNII_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946673,56,KIY73_gp56,SEA_CAMPERDOWNII_56,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210516,-
1927024,64946674,57,KIY73_gp57,SEA_CAMPERDOWNII_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946675,58,KIY73_gp58,SEA_CAMPERDOWNII_58,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210516,-
1927024,64946676,59,KIY73_gp59,SEA_CAMPERDOWNII_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946677,60,KIY73_gp60,SEA_CAMPERDOWNII_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946678,61,KIY73_gp61,SEA_CAMPERDOWNII_61,-,-,-,phosphoribosyl transferase,protein-coding,-,-,-,phosphoribosyl transferase,20210516,-
1927024,64946679,62,KIY73_gp62,SEA_CAMPERDOWNII_62,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210516,-
1927024,64946680,63,KIY73_gp63,SEA_CAMPERDOWNII_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946681,64,KIY73_gp64,SEA_CAMPERDOWNII_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946682,65,KIY73_gp65,SEA_CAMPERDOWNII_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946683,66,KIY73_gp66,SEA_CAMPERDOWNII_66,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210516,-
1927024,64946684,67,KIY73_gp67,SEA_CAMPERDOWNII_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946685,68,KIY73_gp68,SEA_CAMPERDOWNII_68,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210516,-
1927024,64946686,69,KIY73_gp69,SEA_CAMPERDOWNII_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946687,70,KIY73_gp70,SEA_CAMPERDOWNII_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946688,71,KIY73_gp71,SEA_CAMPERDOWNII_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946689,72,KIY73_gp72,SEA_CAMPERDOWNII_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946690,73,KIY73_gp73,SEA_CAMPERDOWNII_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946691,74,KIY73_gp74,SEA_CAMPERDOWNII_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946692,75,KIY73_gp75,SEA_CAMPERDOWNII_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946693,76,KIY73_gp76,SEA_CAMPERDOWNII_76,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210516,-
1927024,64946694,77,KIY73_gp77,SEA_CAMPERDOWNII_77,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210516,-
1927024,64946695,78,KIY73_gp78,SEA_CAMPERDOWNII_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946696,79,KIY73_gp79,SEA_CAMPERDOWNII_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946697,80,KIY73_gp80,SEA_CAMPERDOWNII_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946698,81,KIY73_gp81,SEA_CAMPERDOWNII_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946699,82,KIY73_gp82,SEA_CAMPERDOWNII_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946700,83,KIY73_gp83,SEA_CAMPERDOWNII_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946701,84,KIY73_gp84,SEA_CAMPERDOWNII_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946702,85,KIY73_gp85,SEA_CAMPERDOWNII_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946703,86,KIY73_gp86,SEA_CAMPERDOWNII_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946704,87,KIY73_gp87,SEA_CAMPERDOWNII_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946705,1,KIY73_gp01,SEA_CAMPERDOWNII_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
1927024,64953855,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Camperdownii).,other,-,-,-,-,20210517,-
