#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958965,54979888,HOR67_gp02,HOR67_gp02,-,-,-,-,shufflon-specific DNA recombinase,protein-coding,-,-,-,shufflon-specific DNA recombinase,20210123,-
1958965,54979902,HOR67_gp16,HOR67_gp16,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210123,-
1958965,54979903,HOR67_gp17,HOR67_gp17,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1958965,54979904,HOR67_gp18,HOR67_gp18,-,-,-,-,collar protein,protein-coding,-,-,-,collar protein,20210123,-
1958965,54979905,HOR67_gp19,HOR67_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979906,HOR67_gp20,HOR67_gp20,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1958965,54979907,HOR67_gp21,HOR67_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979908,HOR67_gp22,HOR67_gp22,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210123,-
1958965,54979909,HOR67_gp23,HOR67_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979910,HOR67_gp24,HOR67_gp24,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210123,-
1958965,54979911,HOR67_gp25,HOR67_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979912,HOR67_gp26,HOR67_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979913,HOR67_gp27,HOR67_gp27,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
1958965,54979914,HOR67_gp28,HOR67_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979915,HOR67_gp29,HOR67_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979916,HOR67_gp30,HOR67_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979917,HOR67_gp31,HOR67_gp31,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210123,-
1958965,54979918,HOR67_gp32,HOR67_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979919,HOR67_gp33,HOR67_gp33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210123,-
1958965,54979920,HOR67_gp34,HOR67_gp34,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210123,-
1958965,54979921,HOR67_gp35,HOR67_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979922,HOR67_gp36,HOR67_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979923,HOR67_gp37,HOR67_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979924,HOR67_gp38,HOR67_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979925,HOR67_gp39,HOR67_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979926,HOR67_gp40,HOR67_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979927,HOR67_gp41,HOR67_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979928,HOR67_gp42,HOR67_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979929,HOR67_gp43,HOR67_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979930,HOR67_gp44,HOR67_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979931,HOR67_gp45,HOR67_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979932,HOR67_gp46,HOR67_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979933,HOR67_gp47,HOR67_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979934,HOR67_gp48,HOR67_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979935,HOR67_gp01,HOR67_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,55153438,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
