#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
51313,921970,HaSNPVgOrf128,HaSNPVgOrf128,-,-,-,-,bv-ec31,protein-coding,-,-,-,bv-ec31,20181103,-
51313,921989,HaSNPVgOrf68,HaSNPVgOrf68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921990,HaSNPVgOrf90,HaSNPVgOrf90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921991,HaSNPVgOrf89,HaSNPVgOrf89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921992,HaSNPVgOrf88,HaSNPVgOrf88,-,-,-,-,p6.9,protein-coding,-,-,-,p6.9,20180815,-
51313,921993,HaSNPVgOrf87,HaSNPVgOrf87,-,-,-,-,lef5,protein-coding,-,-,-,lef5,20180815,-
51313,921994,HaSNPVgOrf86,HaSNPVgOrf86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921995,HaSNPVgOrf96,HaSNPVgOrf96,-,-,-,-,odv-e66,protein-coding,-,-,-,odv-e66,20180815,-
51313,921996,HaSNPVgOrf43,HaSNPVgOrf43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921997,HaSNPVgOrf95,HaSNPVgOrf95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921998,HaSNPVgOrf64,HaSNPVgOrf64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
51313,921999,HaSNPVgOrf31,HaSNPVgOrf31,-,-,-,-,39K Protein,protein-coding,-,-,-,39K Protein,20180815,-
51313,922000,HaSNPVgOrf26,HaSNPVgOrf26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922001,HaSNPVgOrf27,HaSNPVgOrf27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922002,HaSNPVgOrf28,HaSNPVgOrf28,-,-,-,-,ubiquitin-like protein,protein-coding,-,-,-,ubiquitin-like protein,20190814,-
51313,922003,HaSNPVgOrf29,HaSNPVgOrf29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922004,HaSNPVgOrf25,HaSNPVgOrf25,-,-,-,-,dbp,protein-coding,-,-,-,dbp,20180815,-
51313,922005,HaSNPVgOrf30,HaSNPVgOrf30,-,-,-,-,el25,protein-coding,-,-,-,el25,20180815,-
51313,922006,HaSNPVgOrf22,HaSNPVgOrf22,-,-,-,-,P26,protein-coding,-,-,-,P26,20181103,-
51313,922007,HaSNPVgOrf72,HaSNPVgOrf72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922008,HaSNPVgOrf33,HaSNPVgOrf33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922009,HaSNPVgOrf76,HaSNPVgOrf76,-,-,-,-,vp91 capsid,protein-coding,-,-,-,vp91 capsid,20180815,-
51313,922010,HaSNPVgOrf91,HaSNPVgOrf91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922011,HaSNPVgOrf24,HaSNPVgOrf24,-,-,-,-,lef6,protein-coding,-,-,-,lef6,20180815,-
51313,922012,HaSNPVgOrf67,HaSNPVgOrf67,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
51313,922013,HaSNPVgOrf51,HaSNPVgOrf51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922014,HaSNPVgOrf93,HaSNPVgOrf93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922015,HaSNPVgOrf104,HaSNPVgOrf104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922016,HaSNPVgOrf97a,HaSNPVgOrf97a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922017,HaSNPVgOrf8,HaSNPVgOrf8,-,-,-,-,ie-0,protein-coding,-,-,-,ie-0,20181103,-
51313,922018,HaSNPVgOrf50,HaSNPVgOrf50,-,-,-,-,few polyhedra,protein-coding,-,-,-,few polyhedra,20180815,-
51313,922019,HaSNPVgOrf32,HaSNPVgOrf32,-,-,-,-,lef11,protein-coding,-,-,-,lef11,20180815,-
51313,922020,HaSNPVgOrf52,HaSNPVgOrf52,-,-,-,-,lef9,protein-coding,-,-,-,lef9,20180815,-
51313,922021,HaSNPVgOrf57,HaSNPVgOrf57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922022,HaSNPVgOrf58,HaSNPVgOrf58,-,-,-,-,gp37,protein-coding,-,-,-,gp37,20180815,-
51313,922023,HaSNPVgOrf107,HaSNPVgOrf107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922024,HaSNPVgOrf108,HaSNPVgOrf108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922025,HaSNPVgOrf109,HaSNPVgOrf109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922026,HaSNPVgOrf111,HaSNPVgOrf111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922027,HaSNPVgOrf110,HaSNPVgOrf110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922028,HaSNPVgOrf2,HaSNPVgOrf2,-,-,-,-,Orf1236,protein-coding,-,-,-,Orf1236,20180815,-
51313,922029,HaSNPVgOrf97,HaSNPVgOrf97,-,-,-,-,p13+,protein-coding,-,-,-,p13+,20181103,-
51313,922030,HaSNPVgOrf98,HaSNPVgOrf98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922031,HaSNPVgOrf65,HaSNPVgOrf65,-,-,-,-,lef3,protein-coding,-,-,-,lef3,20180815,-
51313,922032,HaSNPVgOrf3,HaSNPVgOrf3,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20180815,-
51313,922033,HaSNPVgOrf75,HaSNPVgOrf75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922034,HaSNPVgOrf99,HaSNPVgOrf99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922035,HaSNPVgOrf4,HaSNPVgOrf4,-,-,-,-,haor,protein-coding,-,-,-,haor,20180815,-
51313,922036,HaSNPVgOrf100,HaSNPVgOrf100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922037,HaSNPVgOrf135,HaSNPVgOrf135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922038,HaSNPVgOrf82,HaSNPVgOrf82,-,-,-,-,odv-e25,protein-coding,-,-,-,odv-e25,20180815,-
51313,922039,HaSNPVgOrf56,HaSNPVgOrf56,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20181103,-
51313,922040,HaSNPVgOrf84,HaSNPVgOrf84,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
51313,922041,HaSNPVgOrf48,HaSNPVgOrf48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922042,HaSNPVgOrf101,HaSNPVgOrf101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922043,HaSNPVgOrf102,HaSNPVgOrf102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922044,HaSNPVgOrf127,HaSNPVgOrf127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922045,HaSNPVgOrf103,HaSNPVgOrf103,-,-,-,-,iap-3,protein-coding,-,-,-,iap-3,20180815,-
51313,922046,HaSNPVgOrf18,HaSNPVgOrf18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922047,HaSNPVgOrf105,HaSNPVgOrf105,-,-,-,-,bro-c,protein-coding,-,-,-,bro-c,20181103,-
51313,922048,HaSNPVgOrf40,HaSNPVgOrf40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922049,HaSNPVgOrf106,HaSNPVgOrf106,-,-,-,-,sod,protein-coding,-,-,-,sod,20180815,-
51313,922050,HaSNPVgOrf117,HaSNPVgOrf117,-,-,-,-,lef2,protein-coding,-,-,-,lef2,20180815,-
51313,922051,HaSNPVgOrf73,HaSNPVgOrf73,-,-,-,-,P40,protein-coding,-,-,-,P40,20180815,-
51313,922052,HaSNPVgOrf117a,HaSNPVgOrf117a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922053,HaSNPVgOrf118,HaSNPVgOrf118,-,-,-,-,p24 capsid,protein-coding,-,-,-,p24 capsid,20181103,-
51313,922054,HaSNPVgOrf119,HaSNPVgOrf119,-,-,-,-,gp16,protein-coding,-,-,-,gp16,20180815,-
51313,922055,HaSNPVgOrf44,HaSNPVgOrf44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190608,-
51313,922056,HaSNPVgOrf121,HaSNPVgOrf121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922057,HaSNPVgOrf77,HaSNPVgOrf77,-,-,-,-,cg30 protein,protein-coding,-,-,-,cg30 protein,20181103,-
51313,922058,HaSNPVgOrf78,HaSNPVgOrf78,-,-,-,-,vp39 capsid,protein-coding,-,-,-,vp39 capsid,20180815,-
51313,922059,HaSNPVgOrf79,HaSNPVgOrf79,-,-,-,-,lef4,protein-coding,-,-,-,lef4,20180815,-
51313,922060,HaSNPVgOrf120,HaSNPVgOrf120,-,-,-,-,calyx/pep,protein-coding,-,-,-,calyx/pep,20181103,-
51313,922061,HaSNPVgOrf122,HaSNPVgOrf122,-,-,-,-,odv-c21,protein-coding,-,-,-,odv-c21,20180815,-
51313,922062,HaSNPVgOrf123,HaSNPVgOrf123,-,-,-,-,38.7kD protein,protein-coding,-,-,-,38.7kD protein,20180815,-
51313,922063,HaSNPVgOrf124,HaSNPVgOrf124,-,-,-,-,lef1,protein-coding,-,-,-,lef1,20181103,-
51313,922064,HaSNPVgOrf131,HaSNPVgOrf131,-,-,-,-,arif1,protein-coding,-,-,-,arif1,20180815,-
51313,922065,HaSNPVgOrf125,HaSNPVgOrf125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922066,HaSNPVgOrf44.1,HaSNPVgOrf44.1,-,-,-,-,vp1054,protein-coding,-,-,-,vp1054,20180815,-
51313,922067,HaSNPVgOrf45,HaSNPVgOrf45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922068,HaSNPVgOrf46,HaSNPVgOrf46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922069,HaSNPVgOrf47,HaSNPVgOrf47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922070,HaSNPVgOrf16,HaSNPVgOrf16,-,-,-,-,me-53,protein-coding,-,-,-,me-53,20181103,-
51313,922071,HaSNPVgOrf19,HaSNPVgOrf19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922072,HaSNPVgOrf20,HaSNPVgOrf20,-,-,-,-,P74,protein-coding,-,-,-,P74,20180815,-
51313,922073,HaSNPVgOrf21,HaSNPVgOrf21,-,-,-,-,P10,protein-coding,-,-,-,P10,20180815,-
51313,922074,HaSNPVgOrf80,HaSNPVgOrf80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922075,HaSNPVgOrf81,HaSNPVgOrf81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922076,HaSNPVgOrf83,HaSNPVgOrf83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922077,HaSNPVgOrf85,HaSNPVgOrf85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922078,HaSNPVgOrf59,HaSNPVgOrf59,-,-,-,-,bro-a,protein-coding,-,-,-,bro-a,20180815,-
51313,922079,HaSNPVgOrf60,HaSNPVgOrf60,-,-,-,-,bro-a,protein-coding,-,-,-,bro-a,20180815,-
51313,922080,HaSNPVgOrf61,HaSNPVgOrf61,-,-,-,-,he65,protein-coding,-,-,-,he65,20180815,-
51313,922081,HaSNPVgOrf66,HaSNPVgOrf66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922082,HaSNPVgOrf92,HaSNPVgOrf92,-,-,-,-,vp80 capsid,protein-coding,-,-,-,vp80 capsid,20180815,-
51313,922083,HaSNPVgOrf62,HaSNPVgOrf62,-,-,-,-,iap-2,protein-coding,-,-,-,iap-2,20180815,-
51313,922084,HaSNPVgOrf5b,HaSNPVgOrf5b,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922085,HaSNPVgOrf6,HaSNPVgOrf6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922086,HaSNPVgOrf9,HaSNPVgOrf9,-,-,-,-,p49,protein-coding,-,-,-,p49,20180815,-
51313,922087,HaSNPVgOrf10,HaSNPVgOrf10,-,-,-,-,odv-e18,protein-coding,-,-,-,odv-e18,20180815,-
51313,922088,HaSNPVgOrf113,HaSNPVgOrf113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922089,HaSNPVgOrf114,HaSNPVgOrf114,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20181103,-
51313,922090,HaSNPVgOrf74,HaSNPVgOrf74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922091,HaSNPVgOrf41,HaSNPVgOrf41,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20180815,-
51313,922092,HaSNPVgOrf115,HaSNPVgOrf115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,922093,HaSNPVgOrf115a,HaSNPVgOrf115a,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922094,HaSNPVgOrf134,HaSNPVgOrf134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922095,HaSNPVgOrf116,HaSNPVgOrf116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922096,HaSNPVgOrf133,HaSNPVgOrf133,-,-,-,-,envelope protein,protein-coding,-,-,-,envelope protein,20180815,-
51313,922097,HaSNPVgOrf132,HaSNPVgOrf132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922098,HaSNPVgOrf130,HaSNPVgOrf130,-,-,-,-,pkip-1,protein-coding,-,-,-,pkip-1,20180815,-
51313,922099,HaSNPVgOrf36,HaSNPVgOrf36,-,-,-,-,lef12,protein-coding,-,-,-,lef12,20180815,-
51313,922100,HaSNPVgOrf94,HaSNPVgOrf94,-,-,-,-,odv-ec43,protein-coding,-,-,-,odv-ec43,20180815,-
51313,922101,HaSNPVgOrf129,HaSNPVgOrf129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922102,HaSNPVgOrf37,HaSNPVgOrf37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,922103,HaSNPVgOrf38,HaSNPVgOrf38,-,-,-,-,lef8,protein-coding,-,-,-,lef8,20180815,-
51313,2829583,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Helicoverpa armigera NPV; Helicoverpa armigera nuclear polyhedrosis virus; Helicoverpa armigera nucleopolyhedrosis virus; Helicoverpa armigera single nucleocapsid polyhedrovirus; Heliocoverpa armigera nucleopolyhedrovirus; Heliothis armigera nucleopolyhedrovirus).,other,-,-,-,-,20210531,-
51313,2947584,HaSNPVgOrf112,HaSNPVgOrf112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,2947585,HaSNPVgOrf46.1,HaSNPVgOrf46.1,-,-,-,-,lef10,protein-coding,-,-,-,lef10,20180815,-
51313,2947586,HaSNPVgOrf7,HaSNPVgOrf7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
