#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2267403,55608449,HWB64_gp002,HWB64_gp002,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210417,-
2267403,55608518,HWB64_gp071,HWB64_gp071,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20210417,-
2267403,55608519,HWB64_gp072,HWB64_gp072,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200620,-
2267403,55608520,HWB64_gp073,HWB64_gp073,-,-,-,-,head completion,protein-coding,-,-,-,head completion,20210417,-
2267403,55608521,HWB64_gp074,HWB64_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608522,HWB64_gp075,HWB64_gp075,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2267403,55608523,HWB64_gp076,HWB64_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608524,HWB64_gp077,HWB64_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608525,HWB64_gp078,HWB64_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608526,HWB64_gp079,HWB64_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608527,HWB64_gp080,HWB64_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608528,HWB64_gp081,HWB64_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608529,HWB64_gp082,HWB64_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608530,HWB64_gp083,HWB64_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608531,HWB64_gp084,HWB64_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608532,HWB64_gp085,HWB64_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608533,HWB64_gp086,HWB64_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608534,HWB64_gp087,HWB64_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608535,HWB64_gp088,HWB64_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608536,HWB64_gp089,HWB64_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608537,HWB64_gp090,HWB64_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608538,HWB64_gp091,HWB64_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608539,HWB64_gp092,HWB64_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608540,HWB64_gp093,HWB64_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608541,HWB64_gp094,HWB64_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608542,HWB64_gp095,HWB64_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608543,HWB64_gp096,HWB64_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608544,HWB64_gp097,HWB64_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608545,HWB64_gp098,HWB64_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608546,HWB64_gp099,HWB64_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608547,HWB64_gp100,HWB64_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608548,HWB64_gp101,HWB64_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608549,HWB64_gp102,HWB64_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608550,HWB64_gp103,HWB64_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608551,HWB64_gp104,HWB64_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608552,HWB64_gp105,HWB64_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608553,HWB64_gp106,HWB64_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608554,HWB64_gp107,HWB64_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608555,HWB64_gp108,HWB64_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608556,HWB64_gp109,HWB64_gp109,-,-,-,-,GroEL,protein-coding,-,-,-,GroEL,20210417,-
2267403,55608557,HWB64_gp110,HWB64_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608558,HWB64_gp111,HWB64_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608559,HWB64_gp112,HWB64_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608560,HWB64_gp113,HWB64_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608561,HWB64_gp114,HWB64_gp114,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210417,-
2267403,55608562,HWB64_gp115,HWB64_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608563,HWB64_gp116,HWB64_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608564,HWB64_gp117,HWB64_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608565,HWB64_gp118,HWB64_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608566,HWB64_gp119,HWB64_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608567,HWB64_gp120,HWB64_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608568,HWB64_gp121,HWB64_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608569,HWB64_gp122,HWB64_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608570,HWB64_gp123,HWB64_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608571,HWB64_gp124,HWB64_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608572,HWB64_gp125,HWB64_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608573,HWB64_gp126,HWB64_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608574,HWB64_gp127,HWB64_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608575,HWB64_gp128,HWB64_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608576,HWB64_gp129,HWB64_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608577,HWB64_gp130,HWB64_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608578,HWB64_gp131,HWB64_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608579,HWB64_gp132,HWB64_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608580,HWB64_gp133,HWB64_gp133,-,-,-,-,NTP pyrophosphohydrolase,protein-coding,-,-,-,NTP pyrophosphohydrolase,20210417,-
2267403,55608581,HWB64_gp134,HWB64_gp134,-,-,-,-,GroES,protein-coding,-,-,-,GroES,20210417,-
2267403,55608582,HWB64_gp135,HWB64_gp135,-,-,-,-,RegA,protein-coding,-,-,-,RegA,20210417,-
2267403,55608583,HWB64_gp136,HWB64_gp136,-,-,-,-,DNA polymerase clamp loader,protein-coding,-,-,-,DNA polymerase clamp loader,20210417,-
2267403,55608584,HWB64_gp137,HWB64_gp137,-,-,-,-,DNA polymerase clamp holder,protein-coding,-,-,-,DNA polymerase clamp holder,20210417,-
2267403,55608585,HWB64_gp138,HWB64_gp138,-,-,-,-,DNA polymerase clamp,protein-coding,-,-,-,DNA polymerase clamp,20210417,-
2267403,55608586,HWB64_gp139,HWB64_gp139,-,-,-,-,UvsW,protein-coding,-,-,-,UvsW,20210417,-
2267403,55608587,HWB64_gp140,HWB64_gp140,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210417,-
2267403,55608588,HWB64_gp141,HWB64_gp141,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210417,-
2267403,55608589,HWB64_gp142,HWB64_gp142,-,-,-,-,tail completion,protein-coding,-,-,-,tail completion,20210417,-
2267403,55608590,HWB64_gp143,HWB64_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608591,HWB64_gp144,HWB64_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608592,HWB64_gp145,HWB64_gp145,-,-,-,-,homing endonuclease F-LimVII,protein-coding,-,-,-,homing endonuclease F-LimVII,20210417,-
2267403,55608593,HWB64_gp146,HWB64_gp146,-,-,-,-,major capsid proten,protein-coding,-,-,-,major capsid proten,20210417,-
2267403,55608594,HWB64_gp147,HWB64_gp147,-,-,-,-,prohead core scaffold,protein-coding,-,-,-,prohead core scaffold,20210417,-
2267403,55608595,HWB64_gp148,HWB64_gp148,-,-,-,-,prohead core protease,protein-coding,-,-,-,prohead core protease,20210417,-
2267403,55608596,HWB64_gp149,HWB64_gp149,-,-,-,-,prohead core,protein-coding,-,-,-,prohead core,20210417,-
2267403,55608597,HWB64_gp150,HWB64_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608598,HWB64_gp151,HWB64_gp151,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2267403,55608599,HWB64_gp152,HWB64_gp152,-,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20210417,-
2267403,55608600,HWB64_gp153,HWB64_gp153,-,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20210417,-
2267403,55608601,HWB64_gp154,HWB64_gp154,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210417,-
2267403,55608602,HWB64_gp155,HWB64_gp155,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20210417,-
2267403,55608603,HWB64_gp156,HWB64_gp156,-,-,-,-,tail sheath stabilization,protein-coding,-,-,-,tail sheath stabilization,20210417,-
2267403,55608604,HWB64_gp157,HWB64_gp157,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210417,-
2267403,55608605,HWB64_gp158,HWB64_gp158,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210417,-
2267403,55608606,HWB64_gp159,HWB64_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608607,HWB64_gp160,HWB64_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608608,HWB64_gp161,HWB64_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608609,HWB64_gp162,HWB64_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608610,HWB64_gp163,HWB64_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608611,HWB64_gp164,HWB64_gp164,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20200620,-
2267403,55608612,HWB64_gp165,HWB64_gp165,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210417,-
2267403,55608613,HWB64_gp166,HWB64_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608614,HWB64_gp167,HWB64_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608615,HWB64_gp168,HWB64_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608616,HWB64_gp169,HWB64_gp169,-,-,-,-,IHF protein,protein-coding,-,-,-,IHF protein,20210417,-
2267403,55608617,HWB64_gp170,HWB64_gp170,-,-,-,-,RpoD,protein-coding,-,-,-,RpoD,20210417,-
2267403,55608618,HWB64_gp171,HWB64_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608619,HWB64_gp172,HWB64_gp172,-,-,-,-,DNA PolB,protein-coding,-,-,-,DNA PolB,20210417,-
2267403,55608620,HWB64_gp173,HWB64_gp173,-,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210417,-
2267403,55608621,HWB64_gp174,HWB64_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608622,HWB64_gp175,HWB64_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608623,HWB64_gp176,HWB64_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608624,HWB64_gp177,HWB64_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608625,HWB64_gp178,HWB64_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608626,HWB64_gp179,HWB64_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608627,HWB64_gp180,HWB64_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608628,HWB64_gp181,HWB64_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608629,HWB64_gp182,HWB64_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608630,HWB64_gp183,HWB64_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608631,HWB64_gp184,HWB64_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608632,HWB64_gp185,HWB64_gp185,-,-,-,-,PhoH,protein-coding,-,-,-,PhoH,20210417,-
2267403,55608633,HWB64_gp186,HWB64_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608634,HWB64_gp187,HWB64_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608635,HWB64_gp188,HWB64_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608636,HWB64_gp189,HWB64_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608637,HWB64_gp190,HWB64_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608638,HWB64_gp191,HWB64_gp191,-,-,-,-,RNRI protein,protein-coding,-,-,-,RNRI protein,20210417,-
2267403,55608639,HWB64_gp192,HWB64_gp192,-,-,-,-,RNRII protein,protein-coding,-,-,-,RNRII protein,20210417,-
2267403,55608640,HWB64_gp193,HWB64_gp193,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210417,-
2267403,55608641,HWB64_gp194,HWB64_gp194,-,-,-,-,GrxC,protein-coding,-,-,-,GrxC,20200620,-
2267403,55608642,HWB64_gp195,HWB64_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608643,HWB64_gp001,HWB64_gp001,-,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200620,-
2267403,55635819,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210602,-
