#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204534,13997273,D863_gp02,D863_gp02,phiMMP02_gp02,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1204534,13997295,D863_gp24,D863_gp24,phiMMP02_gp24,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20201221,-
1204534,13997296,D863_gp25,D863_gp25,phiMMP02_gp25,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20200629,-
1204534,13997297,D863_gp26,D863_gp26,phiMMP02_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997298,D863_gp27,D863_gp27,phiMMP02_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997299,D863_gp28,D863_gp28,phiMMP02_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997300,D863_gp29,D863_gp29,phiMMP02_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997301,D863_gp30,D863_gp30,phiMMP02_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997302,D863_gp31,D863_gp31,phiMMP02_gp31,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201221,-
1204534,13997303,D863_gp32,D863_gp32,phiMMP02_gp32,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20210417,-
1204534,13997304,D863_gp33,D863_gp33,phiMMP02_gp33,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210403,-
1204534,13997305,D863_gp34,D863_gp34,phiMMP02_gp34,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1204534,13997306,D863_gp35,D863_gp35,phiMMP02_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997307,D863_gp36,D863_gp36,phiMMP02_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997308,D863_gp37,D863_gp37,phiMMP02_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997309,D863_gp38,D863_gp38,phiMMP02_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997310,D863_gp39,D863_gp39,phiMMP02_gp39,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20201221,-
1204534,13997311,D863_gp40,D863_gp40,phiMMP02_gp40,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20200629,-
1204534,13997312,D863_gp41,D863_gp41,phiMMP02_gp41,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210123,-
1204534,13997313,D863_gp42,D863_gp42,phiMMP02_gp42,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1204534,13997314,D863_gp43,D863_gp43,phiMMP02_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997315,D863_gp44,D863_gp44,phiMMP02_gp44,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1204534,13997316,D863_gp45,D863_gp45,phiMMP02_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997317,D863_gp46,D863_gp46,phiMMP02_gp46,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1204534,13997318,D863_gp47,D863_gp47,phiMMP02_gp47,-,-,-,phage repressor,protein-coding,-,-,-,phage repressor,20200629,-
1204534,13997319,D863_gp48,D863_gp48,phiMMP02_gp48,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20201221,-
1204534,13997320,D863_gp49,D863_gp49,phiMMP02_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997321,D863_gp50,D863_gp50,phiMMP02_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997322,D863_gp51,D863_gp51,phiMMP02_gp51,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1204534,13997323,D863_gp52,D863_gp52,phiMMP02_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997324,D863_gp53,D863_gp53,phiMMP02_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997325,D863_gp54,D863_gp54,phiMMP02_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997326,D863_gp55,D863_gp55,phiMMP02_gp55,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20201221,-
1204534,13997327,D863_gp56,D863_gp56,phiMMP02_gp56,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201221,-
1204534,13997328,D863_gp57,D863_gp57,phiMMP02_gp57,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20201221,-
1204534,13997329,D863_gp58,D863_gp58,phiMMP02_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997330,D863_gp59,D863_gp59,phiMMP02_gp59,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1204534,13997331,D863_gp60,D863_gp60,phiMMP02_gp60,-,-,-,YopX,protein-coding,-,-,-,YopX,20200801,-
1204534,13997332,D863_gp61,D863_gp61,phiMMP02_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997333,D863_gp62,D863_gp62,phiMMP02_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997334,D863_gp63,D863_gp63,phiMMP02_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997335,D863_gp64,D863_gp64,phiMMP02_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997336,D863_gp65,D863_gp65,phiMMP02_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997337,D863_gp66,D863_gp66,phiMMP02_gp66,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20210424,-
1204534,13997338,D863_gp67,D863_gp67,phiMMP02_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997339,D863_gp68,D863_gp68,phiMMP02_gp68,-,-,-,nucleoid-associated protein,protein-coding,-,-,-,nucleoid-associated protein,20210417,-
1204534,13997340,D863_gp69,D863_gp69,phiMMP02_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997341,D863_gp70,D863_gp70,phiMMP02_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997342,D863_gp71,D863_gp71,phiMMP02_gp71,-,-,-,DUF3850 domain-containing protein,protein-coding,-,-,-,DUF3850 domain-containing protein,20210417,-
1204534,13997343,D863_gp72,D863_gp72,phiMMP02_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997344,D863_gp73,D863_gp73,phiMMP02_gp73,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210417,-
1204534,13997345,D863_gp74,D863_gp74,phiMMP02_gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997346,D863_gp75,D863_gp75,phiMMP02_gp75,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20201221,-
1204534,13997347,D863_gp76,D863_gp76,phiMMP02_gp76,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201221,-
1204534,13997348,D863_gp01,D863_gp01,phiMMP02_gp01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1204534,14007738,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
