#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163635,55608068,HWB59_gp92,HWB59_gp92,-,-,-,-,putative NTP pyrophosphohydrolase,protein-coding,-,-,-,putative NTP pyrophosphohydrolase,20210327,-
2163635,55608110,HWB59_gp56,HWB59_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608111,HWB59_gp55,HWB59_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608112,HWB59_gp54,HWB59_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608113,HWB59_gp53,HWB59_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608114,HWB59_gp52,HWB59_gp52,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2163635,55608115,HWB59_gp51,HWB59_gp51,-,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20210424,-
2163635,55608116,HWB59_gp50,HWB59_gp50,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210424,-
2163635,55608117,HWB59_gp49,HWB59_gp49,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163635,55608118,HWB59_gp48,HWB59_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608119,HWB59_gp47,HWB59_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608120,HWB59_gp46,HWB59_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608121,HWB59_gp45,HWB59_gp45,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2163635,55608122,HWB59_gp44,HWB59_gp44,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2163635,55608123,HWB59_gp43,HWB59_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608124,HWB59_gp42,HWB59_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608125,HWB59_gp41,HWB59_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608126,HWB59_gp40,HWB59_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608127,HWB59_gp39,HWB59_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608128,HWB59_gp38,HWB59_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608129,HWB59_gp37,HWB59_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608130,HWB59_gp36,HWB59_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608131,HWB59_gp35,HWB59_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608132,HWB59_gp34,HWB59_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608133,HWB59_gp33,HWB59_gp33,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163635,55608134,HWB59_gp32,HWB59_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608135,HWB59_gp31,HWB59_gp31,-,-,-,-,RNA polymerase large subunit,protein-coding,-,-,-,RNA polymerase large subunit,20210424,-
2163635,55608136,HWB59_gp30,HWB59_gp30,-,-,-,-,RNA polymerase small subunit,protein-coding,-,-,-,RNA polymerase small subunit,20210424,-
2163635,55608137,HWB59_gp29,HWB59_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608138,HWB59_gp28,HWB59_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608139,HWB59_gp27,HWB59_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608140,HWB59_gp26,HWB59_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608141,HWB59_gp25,HWB59_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608142,HWB59_gp24,HWB59_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608143,HWB59_gp23,HWB59_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608144,HWB59_gp22,HWB59_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608145,HWB59_gp21,HWB59_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608146,HWB59_gp20,HWB59_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608147,HWB59_gp19,HWB59_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608148,HWB59_gp18,HWB59_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608149,HWB59_gp17,HWB59_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608150,HWB59_gp16,HWB59_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608151,HWB59_gp15,HWB59_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608152,HWB59_gp14,HWB59_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608153,HWB59_gp13,HWB59_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608154,HWB59_gp12,HWB59_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608155,HWB59_gp11,HWB59_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608156,HWB59_gp10,HWB59_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608157,HWB59_gp09,HWB59_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608158,HWB59_gp08,HWB59_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608159,HWB59_gp07,HWB59_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608160,HWB59_gp01,HWB59_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55635786,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
