#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250357,60327016,2,I5H23_gp02,SEA_CLIFTON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250357,60327029,15,I5H23_gp15,SEA_CLIFTON_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250357,60327030,16,I5H23_gp16,SEA_CLIFTON_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250357,60327031,17,I5H23_gp17,SEA_CLIFTON_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250357,60327032,18,I5H23_gp18,SEA_CLIFTON_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250357,60327033,19,I5H23_gp19,SEA_CLIFTON_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250357,60327034,20,I5H23_gp20,SEA_CLIFTON_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327035,21,I5H23_gp21,SEA_CLIFTON_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327036,22,I5H23_gp22,SEA_CLIFTON_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327037,23,I5H23_gp23,SEA_CLIFTON_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327038,24,I5H23_gp24,SEA_CLIFTON_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2250357,60327039,25,I5H23_gp25,SEA_CLIFTON_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2250357,60327040,26,I5H23_gp26,SEA_CLIFTON_26,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2250357,60327041,27,I5H23_gp27,SEA_CLIFTON_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250357,60327042,28,I5H23_gp28,SEA_CLIFTON_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327043,29,I5H23_gp29,SEA_CLIFTON_29,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2250357,60327044,30,I5H23_gp30,SEA_CLIFTON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327045,31,I5H23_gp31,SEA_CLIFTON_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327046,32,I5H23_gp32,SEA_CLIFTON_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327047,34,I5H23_gp34,SEA_CLIFTON_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327048,36,I5H23_gp36,SEA_CLIFTON_36,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2250357,60327049,37,I5H23_gp37,SEA_CLIFTON_37,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2250357,60327050,38,I5H23_gp38,SEA_CLIFTON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327051,39,I5H23_gp39,SEA_CLIFTON_39,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201129,-
2250357,60327052,40,I5H23_gp40,SEA_CLIFTON_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2250357,60327053,41,I5H23_gp41,SEA_CLIFTON_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201129,-
2250357,60327054,42,I5H23_gp42,SEA_CLIFTON_42,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2250357,60327055,43,I5H23_gp43,SEA_CLIFTON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327056,44,I5H23_gp44,SEA_CLIFTON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327057,46,I5H23_gp46,SEA_CLIFTON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327058,47,I5H23_gp47,SEA_CLIFTON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327059,48,I5H23_gp48,SEA_CLIFTON_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327060,49,I5H23_gp49,SEA_CLIFTON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327061,50,I5H23_gp50,SEA_CLIFTON_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327062,51,I5H23_gp51,SEA_CLIFTON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250357,60327063,52,I5H23_gp52,SEA_CLIFTON_52,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2250357,60327064,53,I5H23_gp53,SEA_CLIFTON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2250357,60327065,54,I5H23_gp54,SEA_CLIFTON_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2250357,60327066,55,I5H23_gp55,SEA_CLIFTON_55,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2250357,60327067,56,I5H23_gp56,SEA_CLIFTON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327068,57,I5H23_gp57,SEA_CLIFTON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327069,58,I5H23_gp58,SEA_CLIFTON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327070,59,I5H23_gp59,SEA_CLIFTON_59,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210425,-
2250357,60327071,60,I5H23_gp60,SEA_CLIFTON_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250357,60327072,61,I5H23_gp61,SEA_CLIFTON_61,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2250357,60327073,62,I5H23_gp62,SEA_CLIFTON_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327074,63,I5H23_gp63,SEA_CLIFTON_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327075,64,I5H23_gp64,SEA_CLIFTON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327076,65,I5H23_gp65,SEA_CLIFTON_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327077,67,I5H23_gp67,SEA_CLIFTON_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327078,68,I5H23_gp68,SEA_CLIFTON_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327079,69,I5H23_gp69,SEA_CLIFTON_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327080,70,I5H23_gp70,SEA_CLIFTON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327081,71,I5H23_gp71,SEA_CLIFTON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327082,72,I5H23_gp72,SEA_CLIFTON_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327083,73,I5H23_gp73,SEA_CLIFTON_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327084,74,I5H23_gp74,SEA_CLIFTON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327085,75,I5H23_gp75,SEA_CLIFTON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327086,76,I5H23_gp76,SEA_CLIFTON_76,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2250357,60327087,77,I5H23_gp77,SEA_CLIFTON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327088,78,I5H23_gp78,SEA_CLIFTON_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327089,79,I5H23_gp79,SEA_CLIFTON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327090,80,I5H23_gp80,SEA_CLIFTON_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327091,81,I5H23_gp81,SEA_CLIFTON_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327092,82,I5H23_gp82,SEA_CLIFTON_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327093,83,I5H23_gp83,SEA_CLIFTON_83,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2250357,60327094,84,I5H23_gp84,SEA_CLIFTON_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327095,85,I5H23_gp85,SEA_CLIFTON_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327096,86,I5H23_gp86,SEA_CLIFTON_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327097,87,I5H23_gp87,SEA_CLIFTON_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327098,88,I5H23_gp88,SEA_CLIFTON_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327099,89,I5H23_gp89,SEA_CLIFTON_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327100,90,I5H23_gp90,SEA_CLIFTON_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327101,91,I5H23_gp91,SEA_CLIFTON_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327102,92,I5H23_gp92,SEA_CLIFTON_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327103,93,I5H23_gp93,SEA_CLIFTON_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250357,60327104,94,I5H23_gp94,SEA_CLIFTON_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327105,95,I5H23_gp95,SEA_CLIFTON_95,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250357,60327106,96,I5H23_gp96,SEA_CLIFTON_96,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2250357,60327107,33,I5H23_gp33,SEA_CLIFTON_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327108,35,I5H23_gp35,SEA_CLIFTON_35,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
2250357,60327109,45,I5H23_gp45,SEA_CLIFTON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250357,60327110,66,I5H23_gp66,SEA_CLIFTON_66,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2250357,60327111,1,I5H23_gp01,SEA_CLIFTON_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2250357,60338677,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
