#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599884,65122084,2,KNU73_gp02,PBI_XULA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2599884,65122117,35,KNU73_gp35,PBI_XULA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122118,36,KNU73_gp36,PBI_XULA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122119,37,KNU73_gp37,PBI_XULA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122120,38,KNU73_gp38,PBI_XULA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122121,39,KNU73_gp39,PBI_XULA_39,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2599884,65122122,41,KNU73_gp41,PBI_XULA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122123,42,KNU73_gp42,PBI_XULA_42,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210608,-
2599884,65122124,43,KNU73_gp43,PBI_XULA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122125,44,KNU73_gp44,PBI_XULA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122126,45,KNU73_gp45,PBI_XULA_45,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210608,-
2599884,65122127,46,KNU73_gp46,PBI_XULA_46,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210608,-
2599884,65122128,47,KNU73_gp47,PBI_XULA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122129,48,KNU73_gp48,PBI_XULA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122130,49,KNU73_gp49,PBI_XULA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122131,50,KNU73_gp50,PBI_XULA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122132,51,KNU73_gp51,PBI_XULA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122133,52,KNU73_gp52,PBI_XULA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122134,53,KNU73_gp53,PBI_XULA_53,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210608,-
2599884,65122135,54,KNU73_gp54,PBI_XULA_54,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210608,-
2599884,65122136,55,KNU73_gp55,PBI_XULA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122137,56,KNU73_gp56,PBI_XULA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122138,58,KNU73_gp58,PBI_XULA_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2599884,65122139,59,KNU73_gp59,PBI_XULA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122140,60,KNU73_gp60,PBI_XULA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122141,61,KNU73_gp61,PBI_XULA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122142,62,KNU73_gp62,PBI_XULA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122143,63,KNU73_gp63,PBI_XULA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122144,64,KNU73_gp64,PBI_XULA_64,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210608,-
2599884,65122145,65,KNU73_gp65,PBI_XULA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122146,66,KNU73_gp66,PBI_XULA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122147,67,KNU73_gp67,PBI_XULA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122148,68,KNU73_gp68,PBI_XULA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122149,69,KNU73_gp69,PBI_XULA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122150,70,KNU73_gp70,PBI_XULA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122151,71,KNU73_gp71,PBI_XULA_71,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210608,-
2599884,65122152,72,KNU73_gp72,PBI_XULA_72,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210608,-
2599884,65122153,73,KNU73_gp73,PBI_XULA_73,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210608,-
2599884,65122154,74,KNU73_gp74,PBI_XULA_74,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2599884,65122155,40,KNU73_gp40,PBI_XULA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122156,57,KNU73_gp57,PBI_XULA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65122157,1,KNU73_gp01,PBI_XULA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2599884,65243221,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
