#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1970798,54980515,HOR76_gp02,HOR76_gp02,KOX1_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210123,-
1970798,54980570,HOR76_gp57,HOR76_gp57,KOX1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980571,HOR76_gp58,HOR76_gp58,KOX1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980572,HOR76_gp59,HOR76_gp59,KOX1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980573,HOR76_gp60,HOR76_gp60,KOX1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980574,HOR76_gp61,HOR76_gp61,KOX1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980575,HOR76_gp62,HOR76_gp62,KOX1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980576,HOR76_gp64,HOR76_gp64,KOX1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980577,HOR76_gp65,HOR76_gp65,KOX1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980578,HOR76_gp66,HOR76_gp66,KOX1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980579,HOR76_gp67,HOR76_gp67,KOX1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980580,HOR76_gp68,HOR76_gp68,KOX1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980581,HOR76_gp69,HOR76_gp69,KOX1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980582,HOR76_gp70,HOR76_gp70,KOX1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980583,HOR76_gp71,HOR76_gp71,KOX1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980584,HOR76_gp72,HOR76_gp72,KOX1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980585,HOR76_gp73,HOR76_gp73,KOX1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980586,HOR76_gp74,HOR76_gp74,KOX1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980587,HOR76_gp75,HOR76_gp75,KOX1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980588,HOR76_gp76,HOR76_gp76,KOX1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980589,HOR76_gp77,HOR76_gp77,KOX1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980590,HOR76_gp78,HOR76_gp78,KOX1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980591,HOR76_gp79,HOR76_gp79,KOX1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980592,HOR76_gp80,HOR76_gp80,KOX1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980593,HOR76_gp81,HOR76_gp81,KOX1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980594,HOR76_gp63,HOR76_gp63,KOX1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980595,HOR76_gp01,HOR76_gp01,KOX1_1,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210327,-
1970798,55153470,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
