#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429793,18505685,2,PBI_DONOVAN_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1429793,18505714,31,PBI_DONOVAN_31,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1429793,18505715,32,PBI_DONOVAN_32,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20210417,-
1429793,18505716,33,PBI_DONOVAN_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505717,34,PBI_DONOVAN_34,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1429793,18505718,35,PBI_DONOVAN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505719,36,PBI_DONOVAN_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505720,37,PBI_DONOVAN_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505721,38,PBI_DONOVAN_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1429793,18505722,39,PBI_DONOVAN_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505723,40,PBI_DONOVAN_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505724,41,PBI_DONOVAN_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505725,42,PBI_DONOVAN_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505726,43,PBI_DONOVAN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505727,44,PBI_DONOVAN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505728,45,PBI_DONOVAN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505729,46,PBI_DONOVAN_46,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20201221,-
1429793,18505730,47,PBI_DONOVAN_47,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20210424,-
1429793,18505731,48,PBI_DONOVAN_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505732,49,PBI_DONOVAN_49,-,-,-,-,FtsK,protein-coding,-,-,-,FtsK,20201221,-
1429793,18505733,50,PBI_DONOVAN_50,-,-,-,-,RusA,protein-coding,-,-,-,RusA,20201221,-
1429793,18505734,51,PBI_DONOVAN_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505735,52,PBI_DONOVAN_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505736,53,PBI_DONOVAN_53,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1429793,18505737,54,PBI_DONOVAN_54,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1429793,18505738,55,PBI_DONOVAN_55,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1429793,18505739,56,PBI_DONOVAN_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505740,57,PBI_DONOVAN_57,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1429793,18505741,58,PBI_DONOVAN_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505742,59,PBI_DONOVAN_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505743,60,PBI_DONOVAN_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505744,61,PBI_DONOVAN_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505745,62,PBI_DONOVAN_62,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1429793,18505746,63,PBI_DONOVAN_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505747,64,PBI_DONOVAN_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505748,65,PBI_DONOVAN_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505749,66,PBI_DONOVAN_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505750,67,PBI_DONOVAN_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505751,68,PBI_DONOVAN_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505752,69,PBI_DONOVAN_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505753,70,PBI_DONOVAN_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505754,71,PBI_DONOVAN_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505755,72,PBI_DONOVAN_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505756,73,PBI_DONOVAN_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505757,74,PBI_DONOVAN_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1429793,18505758,75,PBI_DONOVAN_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505759,76,PBI_DONOVAN_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505760,77,PBI_DONOVAN_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505761,78,PBI_DONOVAN_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505762,1,PBI_DONOVAN_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1429793,18558781,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Donovan).,other,-,-,-,-,20200513,-
