#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912939,64654382,F5891DRAFT_1000001,F5891DRAFT_1000001,-,-,Unknown,-,cobalamin-independent synthase,protein-coding,-,-,-,cobalamin-independent synthase,20210605,-
1912939,64654437,F5891DRAFT_1000962,F5891DRAFT_1000962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654438,F5891DRAFT_1000966,F5891DRAFT_1000966,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654439,F5891DRAFT_1001004,F5891DRAFT_1001004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654440,F5891DRAFT_1001014,F5891DRAFT_1001014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654441,F5891DRAFT_1001017,F5891DRAFT_1001017,-,-,Unknown,-,Golgi apparatus membrane protein TVP38,protein-coding,-,-,-,Golgi apparatus membrane protein TVP38,20210605,-
1912939,64654442,F5891DRAFT_1001022,F5891DRAFT_1001022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654443,F5891DRAFT_1001025,F5891DRAFT_1001025,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1912939,64654444,F5891DRAFT_1001027,F5891DRAFT_1001027,-,-,Unknown,-,WD-repeat-containing protein,protein-coding,-,-,-,WD-repeat-containing protein,20210605,-
1912939,64654445,F5891DRAFT_1001038,F5891DRAFT_1001038,-,-,Unknown,-,ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small chain,20210605,-
1912939,64654446,F5891DRAFT_1001040,F5891DRAFT_1001040,-,-,Unknown,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20210605,-
1912939,64654447,F5891DRAFT_1001075,F5891DRAFT_1001075,-,-,Unknown,-,multidrug resistance protein 4,protein-coding,-,-,-,multidrug resistance protein 4,20210605,-
1912939,64654448,F5891DRAFT_1001102,F5891DRAFT_1001102,-,-,Unknown,-,vesicle transport v-SNARE protein N-terminus-domain-containing protein,protein-coding,-,-,-,vesicle transport v-SNARE protein N-terminus-domain-containing protein,20210605,-
1912939,64654449,F5891DRAFT_1001105,F5891DRAFT_1001105,-,-,Unknown,-,integral membrane protein DUF106-domain-containing protein,protein-coding,-,-,-,integral membrane protein DUF106-domain-containing protein,20210605,-
1912939,64654450,F5891DRAFT_1001113,F5891DRAFT_1001113,-,-,Unknown,-,EF-hand,protein-coding,-,-,-,EF-hand,20210605,-
1912939,64654451,F5891DRAFT_1001116,F5891DRAFT_1001116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654452,F5891DRAFT_1001118,F5891DRAFT_1001118,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912939,64654453,F5891DRAFT_1001120,F5891DRAFT_1001120,-,-,Unknown,-,arginine-tRNA-protein transferase,protein-coding,-,-,-,arginine-tRNA-protein transferase,20210605,-
1912939,64654454,F5891DRAFT_1001160,F5891DRAFT_1001160,-,-,Unknown,-,PI31 proteasome regulator N-terminal-domain-containing protein,protein-coding,-,-,-,PI31 proteasome regulator N-terminal-domain-containing protein,20210605,-
1912939,64654455,F5891DRAFT_1001163,F5891DRAFT_1001163,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912939,64654456,F5891DRAFT_1001204,F5891DRAFT_1001204,-,-,Unknown,-,4-hydroxybenzoate polyprenyl transferase,protein-coding,-,-,-,4-hydroxybenzoate polyprenyl transferase,20210605,-
1912939,64654457,F5891DRAFT_1001206,F5891DRAFT_1001206,-,-,Unknown,-,RNA polymerase I,protein-coding,-,-,-,RNA polymerase I,20210605,-
1912939,64654458,F5891DRAFT_1001226,F5891DRAFT_1001226,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654459,F5891DRAFT_1001231,F5891DRAFT_1001231,-,-,Unknown,-,cyclic nucleotide-binding-like protein,protein-coding,-,-,-,cyclic nucleotide-binding-like protein,20210605,-
1912939,64654460,F5891DRAFT_1001235,F5891DRAFT_1001235,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210605,-
1912939,64654461,F5891DRAFT_1001249,F5891DRAFT_1001249,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654462,F5891DRAFT_1001266,F5891DRAFT_1001266,-,-,Unknown,-,uracil phosphoribosyltransferase-domain-containing protein,protein-coding,-,-,-,uracil phosphoribosyltransferase-domain-containing protein,20210605,-
1912939,64654463,F5891DRAFT_1001268,F5891DRAFT_1001268,-,-,Unknown,-,methyltransferase-domain-containing protein,protein-coding,-,-,-,methyltransferase-domain-containing protein,20210605,-
1912939,64654464,F5891DRAFT_1001274,F5891DRAFT_1001274,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654465,F5891DRAFT_1001313,F5891DRAFT_1001313,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912939,64654466,F5891DRAFT_1001317,F5891DRAFT_1001317,-,-,Unknown,-,magnesium transporter NIPA-domain-containing protein,protein-coding,-,-,-,magnesium transporter NIPA-domain-containing protein,20210605,-
1912939,64654467,F5891DRAFT_1001320,F5891DRAFT_1001320,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912939,64654468,F5891DRAFT_1001324,F5891DRAFT_1001324,-,-,Unknown,-,FeS cluster assembly scaffold IscU,protein-coding,-,-,-,FeS cluster assembly scaffold IscU,20210605,-
1912939,64654469,F5891DRAFT_1001325,F5891DRAFT_1001325,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654470,F5891DRAFT_1001328,F5891DRAFT_1001328,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654471,F5891DRAFT_1001352,F5891DRAFT_1001352,-,-,Unknown,-,HSF-type DNA-binding-domain-containing protein,protein-coding,-,-,-,HSF-type DNA-binding-domain-containing protein,20210605,-
1912939,64654472,F5891DRAFT_1001356,F5891DRAFT_1001356,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210605,-
1912939,64654473,F5891DRAFT_1001393,F5891DRAFT_1001393,-,-,Unknown,-,vacuolar amino acid permease,protein-coding,-,-,-,vacuolar amino acid permease,20210605,-
1912939,64654474,F5891DRAFT_1001463,F5891DRAFT_1001463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654475,F5891DRAFT_1001472,F5891DRAFT_1001472,-,-,Unknown,-,glycosyl hydrolase catalytic core-domain-containing protein,protein-coding,-,-,-,glycosyl hydrolase catalytic core-domain-containing protein,20210605,-
1912939,64654476,F5891DRAFT_1001475,F5891DRAFT_1001475,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654477,F5891DRAFT_1001510,F5891DRAFT_1001510,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654478,F5891DRAFT_1001512,F5891DRAFT_1001512,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654479,F5891DRAFT_1001518,F5891DRAFT_1001518,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654480,F5891DRAFT_1001519,F5891DRAFT_1001519,-,-,Unknown,-,Six-hairpin glycosidase-like protein,protein-coding,-,-,-,Six-hairpin glycosidase-like protein,20210605,-
1912939,64654481,F5891DRAFT_1001528,F5891DRAFT_1001528,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654482,F5891DRAFT_1001531,F5891DRAFT_1001531,-,-,Unknown,-,aconitase family-domain-containing protein,protein-coding,-,-,-,aconitase family-domain-containing protein,20210605,-
1912939,64654483,F5891DRAFT_1001549,F5891DRAFT_1001549,-,-,Unknown,-,RNA polymerase III transcription factor IIIC subunit-domain-containing protein,protein-coding,-,-,-,RNA polymerase III transcription factor IIIC subunit-domain-containing protein,20210605,-
1912939,64654484,F5891DRAFT_1001565,F5891DRAFT_1001565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654485,F5891DRAFT_1001575,F5891DRAFT_1001575,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912939,64654486,F5891DRAFT_1001593,F5891DRAFT_1001593,-,-,Unknown,-,Rdx family-domain-containing protein,protein-coding,-,-,-,Rdx family-domain-containing protein,20210605,-
1912939,64654487,F5891DRAFT_1001602,F5891DRAFT_1001602,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654488,F5891DRAFT_1001611,F5891DRAFT_1001611,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654489,F5891DRAFT_1001613,F5891DRAFT_1001613,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654490,F5891DRAFT_1001618,F5891DRAFT_1001618,-,-,Unknown,-,TATA binding protein-associated phosphoprotein,protein-coding,-,-,-,TATA binding protein-associated phosphoprotein,20210605,-
1912939,64654491,F5891DRAFT_1001694,F5891DRAFT_1001694,-,-,Unknown,-,acyl-CoA dehydrogenase/oxidase,protein-coding,-,-,-,acyl-CoA dehydrogenase/oxidase,20210605,-
1912939,64654492,F5891DRAFT_1001706,F5891DRAFT_1001706,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654493,F5891DRAFT_1001707,F5891DRAFT_1001707,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210605,-
1912939,64654494,F5891DRAFT_1001715,F5891DRAFT_1001715,-,-,Unknown,-,Sucrase/ferredoxin-like-domain-containing protein,protein-coding,-,-,-,Sucrase/ferredoxin-like-domain-containing protein,20210605,-
1912939,64654495,F5891DRAFT_1001719,F5891DRAFT_1001719,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654496,F5891DRAFT_1001762,F5891DRAFT_1001762,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654497,F5891DRAFT_1001797,F5891DRAFT_1001797,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654498,F5891DRAFT_1001804,F5891DRAFT_1001804,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654499,F5891DRAFT_100181,F5891DRAFT_100181,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912939,64654500,F5891DRAFT_1001838,F5891DRAFT_1001838,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654501,F5891DRAFT_1001839,F5891DRAFT_1001839,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654502,F5891DRAFT_1001842,F5891DRAFT_1001842,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654503,F5891DRAFT_1001844,F5891DRAFT_1001844,-,-,Unknown,-,mitochondrial NAD-homo-isocitrate dehydrogenase LysB,protein-coding,-,-,-,mitochondrial NAD-homo-isocitrate dehydrogenase LysB,20210605,-
1912939,64654504,F5891DRAFT_1001850,F5891DRAFT_1001850,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
1912939,64654505,F5891DRAFT_1001865,F5891DRAFT_1001865,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912939,64654506,F5891DRAFT_1001867,F5891DRAFT_1001867,-,-,Unknown,-,glycoside hydrolase family 35 protein,protein-coding,-,-,-,glycoside hydrolase family 35 protein,20210605,-
1912939,64654507,F5891DRAFT_1001875,F5891DRAFT_1001875,-,-,Unknown,-,serine carboxypeptidase-domain-containing protein,protein-coding,-,-,-,serine carboxypeptidase-domain-containing protein,20210605,-
1912939,64654508,F5891DRAFT_1001881,F5891DRAFT_1001881,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912939,64654509,F5891DRAFT_1001884,F5891DRAFT_1001884,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654510,F5891DRAFT_1001928,F5891DRAFT_1001928,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654511,F5891DRAFT_1001930,F5891DRAFT_1001930,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654512,F5891DRAFT_1001935,F5891DRAFT_1001935,-,-,Unknown,-,mitochondrial 18 KDa protein-domain-containing protein,protein-coding,-,-,-,mitochondrial 18 KDa protein-domain-containing protein,20210605,-
1912939,64654513,F5891DRAFT_1001938,F5891DRAFT_1001938,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654514,F5891DRAFT_1001992,F5891DRAFT_1001992,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654515,F5891DRAFT_1002018,F5891DRAFT_1002018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654516,F5891DRAFT_1002021,F5891DRAFT_1002021,-,-,Unknown,-,ACBP-domain-containing protein,protein-coding,-,-,-,ACBP-domain-containing protein,20210605,-
1912939,64654517,F5891DRAFT_1002043,F5891DRAFT_1002043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654518,F5891DRAFT_1002095,F5891DRAFT_1002095,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654519,F5891DRAFT_1002108,F5891DRAFT_1002108,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912939,64654520,F5891DRAFT_1002109,F5891DRAFT_1002109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654521,F5891DRAFT_1002123,F5891DRAFT_1002123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654522,F5891DRAFT_1002132,F5891DRAFT_1002132,-,-,Unknown,-,NADP-dependent oxidoreductase domain-containing protein,protein-coding,-,-,-,NADP-dependent oxidoreductase domain-containing protein,20210605,-
1912939,64654523,F5891DRAFT_1002136,F5891DRAFT_1002136,-,-,Unknown,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210605,-
1912939,64654524,F5891DRAFT_1002138,F5891DRAFT_1002138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654525,F5891DRAFT_1002148,F5891DRAFT_1002148,-,-,Unknown,-,transport protein Avl9-domain-containing protein,protein-coding,-,-,-,transport protein Avl9-domain-containing protein,20210605,-
1912939,64654526,F5891DRAFT_1002156,F5891DRAFT_1002156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654527,F5891DRAFT_1002164,F5891DRAFT_1002164,-,-,Unknown,-,AMP deaminase,protein-coding,-,-,-,AMP deaminase,20210605,-
1912939,64654528,F5891DRAFT_1002172,F5891DRAFT_1002172,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654529,F5891DRAFT_1002184,F5891DRAFT_1002184,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654530,F5891DRAFT_1002190,F5891DRAFT_1002190,-,-,Unknown,-,glycoside hydrolase family 71 protein,protein-coding,-,-,-,glycoside hydrolase family 71 protein,20210605,-
1912939,64654531,F5891DRAFT_1002243,F5891DRAFT_1002243,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912939,64654532,F5891DRAFT_1002281,F5891DRAFT_1002281,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912939,64654533,F5891DRAFT_1002288,F5891DRAFT_1002288,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
1912939,64654534,F5891DRAFT_1002289,F5891DRAFT_1002289,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912939,64654535,F5891DRAFT_1002298,F5891DRAFT_1002298,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
