#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301547,64367749,2,KD929_gp02,SEA_AGGIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2301547,64367774,27,KD929_gp27,SEA_AGGIE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2301547,64367775,28,KD929_gp28,SEA_AGGIE_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210423,-
2301547,64367776,29,KD929_gp29,SEA_AGGIE_29,-,-,-,holin,protein-coding,-,-,-,holin,20210423,-
2301547,64367777,30,KD929_gp30,SEA_AGGIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367778,31,KD929_gp31,SEA_AGGIE_31,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20210423,-
2301547,64367779,32,KD929_gp32,SEA_AGGIE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367780,33,KD929_gp33,SEA_AGGIE_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210423,-
2301547,64367781,34,KD929_gp34,SEA_AGGIE_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210423,-
2301547,64367782,35,KD929_gp35,SEA_AGGIE_35,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210423,-
2301547,64367783,36,KD929_gp36,SEA_AGGIE_36,-,-,-,excise,protein-coding,-,-,-,excise,20210423,-
2301547,64367784,37,KD929_gp37,SEA_AGGIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367785,38,KD929_gp38,SEA_AGGIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367786,39,KD929_gp39,SEA_AGGIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367787,40,KD929_gp40,SEA_AGGIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367788,41,KD929_gp41,SEA_AGGIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367789,42,KD929_gp42,SEA_AGGIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367790,43,KD929_gp43,SEA_AGGIE_43,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210423,-
2301547,64367791,44,KD929_gp44,SEA_AGGIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367792,45,KD929_gp45,SEA_AGGIE_45,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210423,-
2301547,64367793,46,KD929_gp46,SEA_AGGIE_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210423,-
2301547,64367794,47,KD929_gp47,SEA_AGGIE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367795,48,KD929_gp48,SEA_AGGIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367796,49,KD929_gp49,SEA_AGGIE_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210605,-
2301547,64367797,50,KD929_gp50,SEA_AGGIE_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210522,-
2301547,64367798,51,KD929_gp51,SEA_AGGIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367799,52,KD929_gp52,SEA_AGGIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367800,53,KD929_gp53,SEA_AGGIE_53,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210423,-
2301547,64367801,54,KD929_gp54,SEA_AGGIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367802,55,KD929_gp55,SEA_AGGIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367803,56,KD929_gp56,SEA_AGGIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367804,57,KD929_gp57,SEA_AGGIE_57,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2301547,64367805,58,KD929_gp58,SEA_AGGIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367806,59,KD929_gp59,SEA_AGGIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367807,60,KD929_gp60,SEA_AGGIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367808,61,KD929_gp61,SEA_AGGIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367809,62,KD929_gp62,SEA_AGGIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367810,63,KD929_gp63,SEA_AGGIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367811,64,KD929_gp64,SEA_AGGIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367812,65,KD929_gp65,SEA_AGGIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367813,66,KD929_gp66,SEA_AGGIE_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2301547,64367814,67,KD929_gp67,SEA_AGGIE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2301547,64367815,1,KD929_gp01,SEA_AGGIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64409729,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
