#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
871584,9711325,phiCTP1_gp2,phiCTP1_gp2,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
871584,9711383,phiCTP1_gp60,phiCTP1_gp60,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201220,-
871584,9711384,phiCTP1_gp61,phiCTP1_gp61,-,-,-,-,putative RNA polymerase sigma factor,protein-coding,-,-,-,putative RNA polymerase sigma factor,20201220,-
871584,9711385,phiCTP1_gp62,phiCTP1_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711386,phiCTP1_gp63,phiCTP1_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711387,phiCTP1_gp64,phiCTP1_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711388,phiCTP1_gp65,phiCTP1_gp65,-,-,-,-,putative DNA polymerase III,protein-coding,-,-,-,putative DNA polymerase III,20201220,-
871584,9711389,phiCTP1_gp66,phiCTP1_gp66,-,-,-,-,putative DNA polymerase III,protein-coding,-,-,-,putative DNA polymerase III,20201220,-
871584,9711390,phiCTP1_gp67,phiCTP1_gp67,-,-,-,-,putative DNA polymerase III,protein-coding,-,-,-,putative DNA polymerase III,20201220,-
871584,9711391,phiCTP1_gp68,phiCTP1_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711392,phiCTP1_gp69,phiCTP1_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711393,phiCTP1_gp70,phiCTP1_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711394,phiCTP1_gp71,phiCTP1_gp71,-,-,-,-,putative RecA protein,protein-coding,-,-,-,putative RecA protein,20201220,-
871584,9711395,phiCTP1_gp72,phiCTP1_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711396,phiCTP1_gp73,phiCTP1_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711397,phiCTP1_gp74,phiCTP1_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711398,phiCTP1_gp75,phiCTP1_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711399,phiCTP1_gp76,phiCTP1_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711400,phiCTP1_gp77,phiCTP1_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711401,phiCTP1_gp78,phiCTP1_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711402,phiCTP1_gp79,phiCTP1_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711403,phiCTP1_gp80,phiCTP1_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711404,phiCTP1_gp81,phiCTP1_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711405,phiCTP1_gp82,phiCTP1_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711406,phiCTP1_gp83,phiCTP1_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711407,phiCTP1_gp84,phiCTP1_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711408,phiCTP1_gp85,phiCTP1_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711409,phiCTP1_gp86,phiCTP1_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9711410,phiCTP1_gp1,phiCTP1_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
871584,9714279,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium tyrobutyricum bacteriophage phiCTP1).,other,-,-,-,-,20200513,-
