#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815984,55804710,HYO99_gp02,HYO99_gp02,RDp01_gp02,-,-,-,terminase subunit A,protein-coding,-,-,-,terminase subunit A,20210424,-
1815984,55804735,HYO99_gp27,HYO99_gp27,RDp01_gp27,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210424,-
1815984,55804736,HYO99_gp28,HYO99_gp28,RDp01_gp28,-,-,-,metallopeptidase domain containing protein,protein-coding,-,-,-,metallopeptidase domain containing protein,20210424,-
1815984,55804737,HYO99_gp29,HYO99_gp29,RDp01_gp29,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210424,-
1815984,55804738,HYO99_gp30,HYO99_gp30,RDp01_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804739,HYO99_gp31,HYO99_gp31,RDp01_gp31,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1815984,55804740,HYO99_gp32,HYO99_gp32,RDp01_gp32,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210424,-
1815984,55804741,HYO99_gp33,HYO99_gp33,RDp01_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804742,HYO99_gp34,HYO99_gp34,RDp01_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804743,HYO99_gp35,HYO99_gp35,RDp01_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804744,HYO99_gp36,HYO99_gp36,RDp01_gp36,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20210424,-
1815984,55804745,HYO99_gp37,HYO99_gp37,RDp01_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804746,HYO99_gp38,HYO99_gp38,RDp01_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804747,HYO99_gp39,HYO99_gp39,RDp01_gp39,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20210424,-
1815984,55804748,HYO99_gp40,HYO99_gp40,RDp01_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804749,HYO99_gp41,HYO99_gp41,RDp01_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804750,HYO99_gp42,HYO99_gp42,RDp01_gp42,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210424,-
1815984,55804751,HYO99_gp43,HYO99_gp43,RDp01_gp43,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210424,-
1815984,55804752,HYO99_gp44,HYO99_gp44,RDp01_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804753,HYO99_gp45,HYO99_gp45,RDp01_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804754,HYO99_gp46,HYO99_gp46,RDp01_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804755,HYO99_gp47,HYO99_gp47,RDp01_gp47,-,-,-,rIIA-like protein,protein-coding,-,-,-,rIIA-like protein,20210424,-
1815984,55804756,HYO99_gp48,HYO99_gp48,RDp01_gp48,-,-,-,rIIB-like protein,protein-coding,-,-,-,rIIB-like protein,20210424,-
1815984,55804757,HYO99_gp49,HYO99_gp49,RDp01_gp49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1815984,55804758,HYO99_gp50,HYO99_gp50,RDp01_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804759,HYO99_gp51,HYO99_gp51,RDp01_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804760,HYO99_gp52,HYO99_gp52,RDp01_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804761,HYO99_gp53,HYO99_gp53,RDp01_gp53,-,-,-,class II ribonucleotide reductase,protein-coding,-,-,-,class II ribonucleotide reductase,20210424,-
1815984,55804762,HYO99_gp54,HYO99_gp54,RDp01_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804763,HYO99_gp55,HYO99_gp55,RDp01_gp55,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
1815984,55804764,HYO99_gp56,HYO99_gp56,RDp01_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804765,HYO99_gp57,HYO99_gp57,RDp01_gp57,-,-,-,DNA polymerase family A,protein-coding,-,-,-,DNA polymerase family A,20210424,-
1815984,55804766,HYO99_gp58,HYO99_gp58,RDp01_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804767,HYO99_gp59,HYO99_gp59,RDp01_gp59,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1815984,55804768,HYO99_gp60,HYO99_gp60,RDp01_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804769,HYO99_gp61,HYO99_gp61,RDp01_gp61,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200704,-
1815984,55804770,HYO99_gp62,HYO99_gp62,RDp01_gp62,-,-,-,endoribonuclease RusA,protein-coding,-,-,-,endoribonuclease RusA,20210424,-
1815984,55804771,HYO99_gp63,HYO99_gp63,RDp01_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804772,HYO99_gp64,HYO99_gp64,RDp01_gp64,-,-,-,vRNAP protein,protein-coding,-,-,-,vRNAP protein,20210424,-
1815984,55804773,HYO99_gp65,HYO99_gp65,RDp01_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804774,HYO99_gp66,HYO99_gp66,RDp01_gp66,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200704,-
1815984,55804775,HYO99_gp67,HYO99_gp67,RDp01_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804776,HYO99_gp68,HYO99_gp68,RDp01_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804777,HYO99_gp69,HYO99_gp69,RDp01_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804778,HYO99_gp70,HYO99_gp70,RDp01_gp70,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1815984,55804779,HYO99_gp71,HYO99_gp71,RDp01_gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804780,HYO99_gp72,HYO99_gp72,RDp01_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804781,HYO99_gp73,HYO99_gp73,RDp01_gp73,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200704,-
1815984,55804782,HYO99_gp74,HYO99_gp74,RDp01_gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804783,HYO99_gp75,HYO99_gp75,RDp01_gp75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804784,HYO99_gp76,HYO99_gp76,RDp01_gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804785,HYO99_gp77,HYO99_gp77,RDp01_gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804786,HYO99_gp01,HYO99_gp01,RDp01_gp01,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200704,-
1815984,55863399,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
