#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686098,60335970,2,I5J39_gp02,SEA_MEGIDDO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2686098,60336011,43,I5J39_gp43,SEA_MEGIDDO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336012,44,I5J39_gp44,SEA_MEGIDDO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336013,45,I5J39_gp45,SEA_MEGIDDO_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210403,-
2686098,60336014,46,I5J39_gp46,SEA_MEGIDDO_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210313,-
2686098,60336015,47,I5J39_gp47,SEA_MEGIDDO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336016,48,I5J39_gp48,SEA_MEGIDDO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336017,49,I5J39_gp49,SEA_MEGIDDO_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210116,-
2686098,60336018,50,I5J39_gp50,SEA_MEGIDDO_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2686098,60336019,51,I5J39_gp51,SEA_MEGIDDO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336020,52,I5J39_gp52,SEA_MEGIDDO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336021,53,I5J39_gp53,SEA_MEGIDDO_53,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210313,-
2686098,60336022,54,I5J39_gp54,SEA_MEGIDDO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336023,55,I5J39_gp55,SEA_MEGIDDO_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2686098,60336024,56,I5J39_gp56,SEA_MEGIDDO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336025,57,I5J39_gp57,SEA_MEGIDDO_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210313,-
2686098,60336026,58,I5J39_gp58,SEA_MEGIDDO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336027,59,I5J39_gp59,SEA_MEGIDDO_59,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210313,-
2686098,60336028,60,I5J39_gp60,SEA_MEGIDDO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686098,60336029,61,I5J39_gp61,SEA_MEGIDDO_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210313,-
2686098,60336030,62,I5J39_gp62,SEA_MEGIDDO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336031,63,I5J39_gp63,SEA_MEGIDDO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336032,64,I5J39_gp64,SEA_MEGIDDO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336033,65,I5J39_gp65,SEA_MEGIDDO_65,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2686098,60336034,66,I5J39_gp66,SEA_MEGIDDO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336035,67,I5J39_gp67,SEA_MEGIDDO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336036,68,I5J39_gp68,SEA_MEGIDDO_68,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2686098,60336037,69,I5J39_gp69,SEA_MEGIDDO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336038,70,I5J39_gp70,SEA_MEGIDDO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336039,71,I5J39_gp71,SEA_MEGIDDO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336040,72,I5J39_gp72,SEA_MEGIDDO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336041,73,I5J39_gp73,SEA_MEGIDDO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336042,74,I5J39_gp74,SEA_MEGIDDO_74,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210313,-
2686098,60336043,75,I5J39_gp75,SEA_MEGIDDO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336044,76,I5J39_gp76,SEA_MEGIDDO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336045,77,I5J39_gp77,SEA_MEGIDDO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336046,78,I5J39_gp78,SEA_MEGIDDO_78,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2686098,60336047,1,I5J39_gp01,SEA_MEGIDDO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2686098,60350525,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
