#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463811,19487844,Hosp_02,Hosp_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1463811,19487913,Hosp_071,Hosp_071,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1463811,19487914,Hosp_072,Hosp_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487915,Hosp_073,Hosp_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487916,Hosp_074,Hosp_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487917,Hosp_075,Hosp_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487918,Hosp_076,Hosp_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487919,Hosp_077,Hosp_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487920,Hosp_078,Hosp_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487921,Hosp_079,Hosp_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487922,Hosp_080,Hosp_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487923,Hosp_081,Hosp_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487924,Hosp_082,Hosp_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487925,Hosp_083,Hosp_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487926,Hosp_084,Hosp_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487927,Hosp_085,Hosp_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487928,Hosp_086,Hosp_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487929,Hosp_087,Hosp_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487930,Hosp_088,Hosp_088,-,-,-,-,PE/PPE-like protein,protein-coding,-,-,-,PE/PPE-like protein,20201221,-
1463811,19487931,Hosp_089,Hosp_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487932,Hosp_090,Hosp_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487933,Hosp_091,Hosp_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487934,Hosp_092,Hosp_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487935,Hosp_093,Hosp_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487936,Hosp_094,Hosp_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487937,Hosp_095,Hosp_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487938,Hosp_096,Hosp_096,-,-,-,-,ParB-like protein,protein-coding,-,-,-,ParB-like protein,20201221,-
1463811,19487939,Hosp_097,Hosp_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487940,Hosp_01,Hosp_01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1463811,19554969,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
