#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223260,14515606,H380_gp02,H380_gp02,JBD30_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1223260,14515641,H380_gp37,H380_gp37,JBD30_037,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1223260,14515642,H380_gp38,H380_gp38,JBD30_038,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210403,-
1223260,14515643,H380_gp39,H380_gp39,JBD30_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515644,H380_gp40,H380_gp40,JBD30_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515645,H380_gp41,H380_gp41,JBD30_041,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210424,-
1223260,14515646,H380_gp42,H380_gp42,JBD30_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515647,H380_gp43,H380_gp43,JBD30_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515648,H380_gp44,H380_gp44,JBD30_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515649,H380_gp45,H380_gp45,JBD30_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515650,H380_gp46,H380_gp46,JBD30_046,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1223260,14515651,H380_gp47,H380_gp47,JBD30_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515652,H380_gp48,H380_gp48,JBD30_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515653,H380_gp49,H380_gp49,JBD30_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515654,H380_gp50,H380_gp50,JBD30_050,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1223260,14515655,H380_gp51,H380_gp51,JBD30_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515656,H380_gp52,H380_gp52,JBD30_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515657,H380_gp53,H380_gp53,JBD30_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515658,H380_gp54,H380_gp54,JBD30_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515659,H380_gp55,H380_gp55,JBD30_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515660,H380_gp56,H380_gp56,JBD30_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515661,H380_gp01,H380_gp01,JBD30_001,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1223260,14564098,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
