#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11256701,mg361,MegaChil _gp0361,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256702,mg669,MegaChil _gp0669,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256703,mg803,MegaChil _gp0803,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256704,mg992,MegaChil _gp0992,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256705,mg771,MegaChil _gp0771,-,-,-,-,methionyl-tRNA synthetase,protein-coding,-,-,-,methionyl-tRNA synthetase,20200629,-
1094892,11256706,mg114,MegaChil _gp0114,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256707,mg1106,MegaChil _gp1106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256708,mg902,MegaChil _gp0902,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256709,mg4,MegaChil _gp0004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256710,mg1080,MegaChil _gp1080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256711,mg875,MegaChil _gp0875,-,-,-,-,putative GMC-type oxidoreductase,protein-coding,-,-,-,putative GMC-type oxidoreductase,20200629,-
1094892,11256712,mg944,MegaChil _gp0944,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256713,mg632,MegaChil _gp0632,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256714,mg721,MegaChil _gp0721,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256715,mg23,MegaChil _gp0023,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256716,mg1005,MegaChil _gp1005,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11256717,mg729,MegaChil _gp0729,-,-,-,-,glucose-methanol-choline oxidoreductase,protein-coding,-,-,-,glucose-methanol-choline oxidoreductase,20200629,-
1094892,11256718,mg615,MegaChil _gp0615,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256719,mg747,MegaChil _gp0747,-,-,-,-,putative glycylpeptide n-tetradecanoyltransferase,protein-coding,-,-,-,putative glycylpeptide n-tetradecanoyltransferase,20200629,-
1094892,11256720,mg182,MegaChil _gp0182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256721,mg217,MegaChil _gp0217,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11256722,mg773,MegaChil _gp0773,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256723,mg132,MegaChil _gp0132,-,-,-,-,methyltransferase type 11,protein-coding,-,-,-,methyltransferase type 11,20200629,-
1094892,11256724,mg157,MegaChil _gp0157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256725,mg933,MegaChil _gp0933,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256726,mg24,MegaChil _gp0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256727,mg1081,MegaChil _gp1081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256728,mg133,MegaChil _gp0133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256729,mg574,MegaChil _gp0574,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256730,mg190,MegaChil _gp0190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256731,mg797,MegaChil _gp0797,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256732,mg106,MegaChil _gp0106,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256733,mg167,MegaChil _gp0167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256734,mg1044,MegaChil _gp1044,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256735,mg767,MegaChil _gp0767,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256736,mg602,MegaChil _gp0602,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256737,mg239,MegaChil _gp0239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256738,mg511,MegaChil _gp0511,-,-,-,-,putative FtsJ-like methyltransferase,protein-coding,-,-,-,putative FtsJ-like methyltransferase,20200629,-
1094892,11256739,mg377,MegaChil _gp0377,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256740,mg906,MegaChil _gp0906,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256741,mg309,MegaChil _gp0309,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256742,mg571,MegaChil _gp0571,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256743,mg305,MegaChil _gp0305,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1094892,11256744,mg358,MegaChil _gp0358,-,-,-,-,isoleucyl-tRNA synthetase,protein-coding,-,-,-,isoleucyl-tRNA synthetase,20200629,-
1094892,11256745,mg5,MegaChil _gp0005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256746,mg378,MegaChil _gp0378,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20200629,-
1094892,11256747,mg934,MegaChil _gp0934,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256748,mg592,MegaChil _gp0592,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256749,mg885,MegaChil _gp0885,-,-,-,-,JMJC domain protein,protein-coding,-,-,-,JMJC domain protein,20200629,-
1094892,11256750,mg662,MegaChil _gp0662,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256751,mg122,MegaChil _gp0122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256752,mg77,MegaChil _gp0077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256753,mg233,MegaChil _gp0233,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256754,mg599,MegaChil _gp0599,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256755,mg684,MegaChil _gp0684,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256756,mg60,MegaChil _gp0060,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256757,mg550,MegaChil _gp0550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256758,mg1049,MegaChil _gp1049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256759,mg1068,MegaChil _gp1068,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11256760,mg294,MegaChil _gp0294,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256761,mg838,MegaChil _gp0838,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256762,mg447,MegaChil _gp0447,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256763,mg483,MegaChil _gp0483,-,-,-,-,putative core protein,protein-coding,-,-,-,putative core protein,20200629,-
1094892,11256764,mg490,MegaChil _gp0490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256765,mg507,MegaChil _gp0507,-,-,-,-,ubiquitin-like protein,protein-coding,-,-,-,ubiquitin-like protein,20200629,-
1094892,11256766,mg678,MegaChil _gp0678,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256767,mg174,MegaChil _gp0174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256768,mg366,MegaChil _gp0366,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11256769,mg642,MegaChil _gp0642,-,-,-,-,putative rhomboid protein,protein-coding,-,-,-,putative rhomboid protein,20200629,-
1094892,11256770,mg914,MegaChil _gp0914,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256771,mg1089,MegaChil _gp1089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256772,mg238,MegaChil _gp0238,-,-,-,-,putative UV-damage endonuclease,protein-coding,-,-,-,putative UV-damage endonuclease,20200629,-
1094892,11256773,mg98,MegaChil _gp0098,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256774,mg783,MegaChil _gp0783,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256775,mg204,MegaChil _gp0204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256776,mg921,MegaChil _gp0921,-,-,-,-,carrier-like protein,protein-coding,-,-,-,carrier-like protein,20200629,-
1094892,11256777,mg499,MegaChil _gp0499,-,-,-,-,putative HD domain-containing protein,protein-coding,-,-,-,putative HD domain-containing protein,20200629,-
1094892,11256778,mg727,MegaChil _gp0727,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256779,mg719,MegaChil _gp0719,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256780,mg247,MegaChil _gp0247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256781,mg129,MegaChil _gp0129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256782,mg989,MegaChil _gp0989,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256783,mg843,MegaChil _gp0843,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256784,mg151,MegaChil _gp0151,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256785,mg834,MegaChil _gp0834,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256786,mg9,MegaChil _gp0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256787,mg536,MegaChil _gp0536,-,-,-,-,UDP-N-acetylglucosamine 2-epimerase,protein-coding,-,-,-,UDP-N-acetylglucosamine 2-epimerase,20200629,-
1094892,11256788,mg86,MegaChil _gp0086,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256789,mg69,MegaChil _gp0069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256790,mg41,MegaChil _gp0041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256791,mg197,MegaChil _gp0197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256792,mg53,MegaChil _gp0053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256793,mg640,MegaChil _gp0640,-,-,-,-,putative ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,putative ubiquitin-conjugating enzyme E2,20200629,-
1094892,11256794,mg487,MegaChil _gp0487,-,-,-,-,putative Fe2Og dioxygenase,protein-coding,-,-,-,putative Fe2Og dioxygenase,20200629,-
1094892,11256795,mg96,MegaChil _gp0096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256796,mg353,MegaChil _gp0353,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256797,mg734,MegaChil _gp0734,-,-,-,-,putative cupin RMLC-type domain protein,protein-coding,-,-,-,putative cupin RMLC-type domain protein,20200629,-
1094892,11256798,mg1061,MegaChil _gp1061,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256799,mg736,MegaChil _gp0736,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256800,mg234,MegaChil _gp0234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256801,mg918,MegaChil _gp0918,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256802,mg386,MegaChil _gp0386,-,-,-,-,putative DNA polymerase sliding clamp,protein-coding,-,-,-,putative DNA polymerase sliding clamp,20200629,-
1094892,11256803,mg229,MegaChil _gp0229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256804,mg236,MegaChil _gp0236,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256805,mg657,MegaChil _gp0657,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11256806,mg910,MegaChil _gp0910,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256807,mg881,MegaChil _gp0881,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256808,mg298,MegaChil _gp0298,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256809,mg760,MegaChil _gp0760,-,-,-,-,acid ceramidase-like protein,protein-coding,-,-,-,acid ceramidase-like protein,20200629,-
1094892,11256810,mg988,MegaChil _gp0988,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256811,mg1102,MegaChil _gp1102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256812,mg137,MegaChil _gp0137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256813,mg818,MegaChil _gp0818,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256814,mg128,MegaChil _gp0128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256815,mg68,MegaChil _gp0068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256816,mg515,MegaChil _gp0515,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256817,mg1019,MegaChil _gp1019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256818,mg566,MegaChil _gp0566,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256819,mg904,MegaChil _gp0904,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1094892,11256820,mg37,MegaChil _gp0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256821,mg410,MegaChil _gp0410,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256822,mg697,MegaChil _gp0697,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256823,mg726,MegaChil _gp0726,-,-,-,-,putative lipocalin,protein-coding,-,-,-,putative lipocalin,20200629,-
1094892,11256824,mg463,MegaChil _gp0463,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256825,mg884,MegaChil _gp0884,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256826,mg1059,MegaChil _gp1059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256827,mg677,MegaChil _gp0677,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256828,mg962,MegaChil _gp0962,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256829,mg477,MegaChil _gp0477,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256830,mg526,MegaChil _gp0526,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256831,mg30,MegaChil _gp0030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256832,mg192,MegaChil _gp0192,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11256833,mg1120,MegaChil _gp1120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256834,mg538,MegaChil _gp0538,-,-,-,-,putative EXOV-like protein,protein-coding,-,-,-,putative EXOV-like protein,20200629,-
1094892,11256835,mg666,MegaChil _gp0666,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256836,mg543,MegaChil _gp0543,-,-,-,-,putative DNA mismatch repair protein muts-like protein,protein-coding,-,-,-,putative DNA mismatch repair protein muts-like protein,20200629,-
1094892,11256837,mg356,MegaChil _gp0356,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1094892,11256838,mg809,MegaChil _gp0809,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256839,mg89,MegaChil _gp0089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256840,mg6,MegaChil _gp0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256841,mg744,MegaChil _gp0744,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256842,mg389,MegaChil _gp0389,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256843,mg651,MegaChil _gp0651,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256844,mg533,MegaChil _gp0533,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11256845,mg857,MegaChil _gp0857,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256846,mg335,MegaChil _gp0335,-,-,-,-,putative collagenous domain-containing protein,protein-coding,-,-,-,putative collagenous domain-containing protein,20200629,-
1094892,11256847,mg983,MegaChil _gp0983,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256848,mg576,MegaChil _gp0576,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256849,mg694,MegaChil _gp0694,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256850,mg265,MegaChil _gp0265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
