#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527513,23678702,2,VC71_gp002,PBI_MINERVA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1527513,23678739,39,VC71_gp039,PBI_MINERVA_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678740,40,VC71_gp040,PBI_MINERVA_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678741,41,VC71_gp041,PBI_MINERVA_41,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678742,42,VC71_gp042,PBI_MINERVA_42,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678743,43,VC71_gp043,PBI_MINERVA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678744,44,VC71_gp044,PBI_MINERVA_44,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678745,45,VC71_gp045,PBI_MINERVA_45,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678746,46,VC71_gp046,PBI_MINERVA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678747,47,VC71_gp047,PBI_MINERVA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678748,48,VC71_gp048,PBI_MINERVA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678749,49,VC71_gp049,PBI_MINERVA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678750,50,VC71_gp050,PBI_MINERVA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678751,51,VC71_gp051,PBI_MINERVA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678752,52,VC71_gp052,PBI_MINERVA_52,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678753,53,VC71_gp053,PBI_MINERVA_53,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1527513,23678754,54,VC71_gp054,PBI_MINERVA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678755,55,VC71_gp055,PBI_MINERVA_55,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1527513,23678756,56,VC71_gp056,PBI_MINERVA_56,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1527513,23678757,57,VC71_gp057,PBI_MINERVA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678758,58,VC71_gp058,PBI_MINERVA_58,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210406,-
1527513,23678759,59,VC71_gp059,PBI_MINERVA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678760,60,VC71_gp060,PBI_MINERVA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678761,61,VC71_gp061,PBI_MINERVA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678762,62,VC71_gp062,PBI_MINERVA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678763,63,VC71_gp063,PBI_MINERVA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678764,64,VC71_gp064,PBI_MINERVA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678765,65,VC71_gp065,PBI_MINERVA_65,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210406,-
1527513,23678766,66,VC71_gp066,PBI_MINERVA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678767,67,VC71_gp067,PBI_MINERVA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678768,68,VC71_gp068,PBI_MINERVA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678769,69,VC71_gp069,PBI_MINERVA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678770,70,VC71_gp070,PBI_MINERVA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678771,71,VC71_gp071,PBI_MINERVA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678772,72,VC71_gp072,PBI_MINERVA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678773,73,VC71_gp073,PBI_MINERVA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678774,74,VC71_gp074,PBI_MINERVA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678775,75,VC71_gp075,PBI_MINERVA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678776,76,VC71_gp076,PBI_MINERVA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678777,77,VC71_gp077,PBI_MINERVA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678778,78,VC71_gp078,PBI_MINERVA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678779,79,VC71_gp079,PBI_MINERVA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678780,80,VC71_gp080,PBI_MINERVA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678781,81,VC71_gp081,PBI_MINERVA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678782,82,VC71_gp082,PBI_MINERVA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678783,83,VC71_gp083,PBI_MINERVA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678784,84,VC71_gp084,PBI_MINERVA_84,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1527513,23678785,85,VC71_gp085,PBI_MINERVA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678786,86,VC71_gp086,PBI_MINERVA_86,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200927,-
1527513,23678787,87,VC71_gp087,PBI_MINERVA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678788,88,VC71_gp088,PBI_MINERVA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678789,89,VC71_gp089,PBI_MINERVA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678790,90,VC71_gp090,PBI_MINERVA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678791,91,VC71_gp091,PBI_MINERVA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678792,92,VC71_gp092,PBI_MINERVA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678793,93,VC71_gp093,PBI_MINERVA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678794,94,VC71_gp094,PBI_MINERVA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678795,95,VC71_gp095,PBI_MINERVA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678796,96,VC71_gp096,PBI_MINERVA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678797,97,VC71_gp097,PBI_MINERVA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678798,98,VC71_gp098,PBI_MINERVA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678799,99,VC71_gp099,PBI_MINERVA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678800,100,VC71_gp100,PBI_MINERVA_100,-,-,-,esterase,protein-coding,-,-,-,esterase,20200927,-
1527513,23678801,101,VC71_gp101,PBI_MINERVA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678802,102,VC71_gp102,PBI_MINERVA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678803,103,VC71_gp103,PBI_MINERVA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678804,104,VC71_gp104,PBI_MINERVA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678805,105,VC71_gp105,PBI_MINERVA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678806,106,VC71_gp106,PBI_MINERVA_106,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678807,107,VC71_gp107,PBI_MINERVA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678808,108,VC71_gp108,PBI_MINERVA_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678809,109,VC71_gp109,PBI_MINERVA_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678810,110,VC71_gp110,PBI_MINERVA_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678811,111,VC71_gp111,PBI_MINERVA_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678812,112,VC71_gp112,PBI_MINERVA_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678813,113,VC71_gp113,PBI_MINERVA_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678814,114,VC71_gp114,PBI_MINERVA_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678815,115,VC71_gp115,PBI_MINERVA_115,-,-,-,RecB-like exonuclease,protein-coding,-,-,-,RecB-like exonuclease,20200927,-
1527513,23678816,116,VC71_gp116,PBI_MINERVA_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678817,117,VC71_gp117,PBI_MINERVA_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678818,118,VC71_gp118,PBI_MINERVA_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678819,119,VC71_gp119,PBI_MINERVA_119,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1527513,23678820,120,VC71_gp120,PBI_MINERVA_120,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678821,121,VC71_gp121,PBI_MINERVA_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678822,122,VC71_gp122,PBI_MINERVA_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678823,123,VC71_gp123,PBI_MINERVA_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678824,124,VC71_gp124,PBI_MINERVA_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678825,125,VC71_gp125,PBI_MINERVA_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678826,126,VC71_gp126,PBI_MINERVA_126,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1527513,23678827,127,VC71_gp127,PBI_MINERVA_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678828,128,VC71_gp128,PBI_MINERVA_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678829,129,VC71_gp129,PBI_MINERVA_129,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210406,-
1527513,23678830,130,VC71_gp130,PBI_MINERVA_130,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
1527513,23678831,131,VC71_gp131,PBI_MINERVA_131,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210406,-
1527513,23678832,132,VC71_gp132,PBI_MINERVA_132,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1527513,23678833,133,VC71_gp133,PBI_MINERVA_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678834,134,VC71_gp134,PBI_MINERVA_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678835,135,VC71_gp135,PBI_MINERVA_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678836,136,VC71_gp136,PBI_MINERVA_136,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20200927,-
1527513,23678837,137,VC71_gp137,PBI_MINERVA_137,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
1527513,23678838,138,VC71_gp138,PBI_MINERVA_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678839,139,VC71_gp139,PBI_MINERVA_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678840,140,VC71_gp140,PBI_MINERVA_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678841,141,VC71_gp141,PBI_MINERVA_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678842,142,VC71_gp142,PBI_MINERVA_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1527513,23678843,143,VC71_gp143,PBI_MINERVA_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678844,144,VC71_gp144,PBI_MINERVA_144,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1527513,23678845,145,VC71_gp145,PBI_MINERVA_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678846,146,VC71_gp146,PBI_MINERVA_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678847,147,VC71_gp147,PBI_MINERVA_147,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1527513,23678848,148,VC71_gp148,PBI_MINERVA_148,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678849,149,VC71_gp149,PBI_MINERVA_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678850,150,VC71_gp150,PBI_MINERVA_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678851,151,VC71_gp151,PBI_MINERVA_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678852,152,VC71_gp152,PBI_MINERVA_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678853,153,VC71_gp153,PBI_MINERVA_153,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678854,154,VC71_gp154,PBI_MINERVA_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678855,155,VC71_gp155,PBI_MINERVA_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678856,156,VC71_gp156,PBI_MINERVA_156,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1527513,23678857,157,VC71_gp157,PBI_MINERVA_157,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20201026,-
1527513,23678858,158,VC71_gp158,PBI_MINERVA_158,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20200927,-
1527513,23678859,159,VC71_gp159,PBI_MINERVA_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678860,160,VC71_gp160,PBI_MINERVA_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678861,161,VC71_gp161,PBI_MINERVA_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678862,162,VC71_gp162,PBI_MINERVA_162,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1527513,23678863,163,VC71_gp163,PBI_MINERVA_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678864,164,VC71_gp164,PBI_MINERVA_164,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201026,-
1527513,23678865,165,VC71_gp165,PBI_MINERVA_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1527513,23678866,166,VC71_gp166,PBI_MINERVA_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678867,167,VC71_gp167,PBI_MINERVA_167,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1527513,23678868,168,VC71_gp168,PBI_MINERVA_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678869,169,VC71_gp169,PBI_MINERVA_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678870,170,VC71_gp170,PBI_MINERVA_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678871,171,VC71_gp171,PBI_MINERVA_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678872,172,VC71_gp172,PBI_MINERVA_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678873,173,VC71_gp173,PBI_MINERVA_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678874,174,VC71_gp174,PBI_MINERVA_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678875,175,VC71_gp175,PBI_MINERVA_175,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210406,-
1527513,23678876,176,VC71_gp176,PBI_MINERVA_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678877,177,VC71_gp177,PBI_MINERVA_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678878,178,VC71_gp178,PBI_MINERVA_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678879,179,VC71_gp179,PBI_MINERVA_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678880,180,VC71_gp180,PBI_MINERVA_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678881,181,VC71_gp181,PBI_MINERVA_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678882,182,VC71_gp182,PBI_MINERVA_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678883,183,VC71_gp183,PBI_MINERVA_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678884,184,VC71_gt001,PBI_MINERVA_184,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1527513,23678885,185,VC71_gp238,PBI_MINERVA_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678886,186,VC71_gp237,PBI_MINERVA_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678887,187,VC71_gp236,PBI_MINERVA_187,-,-,-,histidine triad nucleotide binding protein,protein-coding,-,-,-,histidine triad nucleotide binding protein,20200927,-
1527513,23678888,188,VC71_gp235,PBI_MINERVA_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678889,189,VC71_gp234,PBI_MINERVA_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678890,190,VC71_gp233,PBI_MINERVA_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678891,191,VC71_gp232,PBI_MINERVA_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678892,192,VC71_gp231,PBI_MINERVA_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678893,193,VC71_gp230,PBI_MINERVA_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678894,194,VC71_gp229,PBI_MINERVA_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
