#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713327,55628444,HWD19_gp02,HWD19_gp02,yarpen_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2713327,55628457,HWD19_gp15,HWD19_gp15,yarpen_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628458,HWD19_gp16,HWD19_gp16,yarpen_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628459,HWD19_gp17,HWD19_gp17,yarpen_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628460,HWD19_gp18,HWD19_gp18,yarpen_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628461,HWD19_gp19,HWD19_gp19,yarpen_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628462,HWD19_gp20,HWD19_gp20,yarpen_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628463,HWD19_gp21,HWD19_gp21,yarpen_21,-,-,-,primase,protein-coding,-,-,-,primase,20210129,-
2713327,55628464,HWD19_gp22,HWD19_gp22,yarpen_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628465,HWD19_gp23,HWD19_gp23,yarpen_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628466,HWD19_gp24,HWD19_gp24,yarpen_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628467,HWD19_gp25,HWD19_gp25,yarpen_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628468,HWD19_gp26,HWD19_gp26,yarpen_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628469,HWD19_gp27,HWD19_gp27,yarpen_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628470,HWD19_gp28,HWD19_gp28,yarpen_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628471,HWD19_gp29,HWD19_gp29,yarpen_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628472,HWD19_gp30,HWD19_gp30,yarpen_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628473,HWD19_gp31,HWD19_gp31,yarpen_31,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210306,-
2713327,55628474,HWD19_gp32,HWD19_gp32,yarpen_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628475,HWD19_gp33,HWD19_gp33,yarpen_33,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210129,-
2713327,55628476,HWD19_gp34,HWD19_gp34,yarpen_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628477,HWD19_gp35,HWD19_gp35,yarpen_35,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20210129,-
2713327,55628478,HWD19_gp36,HWD19_gp36,yarpen_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628479,HWD19_gp37,HWD19_gp37,yarpen_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628480,HWD19_gp38,HWD19_gp38,yarpen_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628481,HWD19_gp39,HWD19_gp39,yarpen_39,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210123,-
2713327,55628482,HWD19_gp40,HWD19_gp40,yarpen_40,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20200620,-
2713327,55628483,HWD19_gp41,HWD19_gp41,yarpen_41,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
2713327,55628484,HWD19_gp42,HWD19_gp42,yarpen_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628485,HWD19_gp43,HWD19_gp43,yarpen_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628486,HWD19_gp44,HWD19_gp44,yarpen_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628487,HWD19_gp45,HWD19_gp45,yarpen_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628488,HWD19_gp46,HWD19_gp46,yarpen_46,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200905,-
2713327,55628489,HWD19_gp47,HWD19_gp47,yarpen_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628490,HWD19_gp48,HWD19_gp48,yarpen_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628491,HWD19_gp49,HWD19_gp49,yarpen_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628492,HWD19_gp50,HWD19_gp50,yarpen_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628493,HWD19_gp51,HWD19_gp51,yarpen_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628494,HWD19_gp52,HWD19_gp52,yarpen_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628495,HWD19_gp53,HWD19_gp53,yarpen_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628496,HWD19_gp54,HWD19_gp54,yarpen_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628497,HWD19_gp55,HWD19_gp55,yarpen_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628498,HWD19_gp56,HWD19_gp56,yarpen_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628499,HWD19_gp57,HWD19_gp57,yarpen_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628500,HWD19_gp58,HWD19_gp58,yarpen_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628501,HWD19_gp59,HWD19_gp59,yarpen_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628502,HWD19_gp60,HWD19_gp60,yarpen_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628503,HWD19_gp61,HWD19_gp61,yarpen_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628504,HWD19_gp62,HWD19_gp62,yarpen_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2713327,55628505,HWD19_gp63,HWD19_gp63,yarpen_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628506,HWD19_gp64,HWD19_gp64,yarpen_64,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200620,-
2713327,55628507,HWD19_gp65,HWD19_gp65,yarpen_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628508,HWD19_gp66,HWD19_gp66,yarpen_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628509,HWD19_gp67,HWD19_gp67,yarpen_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628510,HWD19_gp68,HWD19_gp68,yarpen_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628511,HWD19_gp69,HWD19_gp69,yarpen_69,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2713327,55628512,HWD19_gp01,HWD19_gp01,yarpen_1,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210306,-
2713327,55636169,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
