#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2660688,62682745,JT355_gp02,JT355_gp02,vBPaeSS2019XI_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210320,-
2660688,62682790,JT355_gp47,JT355_gp47,vBPaeSS2019XI_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682791,JT355_gp48,JT355_gp48,vBPaeSS2019XI_048,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210320,-
2660688,62682792,JT355_gp49,JT355_gp49,vBPaeSS2019XI_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682793,JT355_gp50,JT355_gp50,vBPaeSS2019XI_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682794,JT355_gp51,JT355_gp51,vBPaeSS2019XI_051,-,-,-,partitioning protein,protein-coding,-,-,-,partitioning protein,20210327,-
2660688,62682795,JT355_gp52,JT355_gp52,vBPaeSS2019XI_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682796,JT355_gp53,JT355_gp53,vBPaeSS2019XI_053,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210320,-
2660688,62682797,JT355_gp54,JT355_gp54,vBPaeSS2019XI_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682798,JT355_gp55,JT355_gp55,vBPaeSS2019XI_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682799,JT355_gp56,JT355_gp56,vBPaeSS2019XI_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682800,JT355_gp57,JT355_gp57,vBPaeSS2019XI_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682801,JT355_gp58,JT355_gp58,vBPaeSS2019XI_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2660688,62682802,JT355_gp59,JT355_gp59,vBPaeSS2019XI_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682803,JT355_gp60,JT355_gp60,vBPaeSS2019XI_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682804,JT355_gp61,JT355_gp61,vBPaeSS2019XI_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682805,JT355_gp62,JT355_gp62,vBPaeSS2019XI_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682806,JT355_gp63,JT355_gp63,vBPaeSS2019XI_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682807,JT355_gp64,JT355_gp64,vBPaeSS2019XI_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682808,JT355_gp65,JT355_gp65,vBPaeSS2019XI_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682809,JT355_gp66,JT355_gp66,vBPaeSS2019XI_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682810,JT355_gp67,JT355_gp67,vBPaeSS2019XI_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682811,JT355_gp68,JT355_gp68,vBPaeSS2019XI_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682812,JT355_gp69,JT355_gp69,vBPaeSS2019XI_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682813,JT355_gp70,JT355_gp70,vBPaeSS2019XI_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2660688,62682814,JT355_gp71,JT355_gp71,vBPaeSS2019XI_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682815,JT355_gp72,JT355_gp72,vBPaeSS2019XI_072,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2660688,62682816,JT355_gp73,JT355_gp73,vBPaeSS2019XI_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682817,JT355_gp74,JT355_gp74,vBPaeSS2019XI_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682818,JT355_gp75,JT355_gp75,vBPaeSS2019XI_075,-,-,-,PD-(D/E)XK nuclease,protein-coding,-,-,-,PD-(D/E)XK nuclease,20210403,-
2660688,62682819,JT355_gp76,JT355_gp76,vBPaeSS2019XI_076,-,-,-,ligase,protein-coding,-,-,-,ligase,20210320,-
2660688,62682820,JT355_gp77,JT355_gp77,vBPaeSS2019XI_077,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210306,-
2660688,62682821,JT355_gp78,JT355_gp78,vBPaeSS2019XI_078,-,-,-,holiday junction resolvase,protein-coding,-,-,-,holiday junction resolvase,20210403,-
2660688,62682822,JT355_gp79,JT355_gp79,vBPaeSS2019XI_079,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210306,-
2660688,62682823,JT355_gp80,JT355_gp80,vBPaeSS2019XI_080,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20210320,-
2660688,62682824,JT355_gp81,JT355_gp81,vBPaeSS2019XI_081,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210215,-
2660688,62682825,JT355_gp82,JT355_gp82,vBPaeSS2019XI_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682826,JT355_gp83,JT355_gp83,vBPaeSS2019XI_083,-,-,-,integrase,protein-coding,-,-,-,integrase,20210327,-
2660688,62682827,JT355_gp01,JT355_gp01,vBPaeSS2019XI_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210320,-
2660688,62755301,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210217,-
