#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109710,11459250,terL,GoPhGRU1p14,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1109710,11459587,GoPhGRU1p30,GoPhGRU1p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459588,GoPhGRU1p31,GoPhGRU1p31,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201220,-
1109710,11459589,GoPhGRU1p32,GoPhGRU1p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459590,GoPhGRU1p33,GoPhGRU1p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459591,GoPhGRU1p34,GoPhGRU1p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459592,GoPhGRU1p35,GoPhGRU1p35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459593,GoPhGRU1p36,GoPhGRU1p36,-,-,-,-,putative lysis enzyme,protein-coding,-,-,-,putative lysis enzyme,20201220,-
1109710,11459594,GoPhGRU1p37,GoPhGRU1p37,-,-,-,-,putative lysis enzyme,protein-coding,-,-,-,putative lysis enzyme,20201220,-
1109710,11459595,GoPhGRU1p38,GoPhGRU1p38,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
1109710,11459596,GoPhGRU1p39,GoPhGRU1p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459597,GoPhGRU1p40,GoPhGRU1p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459598,GoPhGRU1p41,GoPhGRU1p41,-,-,-,-,primase,protein-coding,-,-,-,primase,20201220,-
1109710,11459599,GoPhGRU1p42,GoPhGRU1p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459600,GoPhGRU1p43,GoPhGRU1p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459601,GoPhGRU1p44,GoPhGRU1p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459602,GoPhGRU1p45,GoPhGRU1p45,-,-,-,-,putative DNA binding excisionase protein,protein-coding,-,-,-,putative DNA binding excisionase protein,20201220,-
1109710,11459603,GoPhGRU1p46,GoPhGRU1p46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459604,GoPhGRU1p47,GoPhGRU1p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459605,GoPhGRU1p48,GoPhGRU1p48,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20201220,-
1109710,11459606,GoPhGRU1p49,GoPhGRU1p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459607,GoPhGRU1p50,GoPhGRU1p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459608,GoPhGRU1p51,GoPhGRU1p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459609,GoPhGRU1p52,GoPhGRU1p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459610,GoPhGRU1p53,GoPhGRU1p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459611,GoPhGRU1p54,GoPhGRU1p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459612,GoPhGRU1p55,GoPhGRU1p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459613,GoPhGRU1p56,GoPhGRU1p56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459614,GoPhGRU1p57,GoPhGRU1p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459615,GoPhGRU1p58,GoPhGRU1p58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459616,GoPhGRU1p59,GoPhGRU1p59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459617,GoPhGRU1p60,GoPhGRU1p60,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1109710,11459618,GoPhGRU1p61,GoPhGRU1p61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459619,GoPhGRU1p62,GoPhGRU1p62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459620,GoPhGRU1p63,GoPhGRU1p63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459621,GoPhGRU1p64,GoPhGRU1p64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459622,GoPhGRU1p65,GoPhGRU1p65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459623,GoPhGRU1p66,GoPhGRU1p66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459624,GoPhGRU1p67,GoPhGRU1p67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459625,GoPhGRU1p68,GoPhGRU1p68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459626,GoPhGRU1p69,GoPhGRU1p69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459627,GoPhGRU1p70,GoPhGRU1p70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459628,GoPhGRU1p71,GoPhGRU1p71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459629,GoPhGRU1p72,GoPhGRU1p72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459630,GoPhGRU1p73,GoPhGRU1p73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459631,GoPhGRU1p74,GoPhGRU1p74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459632,GoPhGRU1p75,GoPhGRU1p75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459633,GoPhGRU1p76,GoPhGRU1p76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459634,GoPhGRU1p77,GoPhGRU1p77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459635,GoPhGRU1p78,GoPhGRU1p78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459636,GoPhGRU1p79,GoPhGRU1p79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459637,GoPhGRU1p80,GoPhGRU1p80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459638,GoPhGRU1p81,GoPhGRU1p81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459639,GoPhGRU1p82,GoPhGRU1p82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459640,GoPhGRU1p83,GoPhGRU1p83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459641,GoPhGRU1p84,GoPhGRU1p84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459642,GoPhGRU1p85,GoPhGRU1p85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459643,GoPhGRU1p86,GoPhGRU1p86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459644,GoPhGRU1p87,GoPhGRU1p87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459645,GoPhGRU1p88,GoPhGRU1p88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459646,GoPhGRU1p89,GoPhGRU1p89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459647,GoPhGRU1p90,GoPhGRU1p90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459648,GoPhGRU1p91,GoPhGRU1p91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459649,GoPhGRU1p92,GoPhGRU1p92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459650,GoPhGRU1p93,GoPhGRU1p93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459651,GoPhGRU1p94,GoPhGRU1p94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459652,GoPhGRU1p09,GoPhGRU1p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459653,GoPhGRU1p10,GoPhGRU1p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459654,GoPhGRU1p01,GoPhGRU1p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459655,GoPhGRU1p02,GoPhGRU1p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459656,GoPhGRU1p03,GoPhGRU1p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459657,GoPhGRU1p04,GoPhGRU1p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459658,GoPhGRU1p05,GoPhGRU1p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459659,GoPhGRU1p06,GoPhGRU1p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459660,GoPhGRU1p07,GoPhGRU1p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459661,GoPhGRU1p08,GoPhGRU1p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459871,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage GRU1).,other,-,-,-,-,20200513,-
