#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500556,62681219,JT332_gp02,JT332_gp02,CPT_Season12_002,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210424,-
2500556,62681245,JT332_gp28,JT332_gp28,CPT_Season12_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681246,JT332_gp29,JT332_gp29,CPT_Season12_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681247,JT332_gp30,JT332_gp30,CPT_Season12_030,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2500556,62681248,JT332_gp31,JT332_gp31,CPT_Season12_031,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210417,-
2500556,62681249,JT332_gp32,JT332_gp32,CPT_Season12_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681250,JT332_gp33,JT332_gp33,CPT_Season12_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681251,JT332_gp34,JT332_gp34,CPT_Season12_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681252,JT332_gp35,JT332_gp35,CPT_Season12_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681253,JT332_gp36,JT332_gp36,CPT_Season12_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681254,JT332_gp37,JT332_gp37,CPT_Season12_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681255,JT332_gp38,JT332_gp38,CPT_Season12_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2500556,62681256,JT332_gp39,JT332_gp39,CPT_Season12_039,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20210215,-
2500556,62681257,JT332_gp40,JT332_gp40,CPT_Season12_040,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20210215,-
2500556,62681258,JT332_gp41,JT332_gp41,CPT_Season12_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681259,JT332_gp42,JT332_gp42,CPT_Season12_042,-,-,-,PAPS reductase-like protein,protein-coding,-,-,-,PAPS reductase-like protein,20210417,-
2500556,62681260,JT332_gp43,JT332_gp43,CPT_Season12_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681261,JT332_gp44,JT332_gp44,CPT_Season12_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681262,JT332_gp45,JT332_gp45,CPT_Season12_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681263,JT332_gp46,JT332_gp46,CPT_Season12_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681264,JT332_gp47,JT332_gp47,CPT_Season12_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681265,JT332_gp48,JT332_gp48,CPT_Season12_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681266,JT332_gp49,JT332_gp49,CPT_Season12_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681267,JT332_gp50,JT332_gp50,CPT_Season12_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2500556,62681268,JT332_gp51,JT332_gp51,CPT_Season12_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681269,JT332_gp52,JT332_gp52,CPT_Season12_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681270,JT332_gp53,JT332_gp53,CPT_Season12_053,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210425,-
2500556,62681271,JT332_gp54,JT332_gp54,CPT_Season12_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681272,JT332_gp55,JT332_gp55,CPT_Season12_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681273,JT332_gp56,JT332_gp56,CPT_Season12_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681274,JT332_gp57,JT332_gp57,CPT_Season12_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681275,JT332_gp58,JT332_gp58,CPT_Season12_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681276,JT332_gp59,JT332_gp59,CPT_Season12_059,-,-,-,RdgC-like exonuclease,protein-coding,-,-,-,RdgC-like exonuclease,20210425,-
2500556,62681277,JT332_gp60,JT332_gp60,CPT_Season12_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681278,JT332_gp61,JT332_gp61,CPT_Season12_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681279,JT332_gp62,JT332_gp62,CPT_Season12_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681280,JT332_gp63,JT332_gp63,CPT_Season12_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681281,JT332_gp64,JT332_gp64,CPT_Season12_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681282,JT332_gp65,JT332_gp65,CPT_Season12_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681283,JT332_gp66,JT332_gp66,CPT_Season12_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681284,JT332_gp67,JT332_gp67,CPT_Season12_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681285,JT332_gp68,JT332_gp68,CPT_Season12_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681286,JT332_gp69,JT332_gp69,CPT_Season12_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681287,JT332_gp70,JT332_gp70,CPT_Season12_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681288,JT332_gp71,JT332_gp71,CPT_Season12_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681289,JT332_gp72,JT332_gp72,CPT_Season12_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681290,JT332_gp73,JT332_gp73,CPT_Season12_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681291,JT332_gp74,JT332_gp74,CPT_Season12_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681292,JT332_gp75,JT332_gp75,CPT_Season12_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681293,JT332_gp76,JT332_gp76,CPT_Season12_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681294,JT332_gp01,JT332_gp01,CPT_Season12_001,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
2500556,62714214,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210217,-
