#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488953,63910520,2,KDI95_gp02,SEA_BIGMACK_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2488953,63910543,27,KDI95_gp27,SEA_BIGMACK_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910544,28,KDI95_gp28,SEA_BIGMACK_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910545,29,KDI95_gp29,SEA_BIGMACK_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910546,30,KDI95_gp30,SEA_BIGMACK_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910547,31,KDI95_gp31,SEA_BIGMACK_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910548,32,KDI95_gp32,SEA_BIGMACK_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910549,33,KDI95_gp33,SEA_BIGMACK_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910550,34,KDI95_gp34,SEA_BIGMACK_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910551,35,KDI95_gp35,SEA_BIGMACK_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910552,36,KDI95_gp36,SEA_BIGMACK_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910553,37,KDI95_gp37,SEA_BIGMACK_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910554,38,KDI95_gp38,SEA_BIGMACK_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910555,39,KDI95_gp39,SEA_BIGMACK_39,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210420,-
2488953,63910556,40,KDI95_gp40,SEA_BIGMACK_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910557,41,KDI95_gp41,SEA_BIGMACK_41,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2488953,63910558,42,KDI95_gp42,SEA_BIGMACK_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910559,43,KDI95_gp43,SEA_BIGMACK_43,-,-,-,DNA primase/polymerase/helicase,protein-coding,-,-,-,DNA primase/polymerase/helicase,20210420,-
2488953,63910560,44,KDI95_gp44,SEA_BIGMACK_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910561,45,KDI95_gp45,SEA_BIGMACK_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210420,-
2488953,63910562,46,KDI95_gp46,SEA_BIGMACK_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2488953,63910563,47,KDI95_gp47,SEA_BIGMACK_47,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210420,-
2488953,63910564,48,KDI95_gp48,SEA_BIGMACK_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910565,49,KDI95_gp49,SEA_BIGMACK_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910566,50,KDI95_gp50,SEA_BIGMACK_50,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210420,-
2488953,63910567,51,KDI95_gp51,SEA_BIGMACK_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910568,52,KDI95_gp52,SEA_BIGMACK_52,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2488953,63910569,53,KDI95_gp53,SEA_BIGMACK_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910570,54,KDI95_gp54,SEA_BIGMACK_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910571,55,KDI95_gp55,SEA_BIGMACK_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910572,56,KDI95_gp56,SEA_BIGMACK_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910573,57,KDI95_gp57,SEA_BIGMACK_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910574,58,KDI95_gp58,SEA_BIGMACK_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910575,59,KDI95_gp59,SEA_BIGMACK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910576,60,KDI95_gp60,SEA_BIGMACK_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910577,61,KDI95_gp61,SEA_BIGMACK_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2488953,63910578,26,KDI95_gp26,SEA_BIGMACK_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,63910579,14,KDI95_gp14,SEA_BIGMACK_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210420,-
2488953,63910580,1,KDI95_gp01,SEA_BIGMACK_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2488953,64409737,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
