#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958910,60333716,2,I5H87_gp02,PBI_SassyB_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1958910,60333757,43,I5H87_gp43,PBI_SassyB_43,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1958910,60333758,44,I5H87_gp44,PBI_SassyB_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333759,45,I5H87_gp45,PBI_SassyB_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1958910,60333760,46,I5H87_gp46,PBI_SassyB_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333761,47,I5H87_gp47,PBI_SassyB_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333762,48,I5H87_gp48,PBI_SassyB_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333763,49,I5H87_gp49,PBI_SassyB_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333764,50,I5H87_gp50,PBI_SassyB_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333765,51,I5H87_gp51,PBI_SassyB_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333766,52,I5H87_gp52,PBI_SassyB_52,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1958910,60333767,53,I5H87_gp53,PBI_SassyB_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333768,54,I5H87_gp54,PBI_SassyB_54,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
1958910,60333769,55,I5H87_gp55,PBI_SassyB_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333770,56,I5H87_gp56,PBI_SassyB_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333771,57,I5H87_gp57,PBI_SassyB_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333772,58,I5H87_gp58,PBI_SassyB_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333773,59,I5H87_gp59,PBI_SassyB_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958910,60333774,60,I5H87_gp60,PBI_SassyB_60,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1958910,60333775,61,I5H87_gp61,PBI_SassyB_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333776,62,I5H87_gp62,PBI_SassyB_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333777,63,I5H87_gp63,PBI_SassyB_63,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1958910,60333778,64,I5H87_gp64,PBI_SassyB_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333779,65,I5H87_gp65,PBI_SassyB_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333780,66,I5H87_gp66,PBI_SassyB_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333781,67,I5H87_gp67,PBI_SassyB_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333782,68,I5H87_gp68,PBI_SassyB_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333783,69,I5H87_gp69,PBI_SassyB_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333784,70,I5H87_gp70,PBI_SassyB_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333785,71,I5H87_gp71,PBI_SassyB_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1958910,60333786,72,I5H87_gp72,PBI_SassyB_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333787,73,I5H87_gp73,PBI_SassyB_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333788,74,I5H87_gp74,PBI_SassyB_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333789,75,I5H87_gp75,PBI_SassyB_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333790,76,I5H87_gp76,PBI_SassyB_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333791,77,I5H87_gp77,PBI_SassyB_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333792,78,I5H87_gp78,PBI_SassyB_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333793,79,I5H87_gp79,PBI_SassyB_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333794,80,I5H87_gp80,PBI_SassyB_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333795,81,I5H87_gp81,PBI_SassyB_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333796,82,I5H87_gp82,PBI_SassyB_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333797,83,I5H87_gp83,PBI_SassyB_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333798,84,I5H87_gp84,PBI_SassyB_84,-,-,-,GIY-YIG DNA binding wndonuclease,protein-coding,-,-,-,GIY-YIG DNA binding wndonuclease,20210424,-
1958910,60333799,85,I5H87_gp85,PBI_SassyB_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333800,86,I5H87_gp86,PBI_SassyB_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333801,87,I5H87_gp87,PBI_SassyB_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333802,88,I5H87_gp88,PBI_SassyB_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333803,89,I5H87_gp89,PBI_SassyB_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333804,90,I5H87_gp90,PBI_SassyB_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333805,91,I5H87_gp91,PBI_SassyB_91,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1958910,60333806,92,I5H87_gp92,PBI_SassyB_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333807,93,I5H87_gp93,PBI_SassyB_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333808,94,I5H87_gp94,PBI_SassyB_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1958910,60333809,95,I5H87_gp95,PBI_SassyB_95,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1958910,60333810,1,I5H87_gp01,PBI_SassyB_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1958910,60338583,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage SassyB).,other,-,-,-,-,20201130,-
