#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099633,62361022,46,JMN64_gp54,SEA_ICHABOD_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2099633,62361056,65,JMN64_gp35,SEA_ICHABOD_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361057,64,JMN64_gp36,SEA_ICHABOD_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361058,63,JMN64_gp37,SEA_ICHABOD_63,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2099633,62361059,62,JMN64_gp38,SEA_ICHABOD_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099633,62361060,61,JMN64_gp39,SEA_ICHABOD_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361061,59,JMN64_gp41,SEA_ICHABOD_59,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2099633,62361062,58,JMN64_gp42,SEA_ICHABOD_58,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2099633,62361063,57,JMN64_gp43,SEA_ICHABOD_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361064,56,JMN64_gp44,SEA_ICHABOD_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361065,55,JMN64_gp45,SEA_ICHABOD_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361066,54,JMN64_gp46,SEA_ICHABOD_54,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210417,-
2099633,62361067,53,JMN64_gp47,SEA_ICHABOD_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361068,52,JMN64_gp48,SEA_ICHABOD_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210123,-
2099633,62361069,51,JMN64_gp49,SEA_ICHABOD_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099633,62361070,50,JMN64_gp50,SEA_ICHABOD_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099633,62361071,49,JMN64_gp51,SEA_ICHABOD_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361072,48,JMN64_gp52,SEA_ICHABOD_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361073,47,JMN64_gp53,SEA_ICHABOD_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361074,45,JMN64_gp55,SEA_ICHABOD_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361075,44,JMN64_gp56,SEA_ICHABOD_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361076,43,JMN64_gp57,SEA_ICHABOD_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361077,42,JMN64_gp58,SEA_ICHABOD_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361078,41,JMN64_gp59,SEA_ICHABOD_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361079,40,JMN64_gp60,SEA_ICHABOD_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361080,39,JMN64_gp61,SEA_ICHABOD_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361081,38,JMN64_gp62,SEA_ICHABOD_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2099633,62361082,37,JMN64_gp63,SEA_ICHABOD_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361083,36,JMN64_gp64,SEA_ICHABOD_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361084,35,JMN64_gp65,SEA_ICHABOD_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361085,34,JMN64_gp66,SEA_ICHABOD_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361086,33,JMN64_gp67,SEA_ICHABOD_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099633,62361087,32,JMN64_gp68,SEA_ICHABOD_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361088,31,JMN64_gp69,SEA_ICHABOD_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361089,30,JMN64_gp70,SEA_ICHABOD_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361090,29,JMN64_gp71,SEA_ICHABOD_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2099633,62361091,28,JMN64_gp72,SEA_ICHABOD_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361092,27,JMN64_gp73,SEA_ICHABOD_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361093,26,JMN64_gp74,SEA_ICHABOD_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099633,62361094,23,JMN64_gp77,SEA_ICHABOD_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099633,62361095,24,JMN64_gp76,SEA_ICHABOD_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099633,62361096,22,JMN64_gp78,SEA_ICHABOD_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2099633,62361097,21,JMN64_gp79,SEA_ICHABOD_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2099633,62361098,20,JMN64_gp80,SEA_ICHABOD_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099633,62361099,19,JMN64_gp81,SEA_ICHABOD_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2099633,62361100,18,JMN64_gp82,SEA_ICHABOD_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2099633,62361101,17,JMN64_gp83,SEA_ICHABOD_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361102,16,JMN64_gp84,SEA_ICHABOD_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2099633,62361103,15,JMN64_gp85,SEA_ICHABOD_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2099633,62361104,14,JMN64_gp86,SEA_ICHABOD_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2099633,62361105,13,JMN64_gp87,SEA_ICHABOD_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2099633,62361106,12,JMN64_gp88,SEA_ICHABOD_12,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2099633,62361107,11,JMN64_gp89,SEA_ICHABOD_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361108,10,JMN64_gp90,SEA_ICHABOD_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2099633,62361109,9,JMN64_gp91,SEA_ICHABOD_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2099633,62361110,8,JMN64_gp92,SEA_ICHABOD_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361111,7,JMN64_gp93,SEA_ICHABOD_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361112,6,JMN64_gp94,SEA_ICHABOD_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361113,5,JMN64_gp95,SEA_ICHABOD_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361114,4,JMN64_gt01,SEA_ICHABOD_4,-,-,-,tRNA,tRNA,-,-,-,-,20210123,-
2099633,62361115,3,JMN64_gp03,SEA_ICHABOD_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62361116,2,JMN64_gp02,SEA_ICHABOD_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099633,62361117,1,JMN64_gp01,SEA_ICHABOD_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099633,62368971,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
