#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698486,26040677,APL43_gp03,APL43_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
698486,26040704,APL43_gp29,APL43_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
698486,26040705,APL43_gp30,APL43_gp30,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
698486,26040706,APL43_gp31,APL43_gp31,-,-,-,-,tailspike 63D sialidase,protein-coding,-,-,-,tailspike 63D sialidase,20200629,-
698486,26040707,APL43_gp32,APL43_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040708,APL43_gp33,APL43_gp33,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
698486,26040709,APL43_gp34,APL43_gp34,-,-,-,-,putative C-specific methylase,protein-coding,-,-,-,putative C-specific methylase,20200629,-
698486,26040710,APL43_gp35,APL43_gp35,-,-,-,-,putative Mte8-like protein,protein-coding,-,-,-,putative Mte8-like protein,20200629,-
698486,26040711,APL43_gp36,APL43_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040712,APL43_gp37,APL43_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040713,APL43_gp38,APL43_gp38,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
698486,26040714,APL43_gp39,APL43_gp39,-,-,-,-,DUF2815 family protein,protein-coding,-,-,-,DUF2815 family protein,20201220,-
698486,26040715,APL43_gp40,APL43_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040716,APL43_gp41,APL43_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040717,APL43_gp42,APL43_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040718,APL43_gp43,APL43_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040719,APL43_gp44,APL43_gp44,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20200629,-
698486,26040720,APL43_gp45,APL43_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040721,APL43_gp46,APL43_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040722,APL43_gp47,APL43_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040723,APL43_gp48,APL43_gp48,-,-,-,-,"putative holin-like, class II",protein-coding,-,-,-,"putative holin-like, class II",20200629,-
698486,26040724,APL43_gp49,APL43_gp49,-,-,-,-,"putative holin-like, class I",protein-coding,-,-,-,"putative holin-like, class I",20200629,-
698486,26040725,APL43_gp50,APL43_gp50,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200629,-
698486,26040726,APL43_gp51,APL43_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040727,APL43_gp52,APL43_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26040728,APL43_gp01,APL43_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698486,26045489,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K1G; Escherichia phage K1-dep(4); K1-dep(4)).,other,-,-,-,-,20210213,-
