#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647469,30309317,BOX05_gp04,BOX05_gp04,GAL1_4,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1647469,30309357,BOX05_gp42,BOX05_gp42,GAL1_42,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1647469,30309358,BOX05_gp43,BOX05_gp43,GAL1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309359,BOX05_gp44,BOX05_gp44,GAL1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309360,BOX05_gp45,BOX05_gp45,GAL1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309361,BOX05_gp46,BOX05_gp46,GAL1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309362,BOX05_gp47,BOX05_gp47,GAL1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309363,BOX05_gp48,BOX05_gp48,GAL1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309364,BOX05_gp49,BOX05_gp49,GAL1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309365,BOX05_gp50,BOX05_gp50,GAL1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309366,BOX05_gp51,BOX05_gp51,GAL1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309367,BOX05_gp52,BOX05_gp52,GAL1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309368,BOX05_gp53,BOX05_gp53,GAL1_53,-,-,-,putative WhiB family regulatory protein,protein-coding,-,-,-,putative WhiB family regulatory protein,20200629,-
1647469,30309369,BOX05_gp54,BOX05_gp54,GAL1_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1647469,30309370,BOX05_gp55,BOX05_gp55,GAL1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309371,BOX05_gp56,BOX05_gp56,GAL1_56,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201221,-
1647469,30309372,BOX05_gp57,BOX05_gp57,GAL1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309373,BOX05_gp58,BOX05_gp58,GAL1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309374,BOX05_gp59,BOX05_gp59,GAL1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309375,BOX05_gp60,BOX05_gp60,GAL1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309376,BOX05_gp61,BOX05_gp61,GAL1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309377,BOX05_gp62,BOX05_gp62,GAL1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309378,BOX05_gp63,BOX05_gp63,GAL1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309379,BOX05_gp64,BOX05_gp64,GAL1_64,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1647469,30309380,BOX05_gp65,BOX05_gp65,GAL1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309381,BOX05_gp66,BOX05_gp66,GAL1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309382,BOX05_gp67,BOX05_gp67,GAL1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309383,BOX05_gp68,BOX05_gp68,GAL1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309384,BOX05_gp69,BOX05_gp69,GAL1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309385,BOX05_gp70,BOX05_gp70,GAL1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309386,BOX05_gp71,BOX05_gp71,GAL1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309387,BOX05_gp72,BOX05_gp72,GAL1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309388,BOX05_gp73,BOX05_gp73,GAL1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309389,BOX05_gp74,BOX05_gp74,GAL1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309390,BOX05_gp75,BOX05_gp75,GAL1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309391,BOX05_gp76,BOX05_gp76,GAL1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309392,BOX05_gp77,BOX05_gp77,GAL1_77,-,-,-,DUF3307 domain-containing protein,protein-coding,-,-,-,DUF3307 domain-containing protein,20201221,-
1647469,30309393,BOX05_gp78,BOX05_gp78,GAL1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309394,BOX05_gp79,BOX05_gp79,GAL1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309395,BOX05_gp80,BOX05_gp80,GAL1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309396,BOX05_gp81,BOX05_gp81,GAL1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309397,BOX05_gp82,BOX05_gp82,GAL1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647469,30309398,BOX05_gp01,BOX05_gp01,GAL1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
