#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675598,26624318,AVT25_gp02,AVT25_gp02,CPT_Pavlov2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1675598,26624334,AVT25_gp18,AVT25_gp18,CPT_Pavlov18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624335,AVT25_gp19,AVT25_gp19,CPT_Pavlov19,-,-,-,lytic tail protein,protein-coding,-,-,-,lytic tail protein,20201221,-
1675598,26624336,AVT25_gp20,AVT25_gp20,CPT_Pavlov20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624337,AVT25_gp21,AVT25_gp21,CPT_Pavlov21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624338,AVT25_gp22,AVT25_gp22,CPT_Pavlov22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1675598,26624339,AVT25_gp23,AVT25_gp23,CPT_Pavlov23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624340,AVT25_gp24,AVT25_gp24,CPT_Pavlov24,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1675598,26624341,AVT25_gp25,AVT25_gp25,CPT_Pavlov25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624342,AVT25_gp26,AVT25_gp26,CPT_Pavlov26,-,-,-,SpoIIIE/FtsK protein,protein-coding,-,-,-,SpoIIIE/FtsK protein,20201221,-
1675598,26624343,AVT25_gp27,AVT25_gp27,CPT_Pavlov27,-,-,-,plasmid replication-relaxation protein,protein-coding,-,-,-,plasmid replication-relaxation protein,20201221,-
1675598,26624344,AVT25_gp28,AVT25_gp28,CPT_Pavlov28,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1675598,26624345,AVT25_gp29,AVT25_gp29,CPT_Pavlov29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624346,AVT25_gp30,AVT25_gp30,CPT_Pavlov30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624347,AVT25_gp31,AVT25_gp31,CPT_Pavlov31,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20201221,-
1675598,26624348,AVT25_gp32,AVT25_gp32,CPT_Pavlov32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624349,AVT25_gp33,AVT25_gp33,CPT_Pavlov33,-,-,-,ssDNA-annealing protein,protein-coding,-,-,-,ssDNA-annealing protein,20201221,-
1675598,26624350,AVT25_gp34,AVT25_gp34,CPT_Pavlov34,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20201221,-
1675598,26624351,AVT25_gp35,AVT25_gp35,CPT_Pavlov35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624352,AVT25_gp36,AVT25_gp36,CPT_Pavlov36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624353,AVT25_gp37,AVT25_gp37,CPT_Pavlov37,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1675598,26624354,AVT25_gp38,AVT25_gp38,CPT_Pavlov38,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20201221,-
1675598,26624355,AVT25_gp39,AVT25_gp39,CPT_Pavlov39,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20201221,-
1675598,26624356,AVT25_gp40,AVT25_gp40,CPT_Pavlov40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624357,AVT25_gp41,AVT25_gp41,CPT_Pavlov41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624358,AVT25_gp42,AVT25_gp42,CPT_Pavlov42,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1675598,26624359,AVT25_gp43,AVT25_gp43,CPT_Pavlov43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624360,AVT25_gp44,AVT25_gp44,CPT_Pavlov44,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201221,-
1675598,26624361,AVT25_gp45,AVT25_gp45,CPT_Pavlov45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624362,AVT25_gp46,AVT25_gp46,CPT_Pavlov46,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1675598,26624363,AVT25_gp47,AVT25_gp47,CPT_Pavlov47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624364,AVT25_gp48,AVT25_gp48,CPT_Pavlov48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624365,AVT25_gp49,AVT25_gp49,CPT_Pavlov49,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1675598,26624366,AVT25_gp50,AVT25_gp50,CPT_Pavlov50,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1675598,26624367,AVT25_gp01,AVT25_gp01,CPT_Pavlov1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1675598,26680885,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
