#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059855,55606422,HWB42_gp02,HWB42_gp02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210424,-
2059855,55606472,HWB42_gp52,HWB42_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606473,HWB42_gp53,HWB42_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606474,HWB42_gp54,HWB42_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606475,HWB42_gp55,HWB42_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606476,HWB42_gp56,HWB42_gp56,-,-,-,-,FhuF-like transporter,protein-coding,-,-,-,FhuF-like transporter,20200620,-
2059855,55606477,HWB42_gp57,HWB42_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606478,HWB42_gp58,HWB42_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606479,HWB42_gp59,HWB42_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606480,HWB42_gp60,HWB42_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606481,HWB42_gp61,HWB42_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606482,HWB42_gp62,HWB42_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606483,HWB42_gp63,HWB42_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606484,HWB42_gp64,HWB42_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606485,HWB42_gp65,HWB42_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606486,HWB42_gp66,HWB42_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606487,HWB42_gp67,HWB42_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606488,HWB42_gp68,HWB42_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606489,HWB42_gp69,HWB42_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606490,HWB42_gp70,HWB42_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606491,HWB42_gp71,HWB42_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606492,HWB42_gp72,HWB42_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606493,HWB42_gp73,HWB42_gp73,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2059855,55606494,HWB42_gp74,HWB42_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606495,HWB42_gp75,HWB42_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606496,HWB42_gp76,HWB42_gp76,-,-,-,-,pyridoxamine 5'-phosphate oxidase,protein-coding,-,-,-,pyridoxamine 5'-phosphate oxidase,20210424,-
2059855,55606497,HWB42_gp01,HWB42_gp01,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2059855,55635744,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
