#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2030922,40089654,FDI48_gp02,FDI48_gp02,phiSHEF2_02,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2030922,40089707,FDI48_gp55,FDI48_gp55,phiSHEF2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089708,FDI48_gp56,FDI48_gp56,phiSHEF2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089709,FDI48_gp57,FDI48_gp57,phiSHEF2_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089710,FDI48_gp58,FDI48_gp58,phiSHEF2_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089711,FDI48_gp59,FDI48_gp59,phiSHEF2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089712,FDI48_gp60,FDI48_gp60,phiSHEF2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089713,FDI48_gp61,FDI48_gp61,phiSHEF2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089714,FDI48_gp62,FDI48_gp62,phiSHEF2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089715,FDI48_gp63,FDI48_gp63,phiSHEF2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089716,FDI48_gp64,FDI48_gp64,phiSHEF2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089717,FDI48_gp65,FDI48_gp65,phiSHEF2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089718,FDI48_gp66,FDI48_gp66,phiSHEF2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089719,FDI48_gp67,FDI48_gp67,phiSHEF2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089720,FDI48_gp68,FDI48_gp68,phiSHEF2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089721,FDI48_gp01,FDI48_gp01,phiSHEF2_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40120482,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
