#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686244,55625256,HWC86_gp02,HWC86_gp02,pippi81_gp002,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210313,-
2686244,55625280,HWC86_gp26,HWC86_gp26,pippi81_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686244,55625281,HWC86_gp27,HWC86_gp27,pippi81_gp027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686244,55625282,HWC86_gp28,HWC86_gp28,pippi81_gp028,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686244,55625283,HWC86_gp29,HWC86_gp29,pippi81_gp029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625284,HWC86_gp30,HWC86_gp30,pippi81_gp030,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625285,HWC86_gp31,HWC86_gp31,pippi81_gp031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625286,HWC86_gp32,HWC86_gp32,pippi81_gp032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625287,HWC86_gp33,HWC86_gp33,pippi81_gp033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625288,HWC86_gp34,HWC86_gp34,pippi81_gp034,-,-,-,protease,protein-coding,-,-,-,protease,20210313,-
2686244,55625289,HWC86_gp35,HWC86_gp35,pippi81_gp035,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625290,HWC86_gp36,HWC86_gp36,pippi81_gp036,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686244,55625291,HWC86_gp37,HWC86_gp37,pippi81_gp037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625292,HWC86_gp38,HWC86_gp38,pippi81_gp038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625293,HWC86_gp39,HWC86_gp39,pippi81_gp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625294,HWC86_gp40,HWC86_gp40,pippi81_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686244,55625295,HWC86_gp41,HWC86_gp41,pippi81_gp041,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625296,HWC86_gp42,HWC86_gp42,pippi81_gp042,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625297,HWC86_gp43,HWC86_gp43,pippi81_gp043,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625298,HWC86_gp44,HWC86_gp44,pippi81_gp044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625299,HWC86_gp45,HWC86_gp45,pippi81_gp045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625300,HWC86_gp46,HWC86_gp46,pippi81_gp046,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2686244,55625301,HWC86_gp47,HWC86_gp47,pippi81_gp047,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200620,-
2686244,55625302,HWC86_gp48,HWC86_gp48,pippi81_gp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625303,HWC86_gp49,HWC86_gp49,pippi81_gp049,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210313,-
2686244,55625304,HWC86_gp50,HWC86_gp50,pippi81_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625305,HWC86_gp51,HWC86_gp51,pippi81_gp051,-,-,-,amidase,protein-coding,-,-,-,amidase,20210313,-
2686244,55625306,HWC86_gp52,HWC86_gp52,pippi81_gp052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625307,HWC86_gp53,HWC86_gp53,pippi81_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55625308,HWC86_gp01,HWC86_gp01,pippi81_gp001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2686244,55636083,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
