#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204541,40084647,FDI19_gp02,FDI19_gp02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1204541,40084662,FDI19_gp17,FDI19_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084663,FDI19_gp18,FDI19_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084664,FDI19_gp19,FDI19_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084665,FDI19_gp20,FDI19_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084666,FDI19_gp21,FDI19_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084667,FDI19_gp22,FDI19_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084668,FDI19_gp23,FDI19_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204541,40084669,FDI19_gp24,FDI19_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084670,FDI19_gp25,FDI19_gp25,-,-,-,-,putative replicative helicase-primase,protein-coding,-,-,-,putative replicative helicase-primase,20200629,-
1204541,40084671,FDI19_gp26,FDI19_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084672,FDI19_gp27,FDI19_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084673,FDI19_gp28,FDI19_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084674,FDI19_gp29,FDI19_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084675,FDI19_gp30,FDI19_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084676,FDI19_gp31,FDI19_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1204541,40084677,FDI19_gp32,FDI19_gp32,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1204541,40084678,FDI19_gp33,FDI19_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084679,FDI19_gp34,FDI19_gp34,-,-,-,-,putative restriction-endonuclease,protein-coding,-,-,-,putative restriction-endonuclease,20200629,-
1204541,40084680,FDI19_gp35,FDI19_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084681,FDI19_gp36,FDI19_gp36,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1204541,40084682,FDI19_gp37,FDI19_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084683,FDI19_gp38,FDI19_gp38,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200629,-
1204541,40084684,FDI19_gp39,FDI19_gp39,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1204541,40084685,FDI19_gp40,FDI19_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084686,FDI19_gp41,FDI19_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084687,FDI19_gp42,FDI19_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084688,FDI19_gp43,FDI19_gp43,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1204541,40084689,FDI19_gp44,FDI19_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084690,FDI19_gp45,FDI19_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084691,FDI19_gp46,FDI19_gp46,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210129,-
1204541,40084692,FDI19_gp47,FDI19_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084693,FDI19_gp48,FDI19_gp48,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210123,-
1204541,40084694,FDI19_gp49,FDI19_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084695,FDI19_gp50,FDI19_gp50,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200629,-
1204541,40084696,FDI19_gp51,FDI19_gp51,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1204541,40084697,FDI19_gp52,FDI19_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204541,40084698,FDI19_gp53,FDI19_gp53,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1204541,40084699,FDI19_gp54,FDI19_gp54,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1204541,40084700,FDI19_gp55,FDI19_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084701,FDI19_gp56,FDI19_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084702,FDI19_gp57,FDI19_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084703,FDI19_gp58,FDI19_gp58,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1204541,40084704,FDI19_gp59,FDI19_gp59,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
1204541,40084705,FDI19_gp60,FDI19_gp60,-,-,-,-,putative coat protein,protein-coding,-,-,-,putative coat protein,20200629,-
1204541,40084706,FDI19_gp61,FDI19_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084707,FDI19_gp62,FDI19_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084708,FDI19_gp63,FDI19_gp63,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1204541,40084709,FDI19_gp64,FDI19_gp64,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1204541,40084710,FDI19_gp01,FDI19_gp01,-,-,-,-,amidase,protein-coding,-,-,-,amidase,20200629,-
1204541,40120117,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
