#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1674926,26641706,AVT27_gp02,AVT27_gp02,SEA_IZZY_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1674926,26641759,AVT27_gp55,AVT27_gp55,SEA_IZZY_55,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201221,-
1674926,26641760,AVT27_gp56,AVT27_gp56,SEA_IZZY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641761,AVT27_gp57,AVT27_gp57,SEA_IZZY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641762,AVT27_gp58,AVT27_gp58,SEA_IZZY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641763,AVT27_gp59,AVT27_gp59,SEA_IZZY_59,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1674926,26641764,AVT27_gp60,AVT27_gp60,SEA_IZZY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641765,AVT27_gp61,AVT27_gp61,SEA_IZZY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641766,AVT27_gp62,AVT27_gp62,SEA_IZZY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641767,AVT27_gp63,AVT27_gp63,SEA_IZZY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641768,AVT27_gp64,AVT27_gp64,SEA_IZZY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641769,AVT27_gp65,AVT27_gp65,SEA_IZZY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641770,AVT27_gp66,AVT27_gp66,SEA_IZZY_66,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1674926,26641771,AVT27_gp67,AVT27_gp67,SEA_IZZY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641772,AVT27_gp68,AVT27_gp68,SEA_IZZY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641773,AVT27_gp69,AVT27_gp69,SEA_IZZY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641774,AVT27_gp70,AVT27_gp70,SEA_IZZY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641775,AVT27_gp71,AVT27_gp71,SEA_IZZY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641776,AVT27_gp72,AVT27_gp72,SEA_IZZY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641777,AVT27_gp73,AVT27_gp73,SEA_IZZY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641778,AVT27_gp74,AVT27_gp74,SEA_IZZY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641779,AVT27_gp75,AVT27_gp75,SEA_IZZY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641780,AVT27_gp01,AVT27_gp01,SEA_IZZY_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26680869,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
