#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622191,26794009,AXJ11_gp02,AXJ11_gp02,GordDuk1_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622191,26794024,AXJ11_gp18,AXJ11_gp18,GordDuk1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794025,AXJ11_gp19,AXJ11_gp19,GordDuk1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794026,AXJ11_gp20,AXJ11_gp20,GordDuk1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794027,AXJ11_gp21,AXJ11_gp21,GordDuk1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794028,AXJ11_gp22,AXJ11_gp22,GordDuk1_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1622191,26794029,AXJ11_gp23,AXJ11_gp23,GordDuk1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794030,AXJ11_gp24,AXJ11_gp24,GordDuk1_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1622191,26794031,AXJ11_gp25,AXJ11_gp25,GordDuk1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794032,AXJ11_gp26,AXJ11_gp26,GordDuk1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794033,AXJ11_gp27,AXJ11_gp27,GordDuk1_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622191,26794034,AXJ11_gp28,AXJ11_gp28,GordDuk1_28,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1622191,26794035,AXJ11_gp29,AXJ11_gp29,GordDuk1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794036,AXJ11_gp30,AXJ11_gp30,GordDuk1_30,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622191,26794037,AXJ11_gp31,AXJ11_gp31,GordDuk1_31,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622191,26794038,AXJ11_gp32,AXJ11_gp32,GordDuk1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794039,AXJ11_gp33,AXJ11_gp33,GordDuk1_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1622191,26794040,AXJ11_gp34,AXJ11_gp34,GordDuk1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794041,AXJ11_gp35,AXJ11_gp35,GordDuk1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794042,AXJ11_gp36,AXJ11_gp36,GordDuk1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794043,AXJ11_gp37,AXJ11_gp37,GordDuk1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794044,AXJ11_gp38,AXJ11_gp38,GordDuk1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794045,AXJ11_gp39,AXJ11_gp39,GordDuk1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794046,AXJ11_gp40,AXJ11_gp40,GordDuk1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794047,AXJ11_gp41,AXJ11_gp41,GordDuk1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794048,AXJ11_gp42,AXJ11_gp42,GordDuk1_42,-,-,-,thymidylate synthase ThyX,protein-coding,-,-,-,thymidylate synthase ThyX,20201221,-
1622191,26794049,AXJ11_gp43,AXJ11_gp43,GordDuk1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794050,AXJ11_gp44,AXJ11_gp44,GordDuk1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794051,AXJ11_gp45,AXJ11_gp45,GordDuk1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794052,AXJ11_gp46,AXJ11_gp46,GordDuk1_46,-,-,-,ferritin-related protein,protein-coding,-,-,-,ferritin-related protein,20201221,-
1622191,26794053,AXJ11_gp47,AXJ11_gp47,GordDuk1_47,-,-,-,transcription factor WhiB,protein-coding,-,-,-,transcription factor WhiB,20201221,-
1622191,26794054,AXJ11_gp48,AXJ11_gp48,GordDuk1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794055,AXJ11_gp49,AXJ11_gp49,GordDuk1_49,-,-,-,RusA-like ribonuclease,protein-coding,-,-,-,RusA-like ribonuclease,20201221,-
1622191,26794056,AXJ11_gp50,AXJ11_gp50,GordDuk1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794057,AXJ11_gp51,AXJ11_gp51,GordDuk1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794058,AXJ11_gp52,AXJ11_gp52,GordDuk1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794059,AXJ11_gp53,AXJ11_gp53,GordDuk1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794060,AXJ11_gp54,AXJ11_gp54,GordDuk1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794061,AXJ11_gp55,AXJ11_gp55,GordDuk1_55,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1622191,26794062,AXJ11_gp56,AXJ11_gp56,GordDuk1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794063,AXJ11_gp57,AXJ11_gp57,GordDuk1_57,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20201221,-
1622191,26794064,AXJ11_gp58,AXJ11_gp58,GordDuk1_58,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1622191,26794065,AXJ11_gp59,AXJ11_gp59,GordDuk1_59,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1622191,26794066,AXJ11_gp60,AXJ11_gp60,GordDuk1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794067,AXJ11_gp61,AXJ11_gp61,GordDuk1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794068,AXJ11_gp62,AXJ11_gp62,GordDuk1_62,-,-,-,DUF732-like protein,protein-coding,-,-,-,DUF732-like protein,20201221,-
1622191,26794069,AXJ11_gp63,AXJ11_gp63,GordDuk1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794070,AXJ11_gp64,AXJ11_gp64,GordDuk1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794071,AXJ11_gp65,AXJ11_gp65,GordDuk1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794072,AXJ11_gp66,AXJ11_gp66,GordDuk1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794073,AXJ11_gp67,AXJ11_gp67,GordDuk1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794074,AXJ11_gp68,AXJ11_gp68,GordDuk1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794075,AXJ11_gp69,AXJ11_gp69,GordDuk1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794076,AXJ11_gp70,AXJ11_gp70,GordDuk1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794077,AXJ11_gp71,AXJ11_gp71,GordDuk1_71,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1622191,26794078,AXJ11_gp72,AXJ11_gp72,GordDuk1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794079,AXJ11_gp73,AXJ11_gp73,GordDuk1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794080,AXJ11_gp74,AXJ11_gp74,GordDuk1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794081,AXJ11_gp75,AXJ11_gp75,GordDuk1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794082,AXJ11_gp76,AXJ11_gp76,GordDuk1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794083,AXJ11_gp77,AXJ11_gp77,GordDuk1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794084,AXJ11_gp78,AXJ11_gp78,GordDuk1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794085,AXJ11_gp79,AXJ11_gp79,GordDuk1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794086,AXJ11_gp80,AXJ11_gp80,GordDuk1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794087,AXJ11_gp81,AXJ11_gp81,GordDuk1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794088,AXJ11_gp82,AXJ11_gp82,GordDuk1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794089,AXJ11_gp83,AXJ11_gp83,GordDuk1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794090,AXJ11_gp84,AXJ11_gp84,GordDuk1_84,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1622191,26794091,AXJ11_gp85,AXJ11_gp85,GordDuk1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794092,AXJ11_gp86,AXJ11_gp86,GordDuk1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794093,AXJ11_gp87,AXJ11_gp87,GordDuk1_87,-,-,-,von Willebrand factor domain protein,protein-coding,-,-,-,von Willebrand factor domain protein,20201221,-
1622191,26794094,AXJ11_gp88,AXJ11_gp88,GordDuk1_88,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1622191,26794095,AXJ11_gp89,AXJ11_gp89,GordDuk1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794096,AXJ11_gp90,AXJ11_gp90,GordDuk1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794097,AXJ11_gp91,AXJ11_gp91,GordDuk1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794098,AXJ11_gp92,AXJ11_gp92,GordDuk1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794099,AXJ11_gp93,AXJ11_gp93,GordDuk1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794100,AXJ11_gp94,AXJ11_gp94,GordDuk1_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794101,AXJ11_gp95,AXJ11_gp95,GordDuk1_95,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1622191,26794102,AXJ11_gp96,AXJ11_gp96,GordDuk1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794103,AXJ11_gp97,AXJ11_gp97,GordDuk1_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794104,AXJ11_gp16,AXJ11_gp16,GordDuk1_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1622191,26794105,AXJ11_gp01,AXJ11_gp01,GordDuk1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26823870,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
