#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
272630,8006905,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Methylobacterium extorquens AM1; Pseudomonas sp. AM1).,other,-,-,-,-,20210407,-
272630,29617071,MEXAM1_RS22705,MEXAM1_RS22705,MexAM1_META1ptRNA25,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617109,MEXAM1_RS22825,MEXAM1_RS22825,MexAM1_META1ptRNA26,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617256,MEXAM1_RS00765,MEXAM1_RS00765,MexAM1_META1ptRNA56,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617350,MEXAM1_RS03805,MEXAM1_RS03805,MexAM1_META1ptRNA45,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617370,MEXAM1_RS23480,MEXAM1_RS23480,MexAM1_META1ptRNA27,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617403,MEXAM1_RS03770,MEXAM1_RS03770,MexAM1_META1ptRNA4,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617642,MEXAM1_RS04130,MEXAM1_RS04130,MexAM1_META1ptRNA5,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617689,MEXAM1_RS11465,MEXAM1_RS11465,MexAM1_META1ptRNA12,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617692,MEXAM1_RS24380,MEXAM1_RS24380,MexAM1_META1ptRNA31,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617693,MEXAM1_RS24385,MEXAM1_RS24385,MexAM1_META1ptRNA28,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617864,MEXAM1_RS01845,MEXAM1_RS01845,MexAM1_META1ptRNA54,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617902,MEXAM1_RS02785,MEXAM1_RS02785,MexAM1_META1ptRNA48,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29617969,MEXAM1_RS25165,MEXAM1_RS25165,MexAM1_META1ptRNA29,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618028,MEXAM1_RS25335,MEXAM1_RS25335,MexAM1_META1ptRNA30,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618043,MEXAM1_RS02790,MEXAM1_RS02790,MexAM1_META1ptRNA47,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618060,MEXAM1_RS07465,MEXAM1_RS07465,MexAM1_META1ptRNA8,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618092,MEXAM1_RS05550,MEXAM1_RS05550,MexAM1_META1ptRNA42,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618322,MEXAM1_RS05200,MEXAM1_RS05200,MexAM1_META1ptRNA6,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618406,MEXAM1_RS11440,MEXAM1_RS11440,MexAM1_META1ptRNA11,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618433,MEXAM1_RS08740,MEXAM1_RS08740,MexAM1_META1ptRNA9,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618435,MEXAM1_RS05570,MEXAM1_RS05570,MexAM1_META1ptRNA40,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618501,MEXAM1_RS05175,MEXAM1_RS05175,MexAM1_META1ptRNA43,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618540,MEXAM1_RS13945,MEXAM1_RS13945,MexAM1_META1ptRNA15,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618578,MEXAM1_RS05660,MEXAM1_RS05660,MexAM1_META1ptRNA39,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618622,MEXAM1_RS00810,MEXAM1_RS00810,MexAM1_META1ptRNA55,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618625,MEXAM1_RS11510,MEXAM1_RS11510,MexAM1_META1ptRNA13,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618660,MEXAM1_RS05565,MEXAM1_RS05565,MexAM1_META1ptRNA41,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618689,MEXAM1_RS05675,MEXAM1_RS05675,MexAM1_META1ptRNA38,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618693,MEXAM1_RS05680,MEXAM1_RS05680,MexAM1_META1ptRNA37,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29618919,MEXAM1_RS06000,MEXAM1_RS06000,MexAM1_META1ptRNA7,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29619585,MEXAM1_RS30260,MEXAM1_RS30260,MexAM1_META2ptRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29619914,MEXAM1_RS30975,MEXAM1_RS30975,MexAM1_META2ptRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29620107,MEXAM1_RS29005,MEXAM1_RS29005,MexAM1_META2ptRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29620108,MEXAM1_RS29000,MEXAM1_RS29000,MexAM1_META2ptRNA4,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29620109,MEXAM1_RS28995,MEXAM1_RS28995,MexAM1_META2ptRNA5,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
272630,29620299,MEXAM1_RS28130,MEXAM1_RS28130,MexAM1_META2ptRNA6,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
