#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229791,13826985,2,D293_gp02,P1001_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229791,13827008,25,D293_gp25,P1001_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827009,26,D293_gp26,P1001_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827010,27,D293_gp27,P1001_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229791,13827011,28,D293_gp28,P1001_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827012,29,D293_gp29,P1001_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827013,30,D293_gp30,P1001_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827014,31,D293_gp31,P1001_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827015,33,D293_gp33,P1001_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827016,34,D293_gp34,P1001_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827017,35,D293_gp35,P1001_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827018,36,D293_gp36,P1001_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827019,37,D293_gp37,P1001_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229791,13827020,38,D293_gp38,P1001_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827021,39,D293_gp39,P1001_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827022,40,D293_gp40,P1001_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827023,41,D293_gp41,P1001_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827024,42,D293_gp42,P1001_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827025,43,D293_gp43,P1001_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827026,44,D293_gp44,P1001_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827027,45,D293_gp45,P1001_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827028,46,D293_gp46,P1001_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827029,47,D293_gp47,P1001_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229791,13827030,32,D293_gp32,P1001_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827031,1,D293_gp01,P1001_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229791,13839499,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
