#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1091556,24599014,ACP48_gp02,ACP48_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1091556,24599038,ACP48_gp26,ACP48_gp26,-,-,-,-,putative large subunit terminase,protein-coding,-,-,-,putative large subunit terminase,20200629,-
1091556,24599039,ACP48_gp27,ACP48_gp27,-,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201220,-
1091556,24599040,ACP48_gp28,ACP48_gp28,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
1091556,24599041,ACP48_gp29,ACP48_gp29,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201220,-
1091556,24599042,ACP48_gp30,ACP48_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599043,ACP48_gp31,ACP48_gp31,-,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201220,-
1091556,24599044,ACP48_gp32,ACP48_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599045,ACP48_gp33,ACP48_gp33,-,-,-,-,putative protease/scaffold protein,protein-coding,-,-,-,putative protease/scaffold protein,20200629,-
1091556,24599046,ACP48_gp34,ACP48_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599047,ACP48_gp35,ACP48_gp35,-,-,-,-,putative major head subunit protein,protein-coding,-,-,-,putative major head subunit protein,20200629,-
1091556,24599048,ACP48_gp36,ACP48_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599049,ACP48_gp37,ACP48_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599050,ACP48_gp38,ACP48_gp38,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
1091556,24599051,ACP48_gp39,ACP48_gp39,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599052,ACP48_gp40,ACP48_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599053,ACP48_gp41,ACP48_gp41,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599054,ACP48_gp42,ACP48_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599055,ACP48_gp43,ACP48_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599056,ACP48_gp44,ACP48_gp44,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200629,-
1091556,24599057,ACP48_gp45,ACP48_gp45,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599058,ACP48_gp46,ACP48_gp46,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599059,ACP48_gp47,ACP48_gp47,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599060,ACP48_gp48,ACP48_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1091556,24599061,ACP48_gp49,ACP48_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599062,ACP48_gp50,ACP48_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599063,ACP48_gp51,ACP48_gp51,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1091556,24599064,ACP48_gp52,ACP48_gp52,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1091556,24599065,ACP48_gp53,ACP48_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599066,ACP48_gp54,ACP48_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599067,ACP48_gp01,ACP48_gp01,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
1091556,24923432,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas phage LPB1).,other,-,-,-,-,20200513,-
