#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
256729,2943445,LDVICp043,LDVICp043,LDVICgp3,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
256729,2979035,LDVICp174,LDVICp174,-,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201220,-
256729,2979036,LDVICp172,LDVICp172,-,-,-,-,putative lipopolysaccharide-modifying enzyme,protein-coding,-,-,-,putative lipopolysaccharide-modifying enzyme,20201220,-
256729,2979037,LDVICp088,LDVICp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979038,LDVICp133,LDVICp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979039,LDVICp068,LDVICp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979040,LDVICp010,LDVICp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979041,LDVICp035,LDVICp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979042,LDVICp052,LDVICp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979043,LDVICp032,LDVICp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979044,LDVICp204,LDVICp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979045,LDVICp090,LDVICp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979046,LDVICp220,LDVICp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979047,LDVICp092,LDVICp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979048,LDVICp089,LDVICp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979049,LDVICp170,LDVICp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979050,LDVICp235,LDVICp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979051,LDVICp173,LDVICp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979052,LDVICp227,LDVICp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979053,LDVICp169,LDVICp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979054,LDVICp067,LDVICp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979055,LDVICp203,LDVICp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979056,LDVICp145,LDVICp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979057,LDVICp100,LDVICp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979058,LDVICp099,LDVICp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979059,LDVICp102,LDVICp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979060,LDVICp230,LDVICp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979061,LDVICp166,LDVICp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979062,LDVICp063,LDVICp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979063,LDVICp104,LDVICp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979064,LDVICp224,LDVICp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979065,LDVICp157,LDVICp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979066,LDVICp160,LDVICp160,-,-,-,-,acetyl-coA hydrolase,protein-coding,-,-,-,acetyl-coA hydrolase,20210320,-
256729,2979067,LDVICp153,LDVICp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979068,LDVICp076,LDVICp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979069,LDVICp060,LDVICp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979070,LDVICp158,LDVICp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979071,LDVICp151,LDVICp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979072,LDVICp080,LDVICp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979073,LDVICp070,LDVICp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979074,LDVICp061,LDVICp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979075,LDVICp062,LDVICp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979076,LDVICp155,LDVICp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979077,LDVICp036,LDVICp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979078,LDVICp054,LDVICp054,-,-,-,-,histone-like transcription factor CBF/NF-Y,protein-coding,-,-,-,histone-like transcription factor CBF/NF-Y,20201220,-
256729,2979079,LDVICp154,LDVICp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979080,LDVICp065,LDVICp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979081,LDVICp071,LDVICp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979082,LDVICp149,LDVICp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979083,LDVICp152,LDVICp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979084,LDVICp069,LDVICp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979085,LDVICp073,LDVICp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979086,LDVICp167,LDVICp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979087,LDVICp012,LDVICp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979088,LDVICp216,LDVICp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979089,LDVICp150,LDVICp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979090,LDVICp207,LDVICp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979091,LDVICp218,LDVICp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979092,LDVICp050,LDVICp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979093,LDVICp106,LDVICp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979094,LDVICp234,LDVICp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979095,LDVICp148,LDVICp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979096,LDVICp019,LDVICp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979097,LDVICp164,LDVICp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979098,LDVICp231,LDVICp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979099,LDVICp159,LDVICp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979100,LDVICp206,LDVICp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979101,LDVICp217,LDVICp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979102,LDVICp110,LDVICp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979103,LDVICp183,LDVICp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979104,LDVICp031,LDVICp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979105,LDVICp033,LDVICp033,-,-,-,-,membrane-bound metallopeptidase,protein-coding,-,-,-,membrane-bound metallopeptidase,20210320,-
256729,2979106,LDVICp017,LDVICp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979107,LDVICp057,LDVICp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979108,LDVICp214,LDVICp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979109,LDVICp191,LDVICp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979110,LDVICp233,LDVICp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979111,LDVICp185,LDVICp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979112,LDVICp189,LDVICp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979113,LDVICp212,LDVICp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979114,LDVICp040,LDVICp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979115,LDVICp041,LDVICp041,-,-,-,-,Ribonucleotide reductase,protein-coding,-,-,-,Ribonucleotide reductase,20210320,-
256729,2979116,LDVICp114,LDVICp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979117,LDVICp082,LDVICp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979118,LDVICp144,LDVICp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979119,LDVICp138,LDVICp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979120,LDVICp049,LDVICp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979121,LDVICp132,LDVICp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979122,LDVICp051,LDVICp051,-,-,-,-,RNA-dependent DNA polymerase,protein-coding,-,-,-,RNA-dependent DNA polymerase,20210320,-
256729,2979123,LDVICp120,LDVICp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979124,LDVICp112,LDVICp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979125,LDVICp122,LDVICp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979126,LDVICp130,LDVICp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979127,LDVICp116,LDVICp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979128,LDVICp038,LDVICp038,-,-,-,-,poxvirus proteins of hypothetical protein function,protein-coding,-,-,-,poxvirus proteins of hypothetical protein function,20201220,-
256729,2979129,LDVICp118,LDVICp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979130,LDVICp128,LDVICp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979131,LDVICp126,LDVICp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979132,LDVICp236,LDVICp236,-,-,-,-,chromosome segregation ATPase,protein-coding,-,-,-,chromosome segregation ATPase,20210320,-
256729,2979133,LDVICp047,LDVICp047,-,-,-,-,Site-specific recombinase XerD,protein-coding,-,-,-,Site-specific recombinase XerD,20210320,-
256729,2979134,LDVICp053,LDVICp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979135,LDVICp083,LDVICp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979136,LDVICp026,LDVICp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979137,LDVICp055,LDVICp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979138,LDVICp141,LDVICp141,-,-,-,-,Ervl/Alr family protein,protein-coding,-,-,-,Ervl/Alr family protein,20210320,-
256729,2979139,LDVICp081,LDVICp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979140,LDVICp078,LDVICp078,-,-,-,-,predicted ATPase,protein-coding,-,-,-,predicted ATPase,20210320,-
256729,2979141,LDVICp136,LDVICp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979142,LDVICp066,LDVICp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979143,LDVICp023,LDVICp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979144,LDVICp024,LDVICp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979145,LDVICp107,LDVICp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979146,LDVICp022,LDVICp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979147,LDVICp020,LDVICp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979148,LDVICp142,LDVICp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
