#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517927,65119426,2,KNU50_gp02,PBI_WALRUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2517927,65119467,43,KNU50_gp43,PBI_WALRUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119468,44,KNU50_gp44,PBI_WALRUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119469,45,KNU50_gp45,PBI_WALRUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119470,46,KNU50_gp46,PBI_WALRUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119471,47,KNU50_gp47,PBI_WALRUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119472,48,KNU50_gp48,PBI_WALRUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119473,49,KNU50_gp49,PBI_WALRUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119474,50,KNU50_gp50,PBI_WALRUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119475,51,KNU50_gp51,PBI_WALRUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119476,52,KNU50_gp52,PBI_WALRUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119477,53,KNU50_gp53,PBI_WALRUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119478,54,KNU50_gp54,PBI_WALRUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119479,55,KNU50_gp55,PBI_WALRUS_55,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210607,-
2517927,65119480,56,KNU50_gp56,PBI_WALRUS_56,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2517927,65119481,57,KNU50_gp57,PBI_WALRUS_57,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2517927,65119482,58,KNU50_gp58,PBI_WALRUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119483,59,KNU50_gp59,PBI_WALRUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119484,60,KNU50_gp60,PBI_WALRUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119485,61,KNU50_gp61,PBI_WALRUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119486,62,KNU50_gp62,PBI_WALRUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119487,63,KNU50_gp63,PBI_WALRUS_63,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210607,-
2517927,65119488,64,KNU50_gp64,PBI_WALRUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119489,65,KNU50_gp65,PBI_WALRUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119490,66,KNU50_gp66,PBI_WALRUS_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2517927,65119491,67,KNU50_gp67,PBI_WALRUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119492,68,KNU50_gp68,PBI_WALRUS_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2517927,65119493,69,KNU50_gp69,PBI_WALRUS_69,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2517927,65119494,70,KNU50_gp70,PBI_WALRUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119495,71,KNU50_gp71,PBI_WALRUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119496,72,KNU50_gp72,PBI_WALRUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119497,73,KNU50_gp73,PBI_WALRUS_73,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2517927,65119498,74,KNU50_gp74,PBI_WALRUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119499,75,KNU50_gp75,PBI_WALRUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119500,76,KNU50_gp76,PBI_WALRUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119501,77,KNU50_gp77,PBI_WALRUS_77,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2517927,65119502,78,KNU50_gp78,PBI_WALRUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119503,79,KNU50_gp79,PBI_WALRUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119504,80,KNU50_gp80,PBI_WALRUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119505,81,KNU50_gp81,PBI_WALRUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119506,82,KNU50_gp82,PBI_WALRUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119507,83,KNU50_gp83,PBI_WALRUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517927,65119508,84,KNU50_gp84,PBI_WALRUS_84,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2517927,65119509,1,KNU50_gp01,PBI_WALRUS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2517927,65243047,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
