#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772068,65129320,KNV35_gp93,KNV35_gp93,-,-,-,-,nuclear pore complex-like protein,protein-coding,-,-,-,nuclear pore complex-like protein,20210608,-
2772068,65129344,KNV35_gp74,KNV35_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129345,KNV35_gp73,KNV35_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129346,KNV35_gp72,KNV35_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129347,KNV35_gp71,KNV35_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129348,KNV35_gp70,KNV35_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129349,KNV35_gp69,KNV35_gp69,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772068,65129350,KNV35_gp68,KNV35_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129351,KNV35_gp67,KNV35_gp67,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772068,65129352,KNV35_gp66,KNV35_gp66,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772068,65129353,KNV35_gp65,KNV35_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129354,KNV35_gp64,KNV35_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129355,KNV35_gp63,KNV35_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129356,KNV35_gp62,KNV35_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129357,KNV35_gp61,KNV35_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129358,KNV35_gp60,KNV35_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129359,KNV35_gp59,KNV35_gp59,-,-,-,-,"DNA replication, ATP-dependent helicase",protein-coding,-,-,-,"DNA replication, ATP-dependent helicase",20210608,-
2772068,65129360,KNV35_gp58,KNV35_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129361,KNV35_gp57,KNV35_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129362,KNV35_gp56,KNV35_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129363,KNV35_gp55,KNV35_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129364,KNV35_gp54,KNV35_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129365,KNV35_gp53,KNV35_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129366,KNV35_gp52,KNV35_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129367,KNV35_gp51,KNV35_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129368,KNV35_gp50,KNV35_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129369,KNV35_gp49,KNV35_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129370,KNV35_gp48,KNV35_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129371,KNV35_gp47,KNV35_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129372,KNV35_gp46,KNV35_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129373,KNV35_gp45,KNV35_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129374,KNV35_gp44,KNV35_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129375,KNV35_gp43,KNV35_gp43,-,-,-,-,outer capsid protein-like protein,protein-coding,-,-,-,outer capsid protein-like protein,20210608,-
2772068,65129376,KNV35_gp42,KNV35_gp42,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20210608,-
2772068,65129377,KNV35_gp41,KNV35_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129378,KNV35_gp40,KNV35_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129379,KNV35_gp39,KNV35_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129380,KNV35_gp38,KNV35_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129381,KNV35_gp37,KNV35_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129382,KNV35_gp36,KNV35_gp36,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20210608,-
2772068,65129383,KNV35_gp35,KNV35_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129384,KNV35_gp34,KNV35_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129385,KNV35_gp33,KNV35_gp33,-,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210608,-
2772068,65129386,KNV35_gp32,KNV35_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129387,KNV35_gp31,KNV35_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129388,KNV35_gp30,KNV35_gp30,-,-,-,-,Uracil-DNA glycosylase,protein-coding,-,-,-,Uracil-DNA glycosylase,20210608,-
2772068,65129389,KNV35_gp29,KNV35_gp29,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772068,65129390,KNV35_gp28,KNV35_gp28,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210608,-
2772068,65129391,KNV35_gp27,KNV35_gp27,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210608,-
2772068,65129392,KNV35_gp26,KNV35_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129393,KNV35_gp25,KNV35_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129394,KNV35_gp24,KNV35_gp24,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2772068,65129395,KNV35_gp23,KNV35_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129396,KNV35_gp22,KNV35_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129397,KNV35_gp21,KNV35_gp21,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210608,-
2772068,65129398,KNV35_gp20,KNV35_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129399,KNV35_gp19,KNV35_gp19,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210608,-
2772068,65129400,KNV35_gp18,KNV35_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129401,KNV35_gp17,KNV35_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129402,KNV35_gp16,KNV35_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129403,KNV35_gp15,KNV35_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129404,KNV35_gp14,KNV35_gp14,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210608,-
2772068,65129405,KNV35_gp13,KNV35_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129406,KNV35_gp12,KNV35_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129407,KNV35_gp11,KNV35_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129408,KNV35_gp10,KNV35_gp10,-,-,-,-,host-nuclease inhibitor protein,protein-coding,-,-,-,host-nuclease inhibitor protein,20210608,-
2772068,65129409,KNV35_gp09,KNV35_gp09,-,-,-,-,Toll-like receptor-like protein,protein-coding,-,-,-,Toll-like receptor-like protein,20210608,-
2772068,65129410,KNV35_gp08,KNV35_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129411,KNV35_gp07,KNV35_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129412,KNV35_gp06,KNV35_gp06,-,-,-,-,lysine-specific demethylase-like protein,protein-coding,-,-,-,lysine-specific demethylase-like protein,20210608,-
2772068,65129413,KNV35_gp01,KNV35_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65243527,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
