#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887654,29078269,2,SEA_TERAPIN_2,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887654,29078315,48,SEA_TERAPIN_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078316,49,SEA_TERAPIN_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078317,50,SEA_TERAPIN_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078318,51,SEA_TERAPIN_51,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1887654,29078319,52,SEA_TERAPIN_52,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1887654,29078320,53,SEA_TERAPIN_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078321,54,SEA_TERAPIN_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078322,55,SEA_TERAPIN_55,-,-,-,-,DEAD-like helicase,protein-coding,-,-,-,DEAD-like helicase,20201221,-
1887654,29078323,56,SEA_TERAPIN_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078324,57,SEA_TERAPIN_57,-,-,-,-,RecA-like recombinase,protein-coding,-,-,-,RecA-like recombinase,20210424,-
1887654,29078325,58,SEA_TERAPIN_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078326,59,SEA_TERAPIN_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078327,60,SEA_TERAPIN_60,-,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210424,-
1887654,29078328,61,SEA_TERAPIN_61,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
1887654,29078329,62,SEA_TERAPIN_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078330,63,SEA_TERAPIN_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078331,64,SEA_TERAPIN_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887654,29078332,65,SEA_TERAPIN_65,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210424,-
1887654,29078333,66,SEA_TERAPIN_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078334,67,SEA_TERAPIN_67,-,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20201221,-
1887654,29078335,68,SEA_TERAPIN_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078336,69,SEA_TERAPIN_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078337,70,SEA_TERAPIN_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078338,71,SEA_TERAPIN_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078339,72,SEA_TERAPIN_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078340,73,SEA_TERAPIN_73,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1887654,29078341,74,SEA_TERAPIN_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078342,75,SEA_TERAPIN_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078343,76,SEA_TERAPIN_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078344,77,SEA_TERAPIN_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078345,78,SEA_TERAPIN_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078346,79,SEA_TERAPIN_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078347,80,SEA_TERAPIN_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078348,81,SEA_TERAPIN_81,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1887654,29078349,82,SEA_TERAPIN_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078350,83,SEA_TERAPIN_83,-,-,-,-,RHH DNA binding protein,protein-coding,-,-,-,RHH DNA binding protein,20201221,-
1887654,29078351,84,SEA_TERAPIN_84,-,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
1887654,29078352,85,SEA_TERAPIN_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078353,86,SEA_TERAPIN_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078354,87,SEA_TERAPIN_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078355,88,SEA_TERAPIN_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078356,89,SEA_TERAPIN_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078357,90,SEA_TERAPIN_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078358,91,SEA_TERAPIN_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078359,92,SEA_TERAPIN_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078360,93,SEA_TERAPIN_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078361,94,SEA_TERAPIN_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078362,95,SEA_TERAPIN_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078363,96,SEA_TERAPIN_96,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
1887654,29078364,97,SEA_TERAPIN_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078365,1,SEA_TERAPIN_1,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1887654,29140092,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia phage Terrapin).,other,-,-,-,-,20200516,-
