#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1880822,40103140,FDG72_gp001,FDG72_gp001,-,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,protein-coding,-,-,-,Phage lysis inhibitor T4-like rIIA-rIIB membrane associated T4 GC1698,20200910,-
1880822,40103166,FDG72_gp026,FDG72_gp026,-,-,-,-,"DNA primase / DNA helicase, phage-associated",protein-coding,-,-,-,"DNA primase / DNA helicase, phage-associated",20200910,-
1880822,40103167,FDG72_gp027,FDG72_gp027,-,-,-,-,Hypothetical Zinc-finger containing protein,protein-coding,-,-,-,Hypothetical Zinc-finger containing protein,20200919,-
1880822,40103168,FDG72_gp028,FDG72_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103169,FDG72_gp029,FDG72_gp029,-,-,-,-,"T4-like phage protein, T4 GC1491",protein-coding,-,-,-,"T4-like phage protein, T4 GC1491",20210417,-
1880822,40103170,FDG72_gp030,FDG72_gp030,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103171,FDG72_gp031,FDG72_gp031,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103172,FDG72_gp032,FDG72_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103173,FDG72_gp033,FDG72_gp033,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103174,FDG72_gp034,FDG72_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103175,FDG72_gp035,FDG72_gp035,-,-,-,-,"DNA primase/helicase, phage-associated",protein-coding,-,-,-,"DNA primase/helicase, phage-associated",20200910,-
1880822,40103176,FDG72_gp036,FDG72_gp036,-,-,-,-,Phage membrane-associated initiation of head vertex,protein-coding,-,-,-,Phage membrane-associated initiation of head vertex,20200919,-
1880822,40103177,FDG72_gp037,FDG72_gp037,-,-,-,-,Phage recombination protein,protein-coding,-,-,-,Phage recombination protein,20200910,-
1880822,40103178,FDG72_gp038,FDG72_gp038,-,-,-,-,"DNA polymerase, phage-associated",protein-coding,-,-,-,"DNA polymerase, phage-associated",20200910,-
1880822,40103179,FDG72_gp039,FDG72_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103180,FDG72_gp040,FDG72_gp040,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103181,FDG72_gp041,FDG72_gp041,-,-,-,-,"Phage endoribonulcease translational repressor of early genes, regA",protein-coding,-,-,-,"Phage endoribonulcease translational repressor of early genes, regA",20200910,-
1880822,40103182,FDG72_gp042,FDG72_gp042,-,-,-,-,Phage DNA polymerase clamp loader subunit Gp62,protein-coding,-,-,-,Phage DNA polymerase clamp loader subunit Gp62,20200910,-
1880822,40103183,FDG72_gp043,FDG72_gp043,-,-,-,-,Replication factor C small subunit / Phage DNA polymerase clamp loader subunit,protein-coding,-,-,-,Replication factor C small subunit / Phage DNA polymerase clamp loader subunit,20200910,-
1880822,40103184,FDG72_gp044,FDG72_gp044,-,-,-,-,"Sliding clamp DNA polymerase accessory protein, phage associated",protein-coding,-,-,-,"Sliding clamp DNA polymerase accessory protein, phage associated",20200910,-
1880822,40103185,FDG72_gp045,FDG72_gp045,-,-,-,-,Phage RNA polymerase binding protein,protein-coding,-,-,-,Phage RNA polymerase binding protein,20200910,-
1880822,40103186,FDG72_gp046,FDG72_gp046,-,-,-,-,"Single stranded DNA-binding protein, phage-associated",protein-coding,-,-,-,"Single stranded DNA-binding protein, phage-associated",20200910,-
1880822,40103187,FDG72_gp047,FDG72_gp047,-,-,-,-,Phage DNA helicase loader,protein-coding,-,-,-,Phage DNA helicase loader,20200910,-
1880822,40103188,FDG72_gp048,FDG72_gp048,-,-,-,-,Phage transcriptional regulator,protein-coding,-,-,-,Phage transcriptional regulator,20200919,-
1880822,40103189,FDG72_gp049,FDG72_gp049,-,-,-,-,"Phage double-stranded DNA binding protein #T4-like dsbA, late transcriptional regulation #T4 GC1668",protein-coding,-,-,-,"Phage double-stranded DNA binding protein #T4-like dsbA, late transcriptional regulation #T4 GC1668",20200910,-
1880822,40103190,FDG72_gp050,FDG72_gp050,-,-,-,-,Phage ribonuclease H,protein-coding,-,-,-,Phage ribonuclease H,20200910,-
1880822,40103191,FDG72_gp051,FDG72_gp051,-,-,-,-,T4-like phage RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,T4-like phage RNA polymerase sigma factor for late transcription,20200910,-
1880822,40103192,FDG72_gp052,FDG72_gp052,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103193,FDG72_gp053,FDG72_gp053,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103194,FDG72_gp054,FDG72_gp054,-,-,-,-,Phage recombination-related endonuclease Gp47,protein-coding,-,-,-,Phage recombination-related endonuclease Gp47,20200910,-
1880822,40103195,FDG72_gp055,FDG72_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103196,FDG72_gp056,FDG72_gp056,-,-,-,-,Phage recombination-related endonuclease Gp46,protein-coding,-,-,-,Phage recombination-related endonuclease Gp46,20200910,-
1880822,40103197,FDG72_gp057,FDG72_gp057,-,-,-,-,Phage-associated homing endonuclease,protein-coding,-,-,-,Phage-associated homing endonuclease,20200910,-
1880822,40103198,FDG72_gp058,FDG72_gp058,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103199,FDG72_gp059,FDG72_gp059,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103200,FDG72_gp060,FDG72_gp060,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103201,FDG72_gp061,FDG72_gp061,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103202,FDG72_gp062,FDG72_gp062,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103203,FDG72_gp063,FDG72_gp063,-,-,-,-,Dihydrofolate reductase,protein-coding,-,-,-,Dihydrofolate reductase,20200910,-
1880822,40103204,FDG72_gp064,FDG72_gp064,-,-,-,-,Thymidylate synthase,protein-coding,-,-,-,Thymidylate synthase,20210123,-
1880822,40103205,FDG72_gp065,FDG72_gp065,-,-,-,-,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit",20200910,-
1880822,40103206,FDG72_gp066,FDG72_gp066,-,-,-,-,"Ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"Ribonucleotide reductase of class Ia (aerobic), beta subunit",20210116,-
1880822,40103207,FDG72_gp067,FDG72_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1880822,40103208,FDG72_gp068,FDG72_gp068,-,-,-,-,Phage endonuclease,protein-coding,-,-,-,Phage endonuclease,20200910,-
1880822,40103209,FDG72_gp069,FDG72_gp069,-,-,-,-,"RNA ligase, phage-associated",protein-coding,-,-,-,"RNA ligase, phage-associated",20200910,-
1880822,40103210,FDG72_gp070,FDG72_gp070,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103211,FDG72_gp071,FDG72_gp071,-,-,-,-,Phage outer membrane lipoprotein Rz1,protein-coding,-,-,-,Phage outer membrane lipoprotein Rz1,20200910,-
1880822,40103212,FDG72_gp072,FDG72_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103213,FDG72_gp073,FDG72_gp073,-,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase, phage-associated",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase, phage-associated",20200910,-
1880822,40103214,FDG72_gp074,FDG72_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103215,FDG72_gp075,FDG72_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103216,FDG72_gp076,FDG72_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103217,FDG72_gp077,FDG72_gp077,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200910,-
1880822,40103218,FDG72_gp078,FDG72_gp078,-,-,-,-,Phage capsid assembly chaperone,protein-coding,-,-,-,Phage capsid assembly chaperone,20200910,-
1880822,40103219,FDG72_gp079,FDG72_gp079,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103220,FDG72_gt001,FDG72_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1880822,40103221,FDG72_gp275,FDG72_gp275,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103222,FDG72_gp274,FDG72_gp274,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103223,FDG72_gp273,FDG72_gp273,-,-,-,-,Pyruvate formate-lyase,protein-coding,-,-,-,Pyruvate formate-lyase,20200910,-
1880822,40103224,FDG72_gp272,FDG72_gp272,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103225,FDG72_gp271,FDG72_gp271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103226,FDG72_gp270,FDG72_gp270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103227,FDG72_gp269,FDG72_gp269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103228,FDG72_gp268,FDG72_gp268,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103229,FDG72_gp267,FDG72_gp267,-,-,-,-,"T4-like phage protein, T4 GC1630",protein-coding,-,-,-,"T4-like phage protein, T4 GC1630",20200910,-
1880822,40103230,FDG72_gp266,FDG72_gp266,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200912,-
1880822,40103231,FDG72_gp265,FDG72_gp265,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103232,FDG72_gp264,FDG72_gp264,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103233,FDG72_gp263,FDG72_gp263,-,-,-,-,"DNA ligase, phage-associated",protein-coding,-,-,-,"DNA ligase, phage-associated",20200910,-
1880822,40103234,FDG72_gp262,FDG72_gp262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103235,FDG72_gp261,FDG72_gp261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103236,FDG72_gp260,FDG72_gp260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103237,FDG72_gp259,FDG72_gp259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103238,FDG72_gp258,FDG72_gp258,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103239,FDG72_gp257,FDG72_gp257,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103240,FDG72_gp256,FDG72_gp256,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103241,FDG72_gp255,FDG72_gp255,-,-,-,-,Phage baseplate hub,protein-coding,-,-,-,Phage baseplate hub,20200910,-
1880822,40103242,FDG72_gp254,FDG72_gp254,-,-,-,-,Phage baseplate distal hub subunit (T4-like gp28),protein-coding,-,-,-,Phage baseplate distal hub subunit (T4-like gp28),20200910,-
1880822,40103243,FDG72_gp253,FDG72_gp253,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103244,FDG72_gp252,FDG72_gp252,-,-,-,-,Phage baseplate tail tube cap (T4-like gp48),protein-coding,-,-,-,Phage baseplate tail tube cap (T4-like gp48),20210123,-
1880822,40103245,FDG72_gp251,FDG72_gp251,-,-,-,-,Phage baseplate tail tube initiator,protein-coding,-,-,-,Phage baseplate tail tube initiator,20200910,-
1880822,40103246,FDG72_gp250,FDG72_gp250,-,-,-,-,Phage baseplate,protein-coding,-,-,-,Phage baseplate,20200910,-
1880822,40103247,FDG72_gp249,FDG72_gp249,-,-,-,-,Phage baseplate hub,protein-coding,-,-,-,Phage baseplate hub,20200910,-
1880822,40103248,FDG72_gp248,FDG72_gp248,-,-,-,-,Phage baseplate wedge subunit (T4-like gp25),protein-coding,-,-,-,Phage baseplate wedge subunit (T4-like gp25),20200910,-
1880822,40103249,FDG72_gp247,FDG72_gp247,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103250,FDG72_gp246,FDG72_gp246,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103251,FDG72_gp245,FDG72_gp245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103252,FDG72_gp244,FDG72_gp244,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103253,FDG72_gp243,FDG72_gp243,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103254,FDG72_gp242,FDG72_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103255,FDG72_gp241,FDG72_gp241,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103256,FDG72_gp240,FDG72_gp240,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210123,-
1880822,40103257,FDG72_gp239,FDG72_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103258,FDG72_gp238,FDG72_gp238,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103259,FDG72_gp237,FDG72_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103260,FDG72_gp236,FDG72_gp236,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103261,FDG72_gp235,FDG72_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103262,FDG72_gp234,FDG72_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103263,FDG72_gp233,FDG72_gp233,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103264,FDG72_gp232,FDG72_gp232,-,-,-,-,DNA-cytosine methyltransferase,protein-coding,-,-,-,DNA-cytosine methyltransferase,20200910,-
1880822,40103265,FDG72_gp231,FDG72_gp231,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103266,FDG72_gp230,FDG72_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103267,FDG72_gp229,FDG72_gp229,-,-,-,-,"Thioredoxin, phage-associated",protein-coding,-,-,-,"Thioredoxin, phage-associated",20200910,-
1880822,40103268,FDG72_gp228,FDG72_gp228,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103269,FDG72_gp227,FDG72_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103270,FDG72_gp226,FDG72_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103271,FDG72_gp225,FDG72_gp225,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103272,FDG72_gp224,FDG72_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103273,FDG72_gp223,FDG72_gp223,-,-,-,-,"Nicotinamide-nucleotide adenylyltransferase, NadM family / ADP-ribose pyrophosphatase",protein-coding,-,-,-,"Nicotinamide-nucleotide adenylyltransferase, NadM family / ADP-ribose pyrophosphatase",20200910,-
1880822,40103274,FDG72_gp222,FDG72_gp222,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210116,-
1880822,40103275,FDG72_gp221,FDG72_gp221,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103276,FDG72_gp220,FDG72_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103277,FDG72_gp219,FDG72_gp219,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103278,FDG72_gp218,FDG72_gp218,-,-,-,-,Thymidine kinase,protein-coding,-,-,-,Thymidine kinase,20200910,-
1880822,40103279,FDG72_gp217,FDG72_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103280,FDG72_gp216,FDG72_gp216,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210129,-
1880822,40103281,FDG72_gp215,FDG72_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103282,FDG72_gp214,FDG72_gp214,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103283,FDG72_gp213,FDG72_gp213,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210129,-
1880822,40103284,FDG72_gp212,FDG72_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103285,FDG72_gp211,FDG72_gp211,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103286,FDG72_gp210,FDG72_gp210,-,-,-,-,"T4-like phage protein, T4 GC1559",protein-coding,-,-,-,"T4-like phage protein, T4 GC1559",20200910,-
1880822,40103287,FDG72_gp209,FDG72_gp209,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103288,FDG72_gp208,FDG72_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103289,FDG72_gp207,FDG72_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103290,FDG72_gp206,FDG72_gp206,-,-,-,-,Predicted ATPase related to phosphate starvation-inducible protein PhoH,protein-coding,-,-,-,Predicted ATPase related to phosphate starvation-inducible protein PhoH,20200910,-
1880822,40103291,FDG72_gp205,FDG72_gp205,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103292,FDG72_gp204,FDG72_gp204,-,-,-,-,Phage endolysin,protein-coding,-,-,-,Phage endolysin,20200910,-
1880822,40103293,FDG72_gp203,FDG72_gp203,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103294,FDG72_gp202,FDG72_gp202,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103295,FDG72_gp201,FDG72_gp201,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103296,FDG72_gp200,FDG72_gp200,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103297,FDG72_gp199,FDG72_gp199,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103298,FDG72_gp198,FDG72_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103299,FDG72_gp197,FDG72_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103300,FDG72_gp196,FDG72_gp196,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103301,FDG72_gp195,FDG72_gp195,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103302,FDG72_gp194,FDG72_gp194,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103303,FDG72_gp193,FDG72_gp193,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103304,FDG72_gp192,FDG72_gp192,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103305,FDG72_gp191,FDG72_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103306,FDG72_gp190,FDG72_gp190,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103307,FDG72_gp189,FDG72_gp189,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103308,FDG72_gp188,FDG72_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103309,FDG72_gp187,FDG72_gp187,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103310,FDG72_gp186,FDG72_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103311,FDG72_gp185,FDG72_gp185,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103312,FDG72_gp184,FDG72_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103313,FDG72_gp183,FDG72_gp183,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103314,FDG72_gp182,FDG72_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103315,FDG72_gp181,FDG72_gp181,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20210417,-
1880822,40103316,FDG72_gp180,FDG72_gp180,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103317,FDG72_gp179,FDG72_gp179,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103318,FDG72_gp178,FDG72_gp178,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103319,FDG72_gp177,FDG72_gp177,-,-,-,-,"Nudix hydrolase, phage-associated",protein-coding,-,-,-,"Nudix hydrolase, phage-associated",20200910,-
1880822,40103320,FDG72_gp176,FDG72_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103321,FDG72_gp175,FDG72_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103322,FDG72_gp174,FDG72_gp174,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103323,FDG72_gp173,FDG72_gp173,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103324,FDG72_gp172,FDG72_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1880822,40103325,FDG72_gp171,FDG72_gp171,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
1880822,40103326,FDG72_gp170,FDG72_gp170,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200910,-
