#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041760,55003903,HOU26_gp02,HOU26_gp02,-,-,-,-,glycine cleavage system protein H,protein-coding,-,-,-,glycine cleavage system protein H,20201221,-
2041760,55003925,HOU26_gp24,HOU26_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003926,HOU26_gp25,HOU26_gp25,-,-,-,-,PTS sucrose transporter subunit IIABC,protein-coding,-,-,-,PTS sucrose transporter subunit IIABC,20201221,-
2041760,55003927,HOU26_gp26,HOU26_gp26,-,-,-,-,host RNA polymerase inhibitor,protein-coding,-,-,-,host RNA polymerase inhibitor,20210123,-
2041760,55003928,HOU26_gp27,HOU26_gp27,-,-,-,-,helix-destabilizing protein,protein-coding,-,-,-,helix-destabilizing protein,20210123,-
2041760,55003929,HOU26_gp28,HOU26_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003930,HOU26_gp29,HOU26_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003931,HOU26_gp30,HOU26_gp30,-,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20201221,-
2041760,55003932,HOU26_gp31,HOU26_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003933,HOU26_gp32,HOU26_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003934,HOU26_gp33,HOU26_gp33,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210123,-
2041760,55003935,HOU26_gp34,HOU26_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003936,HOU26_gp35,HOU26_gp35,-,-,-,-,primase/helicase protein,protein-coding,-,-,-,primase/helicase protein,20210123,-
2041760,55003937,HOU26_gp36,HOU26_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003938,HOU26_gp37,HOU26_gp37,-,-,-,-,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like protein,protein-coding,-,-,-,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like protein,20201221,-
2041760,55003939,HOU26_gp38,HOU26_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003940,HOU26_gp39,HOU26_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003941,HOU26_gp40,HOU26_gp40,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210123,-
2041760,55003942,HOU26_gp41,HOU26_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003943,HOU26_gp42,HOU26_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003944,HOU26_gp43,HOU26_gp43,-,-,-,-,HNS binding protein,protein-coding,-,-,-,HNS binding protein,20201221,-
2041760,55003945,HOU26_gp44,HOU26_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003946,HOU26_gp45,HOU26_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003947,HOU26_gp46,HOU26_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003948,HOU26_gp47,HOU26_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003949,HOU26_gp48,HOU26_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003950,HOU26_gp49,HOU26_gp49,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
2041760,55003951,HOU26_gp50,HOU26_gp50,-,-,-,-,S26-RNase,protein-coding,-,-,-,S26-RNase,20201221,-
2041760,55003952,HOU26_gp51,HOU26_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003953,HOU26_gp52,HOU26_gp52,-,-,-,-,putative allantoate permease,protein-coding,-,-,-,putative allantoate permease,20201221,-
2041760,55003954,HOU26_gp53,HOU26_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003955,HOU26_gp54,HOU26_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003956,HOU26_gp55,HOU26_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003957,HOU26_gp56,HOU26_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003958,HOU26_gp57,HOU26_gp57,-,-,-,-,head to tail connector,protein-coding,-,-,-,head to tail connector,20210123,-
2041760,55003959,HOU26_gp58,HOU26_gp58,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210123,-
2041760,55003960,HOU26_gp59,HOU26_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003961,HOU26_gp60,HOU26_gp60,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
2041760,55003962,HOU26_gp61,HOU26_gp61,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20201221,-
2041760,55003963,HOU26_gp62,HOU26_gp62,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210123,-
2041760,55003964,HOU26_gp63,HOU26_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003965,HOU26_gp64,HOU26_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003966,HOU26_gp65,HOU26_gp65,-,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20210123,-
2041760,55003967,HOU26_gp66,HOU26_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003968,HOU26_gp67,HOU26_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003969,HOU26_gp68,HOU26_gp68,-,-,-,-,protein inside capsid C,protein-coding,-,-,-,protein inside capsid C,20210123,-
2041760,55003970,HOU26_gp69,HOU26_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003971,HOU26_gp70,HOU26_gp70,-,-,-,-,internal virion protein D,protein-coding,-,-,-,internal virion protein D,20210123,-
2041760,55003972,HOU26_gp71,HOU26_gp71,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
2041760,55003973,HOU26_gp72,HOU26_gp72,-,-,-,-,class II holin,protein-coding,-,-,-,class II holin,20201221,-
2041760,55003974,HOU26_gp73,HOU26_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003975,HOU26_gp74,HOU26_gp74,-,-,-,-,DNA packaging protein small subunit,protein-coding,-,-,-,DNA packaging protein small subunit,20210123,-
2041760,55003976,HOU26_gp75,HOU26_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003977,HOU26_gp76,HOU26_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003978,HOU26_gp77,HOU26_gp77,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210123,-
2041760,55003979,HOU26_gp78,HOU26_gp78,-,-,-,-,restriction modification system DNA specificity subunit,protein-coding,-,-,-,restriction modification system DNA specificity subunit,20201221,-
2041760,55003980,HOU26_gp79,HOU26_gp79,-,-,-,-,ATPase 8,protein-coding,-,-,-,ATPase 8,20201221,-
2041760,55003981,HOU26_gp80,HOU26_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003982,HOU26_gp81,HOU26_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003983,HOU26_gp82,HOU26_gp82,-,-,-,-,50S ribosomal protein L31,protein-coding,-,-,-,50S ribosomal protein L31,20201221,-
2041760,55003984,HOU26_gp83,HOU26_gp83,-,-,-,-,AC4 protein,protein-coding,-,-,-,AC4 protein,20201221,-
2041760,55003985,HOU26_gp01,HOU26_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55153679,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
