#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575325,55615870,HWC19_gp02,HWC19_gp02,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200829,-
2575325,55615922,HWC19_gp54,HWC19_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615923,HWC19_gp55,HWC19_gp55,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200829,-
2575325,55615924,HWC19_gp56,HWC19_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615925,HWC19_gp57,HWC19_gp57,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2575325,55615926,HWC19_gp58,HWC19_gp58,-,-,-,-,Cof hydrolase,protein-coding,-,-,-,Cof hydrolase,20200829,-
2575325,55615927,HWC19_gp59,HWC19_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615928,HWC19_gp60,HWC19_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615929,HWC19_gp61,HWC19_gp61,-,-,-,-,ATP-dependent RNA helicase,protein-coding,-,-,-,ATP-dependent RNA helicase,20200829,-
2575325,55615930,HWC19_gp62,HWC19_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615931,HWC19_gp63,HWC19_gp63,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
2575325,55615932,HWC19_gp64,HWC19_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615933,HWC19_gp65,HWC19_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2575325,55615934,HWC19_gp66,HWC19_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615935,HWC19_gp67,HWC19_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615936,HWC19_gp68,HWC19_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615937,HWC19_gp69,HWC19_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615938,HWC19_gp70,HWC19_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615939,HWC19_gp71,HWC19_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615940,HWC19_gp72,HWC19_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615941,HWC19_gp73,HWC19_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615942,HWC19_gp01,HWC19_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55635936,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
