#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147043,14296292,G174_gp37,G174_gp37,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1147043,14296314,G174_gp59,G174_gp59,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1147043,14296315,G174_gp60,G174_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296316,G174_gp61,G174_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296317,G174_gp62,G174_gp62,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1147043,14296318,G174_gp63,G174_gp63,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1147043,14296319,G174_gp64,G174_gp64,-,-,-,-,homing HNH endonuclease,protein-coding,-,-,-,homing HNH endonuclease,20200629,-
1147043,14296320,G174_gp65,G174_gp65,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1147043,14296321,G174_gp01,G174_gp01,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1147043,14296322,G174_gp02,G174_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296323,G174_gp03,G174_gp03,-,-,-,-,transcription repressor,protein-coding,-,-,-,transcription repressor,20201221,-
1147043,14296324,G174_gp04,G174_gp04,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1147043,14296325,G174_gp05,G174_gp05,-,-,-,-,transcription antirepressor,protein-coding,-,-,-,transcription antirepressor,20200629,-
1147043,14296326,G174_gp06,G174_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296327,G174_gp07,G174_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296328,G174_gp08,G174_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296329,G174_gp09,G174_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296330,G174_gp10,G174_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296331,G174_gp11,G174_gp11,-,-,-,-,ERF-like recombinase,protein-coding,-,-,-,ERF-like recombinase,20200629,-
1147043,14296332,G174_gp12,G174_gp12,-,-,-,-,single-strand DNA binding protein,protein-coding,-,-,-,single-strand DNA binding protein,20200629,-
1147043,14296333,G174_gp13,G174_gp13,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1147043,14296334,G174_gp14,G174_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296335,G174_gp15,G174_gp15,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20200629,-
1147043,14296336,G174_gp16,G174_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296337,G174_gp17,G174_gp17,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
1147043,14296338,G174_gp18,G174_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296339,G174_gp19,G174_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296340,G174_gp20,G174_gp20,-,-,-,-,DUF1064 domain-containing protein,protein-coding,-,-,-,DUF1064 domain-containing protein,20201221,-
1147043,14296341,G174_gp21,G174_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296342,G174_gp22,G174_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296343,G174_gp23,G174_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296344,G174_gp24,G174_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296345,G174_gp25,G174_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296346,G174_gp26,G174_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296347,G174_gp27,G174_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296348,G174_gp28,G174_gp28,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1147043,14296349,G174_gp29,G174_gp29,-,-,-,-,RinB,protein-coding,-,-,-,RinB,20200629,-
1147043,14296350,G174_gp30,G174_gp30,-,-,-,-,DUF1514 domain-containing protein,protein-coding,-,-,-,DUF1514 domain-containing protein,20201221,-
1147043,14296351,G174_gp31,G174_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296352,G174_gp32,G174_gp32,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1147043,14296353,G174_gp33,G174_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296354,G174_gp34,G174_gp34,-,-,-,-,terminase small subunit P27 family,protein-coding,-,-,-,terminase small subunit P27 family,20201221,-
1147043,14296355,G174_gp35,G174_gp35,-,-,-,-,TerL,protein-coding,-,-,-,TerL,20200629,-
1147043,14296356,G174_gp36,G174_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14311106,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
