#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445686,10328571,SSSM7_002,SSSM7_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445686,10328674,SSSM7_105,SSSM7_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328675,SSSM7_106,SSSM7_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328676,SSSM7_107,SSSM7_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328677,SSSM7_108,SSSM7_108,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445686,10328678,SSSM7_109,SSSM7_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328679,SSSM7_110,SSSM7_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328680,SSSM7_111,SSSM7_111,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20200909,-
445686,10328681,SSSM7_112,SSSM7_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328682,SSSM7_113,SSSM7_113,-,-,-,-,phage tail fiber-like protein,protein-coding,-,-,-,phage tail fiber-like protein,20200909,-
445686,10328683,SSSM7_114,SSSM7_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328684,SSSM7_115,SSSM7_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328685,SSSM7_116,SSSM7_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328686,SSSM7_117,SSSM7_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328687,SSSM7_118,SSSM7_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328688,SSSM7_119,SSSM7_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328689,SSSM7_120,SSSM7_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328690,SSSM7_121,SSSM7_121,-,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20200909,-
445686,10328691,SSSM7_122,SSSM7_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328692,nol,SSSM7_123,-,-,-,-,Nol,protein-coding,-,-,-,Nol,20200909,-
445686,10328693,denV,SSSM7_124,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445686,10328694,SSSM7_125,SSSM7_125,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445686,10328695,SSSM7_126,SSSM7_126,-,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20200909,-
445686,10328696,SSSM7_127,SSSM7_127,-,-,-,-,putative carbohydrate kinase,protein-coding,-,-,-,putative carbohydrate kinase,20200909,-
445686,10328697,SSSM7_128,SSSM7_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328698,SSSM7_129,SSSM7_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328699,SSSM7_130,SSSM7_130,-,-,-,-,phosphoheptose isomerase,protein-coding,-,-,-,phosphoheptose isomerase,20200909,-
445686,10328700,SSSM7_131,SSSM7_131,-,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20200909,-
445686,10328701,SSSM7_132,SSSM7_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328702,SSSM7_133,SSSM7_133,-,-,-,-,putative nucleotide-sugar epimerase,protein-coding,-,-,-,putative nucleotide-sugar epimerase,20200909,-
445686,10328703,SSSM7_134,SSSM7_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328704,gp13,SSSM7_135,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445686,10328705,gp14,SSSM7_136,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445686,10328706,gp15,SSSM7_137,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
445686,10328707,gp16,SSSM7_138,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
445686,10328708,SSSM7_139,SSSM7_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328709,gp17,SSSM7_140,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
445686,10328710,SSSM7_141,SSSM7_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328711,gp18,SSSM7_142,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
445686,10328712,gp19,SSSM7_143,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
445686,10328713,gp20,SSSM7_144,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
445686,10328714,SSSM7_145,SSSM7_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328715,gp21,SSSM7_146,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
445686,10328716,gp22,SSSM7_147,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
445686,10328717,gp23,SSSM7_148,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
445686,10328718,SSSM7_149,SSSM7_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328719,gp3,SSSM7_150,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
445686,10328720,uvsY,SSSM7_151,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
445686,10328721,uvsW,SSSM7_152,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
445686,10328722,SSSM7_153,SSSM7_153,-,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20200909,-
445686,10328723,SSSM7_154,SSSM7_154,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
445686,10328724,gp55,SSSM7_155,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
445686,10328725,SSSM7_156,SSSM7_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328726,gp47,SSSM7_157,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445686,10328727,SSSM7_158,SSSM7_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328728,gp46,SSSM7_159,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445686,10328729,SSSM7_160,SSSM7_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328730,SSSM7_161,SSSM7_161,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
445686,10328731,cobS,SSSM7_162,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
445686,10328732,SSSM7_163,SSSM7_163,-,-,-,-,phycoerythrobilin,protein-coding,-,-,-,phycoerythrobilin,20200909,-
445686,10328733,SSSM7_164,SSSM7_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328734,gp45,SSSM7_165,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
445686,10328735,SSSM7_166,SSSM7_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328736,SSSM7_167,SSSM7_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328737,SSSM7_168,SSSM7_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328738,SSSM7_169,SSSM7_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328739,SSSM7_170,SSSM7_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328740,gp44,SSSM7_171,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445686,10328741,SSSM7_172,SSSM7_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328742,SSSM7_173,SSSM7_173,-,-,-,-,putative cytoplasmic protein,protein-coding,-,-,-,putative cytoplasmic protein,20200909,-
445686,10328743,gp62,SSSM7_174,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445686,10328744,regA,SSSM7_175,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
445686,10328745,hsp20,SSSM7_176,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
445686,10328746,SSSM7_177,SSSM7_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328747,SSSM7_178,SSSM7_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328748,SSSM7_179,SSSM7_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328749,SSSM7_180,SSSM7_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328750,SSSM7_181,SSSM7_181,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445686,10328751,SSSM7_183,SSSM7_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328752,gp43,SSSM7_184,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
445686,10328753,SSSM7_185,SSSM7_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328754,SSSM7_186,SSSM7_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328755,SSSM7_187,SSSM7_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328756,SSSM7_188,SSSM7_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328757,uvsX,SSSM7_189,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
445686,10328758,SSSM7_190,SSSM7_190,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445686,10328759,gp41,SSSM7_191,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
445686,10328760,mazG,SSSM7_192,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
445686,10328761,SSSM7_193,SSSM7_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328762,SSSM7_194,SSSM7_194,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445686,10328763,SSSM7_195,SSSM7_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328764,SSSM7_196,SSSM7_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328765,SSSM7_197,SSSM7_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328766,SSSM7_198,SSSM7_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328767,SSSM7_199,SSSM7_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328768,SSSM7_200,SSSM7_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328769,petE,SSSM7_201,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20200909,-
445686,10328770,SSSM7_202,SSSM7_202,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20200909,-
445686,10328771,SSSM7_203,SSSM7_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328772,SSSM7_204,SSSM7_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328773,SSSM7_205,SSSM7_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328774,SSSM7_206,SSSM7_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328775,SSSM7_207,SSSM7_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328776,SSSM7_208,SSSM7_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328777,SSSM7_209,SSSM7_209,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445686,10328778,SSSM7_210,SSSM7_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
